oNiIAw,,QXZyaWw=,,,,,QXZyaWw=,,QXZyaWw=
odiIAw,,W0F2cmlsXQpQbGVhc2UgbWFrZSBzb21lIHNwYWNlIGluIHlvdXIgaW52ZW50b3J5IGJlZm9yZSBhY2NlcHRpbmcgdGhlIHF1ZXN0Lg==,,,,,W0F2cmlsXQpMaWJlcmUgZXNwYcOnbyBlbSBzZXUgaW52ZW50w6FyaW8gYW50ZXMgZGUgYWNlaXRhciBhIG1pc3PDo28u,,W0F2cmlsXQpIYXogbHVnYXIgZW4gZWwgaW52ZW50YXJpbyBhbnRlcyBkZSBhY2VwdGFyIGxhIG1pc2nDs24u
otiIAw,,W0F2cmlsXQpBcmUgeW91IGhlcmUgaW4gY29ubmVjdGlvbiB3aXRoIGEgcXVlc3Q/ClRoZW4gcGxlYXNlIGpvaW4gdGhlIEVkZW4gR3JvdXAgZmlyc3Qu,,,,,W0F2cmlsXQpWb2PDqiBlc3TDoSBhcXVpIHBvciBjYXVzYSBkZSB1bWEgbWlzc8Ojbz8KQW50ZXMgZGlzc28sIHZvY8OqIHByZWNpc2EgZW50cmFyIG5vIEdydXBvIMOJZGVuLg==,,W0F2cmlsXQrCv1ZpbmlzdGUgZW4gcmVsYWNpw7NuIGNvbiB1bmEgbWlzacOzbj8KRW50b25jZXMgcHJpbWVybyDDum5ldGUgYWwgR3J1cG8gZGUgRWTDqW4u
o9iIAw,,W0F2cmlsXQpNeSBxdWVzdCBpcyBzdGlsbCB0b28gY2hhbGxlbmdpbmcgZm9yIHlvdSwgYWR2ZW50dXJlci4KS25vd2luZyB5b3VyIGxpbWl0YXRpb25zIGlzIGFsc28gYW4gaW1wb3J0YW50IHNraWxsLiBJIGFwcHJlY2lhdGUgeW91ciBvZmZlciwgYnV0IEkgY2Fubm90IGFjY2VwdCB5b3VyIGhlbHAsIGFkdmVudHVyZXIu,,,,,W0F2cmlsXQpNaW5oYSBtaXNzw6NvIGFpbmRhIMOpIG11aXRvIGRlc2FmaWFkb3JhIHBhcmEgdm9jw6osIEF2ZW50dXJlaXJvLgpDb25oZWNlciBzdWFzIGxpbWl0YcOnw7VlcyB0YW1iw6ltIMOpIHVtYSBoYWJpbGlkYWRlIGltcG9ydGFudGUuIEFncmFkZcOnbyBzdWEgb2ZlcnRhLCBtYXMgbsOjbyBwb3NzbyBhY2VpdGFyIHN1YSBhanVkYS4=,,W0F2cmlsXQpFc3RhIG1pc2nDs24gYcO6biBlcyBkZW1hc2lhZG8gZGVzYWZpYW50ZSBwYXJhIHRpLCB0cm90YW11bmRvcy4KVGFtYmnDqW4gZXMgaW1wb3J0YW50ZSBjb25vY2VyIG51ZXN0cm9zIGzDrW1pdGVzLiBBZ3JhZGV6Y28gbGEgb2ZlcnRhLCBwZXJvIG5vIHB1ZWRvIGFjZXB0YXIgdHUgYXl1ZGEsIHRyb3RhbXVuZG9zLg==
pNiIAw,,IC0gVGhpcyBxdWVzdCBpcyBmb3IgTGV2ZWwgMTEwIGFuZCB1cC4gLSA=,,,,,LSBFc3RhIG1pc3PDo28gw6kgcGFyYSBvIG7DrXZlbCAxMTAgZSBzdXBlcmlvci4gLQ==,,IC1Fc3RhIG1pc2nDs24gZXMgcGFyYSBuaXZlbGVzIDExMCB5IHN1cGVyaW9yZXMuLSA=
pdiIAw,,W0F2cmlsXQpJIHNlZSB0aGF0IHlvdSBwaWNrZWQgdGhlIHF1ZXN0IGZyb20gdGhlIEVkZW4gR3JvdXAgbWlzc2lvbiBib2FyZC4KUGxlYXNlIHJldHVybiB0aGlzIHF1ZXN0IHRvIHRoZSBFZGVuIEdyb3VwIG1pc3Npb24gYm9hcmQu,,,,,W0F2cmlsXQpWZWpvIHF1ZSB2b2PDqiBlc2NvbGhldSBhIG1pc3PDo28gZG8gcXVhZHJvIGRlIG1pc3PDtWVzIGRvIEdydXBvIMOJZGVuLgpFbnRyZWd1ZSBlc3NhIG1pc3PDo28gYW8gcXVhZHJvIGRlIG1pc3PDtWVzIGRvIEdydXBvIMOJZGVuLg==,,W0F2cmlsXQpWZW8gcXVlIHRvbWFzdGUgbGEgbWlzacOzbiBkZWwgdGFibGVybyBkZSBtaXNpb25lcyBkZWwgR3J1cG8gZGUgRWTDqW4uCkRldnVlbHZlIGVzdGEgbWlzacOzbiBhbCB0YWJsZXJvIGRlIG1pc2lvbmVzIGRlbCBHcnVwbyBkZSBFZMOpbi4=
ptiIAw,,W0F2cmlsXQpJdCBoYXNuJ3QgYmVlbiBsb25nIHNpbmNlIHlvdSBsYXN0IGNvbXBsZXRlZCBhIHJlcXVlc3QgZm9yIG1lLgpFZGVuIEdyb3VwIHF1ZXN0cyBhcmUgbWFuYWdlZCBvbiBhIGRhaWx5IGJhc2lzLiBJZiB5b3Ugd2FudCB0byB0YWtlIHVwIGEgZGlmZmVyZW50IHF1ZXN0LCBwbGVhc2UgY29tZSBiYWNrIHRvbW9ycm93Lg==,,,,,W0F2cmlsXQpOw6NvIGZheiBtdWl0byB0ZW1wbyBkZXNkZSBhIMO6bHRpbWEgdmV6IHF1ZSB2b2PDqiBjb21wbGV0b3UgdW1hIHNvbGljaXRhw6fDo28gcGFyYSBtaW0uCkFzIG1pc3PDtWVzIGRvIEdydXBvIMOJZGVuIHPDo28gZ2VyZW5jaWFkYXMgZGlhcmlhbWVudGUuIFNlIHZvY8OqIHF1aXNlciBwZWdhciB1bWEgbWlzc8OjbyBkaWZlcmVudGUsIHZvbHRlIGFtYW5ow6Mu,,W0F2cmlsXQpIYWNlIG11eSBwb2NvIHF1ZSBjb21wbGV0YXN0ZSBvdHJhIHNvbGljaXR1ZCBwYXJhIG3DrS4KTGFzIG1pc2lvbmVzIGRlbCBHcnVwbyBkZSBFZMOpbiBzZSBnZXN0aW9uYW4gYSBkaWFyaW8uIFNpIHF1aWVyZXMgYWNlcHRhciB1bmEgbWlzacOzbiBkaWZlcmVudGUsIHJlZ3Jlc2EgbWHDsWFuYS4=
p9iIAw,,W0F2cmlsXQpIb3cgYXJlIHlvdT8gSSdtIGluIGNoYXJnZSBvZiBFZGVuIEdyb3VwIG1vbnN0ZXIgcmFpZHMuCkkgYXNzaWduIG1vbnN0ZXIgcmFpZCBxdWVzdHMgZm9yIFRoYW5hdG9zIFRvd2VyIExvd2VyIExldmVsLg==,,,,,W0F2cmlsXQpDb21vIHZvY8OqIGVzdMOhPyBTb3UgcmVzcG9uc8OhdmVsIHBlbG9zIGF0YXF1ZXMgc3VycHJlc2EgYSBtb25zdHJvcyBkbyBHcnVwbyDDiWRlbi4KQXRyaWJ1byBtaXNzw7VlcyBkZSBhdGFxdWVzIHN1cnByZXNhIGEgbW9uc3Ryb3MgcGFyYSBvIEFuZGFyIEluZmVyaW9yIGRhIFRvcnJlIGRlIFRoYW5hdG9zLg==,,W0F2cmlsXQrCv0PDs21vIGVzdMOhcz8gRXN0b3kgYSBjYXJnbyBkZSBsb3MgYXNhbHRvcyBhIG1vbnN0cnVvcyBkZWwgR3J1cG8gZGUgRWTDqW4uCkFzaWdubyBsYXMgbWlzaW9uZXMgZGUgYXNhbHRvIGEgbW9uc3RydW9zIGRlIGxvcyBuaXZlbGVzIGluZmVyaW9yZXMgZGUgbGEgVG9ycmUgZGUgVGhhbmF0b3Mu
qNiIAw,,W1RhcnRdCkktSSBhbSByZXNwb25zaWJsZSBmb3IgYXNzaWduaW5nIHF1ZXN0cyBmb3IgdGhlIFVwcGVyIExldmVsISBJZiB5b3Ugd2FudCB0byByZWNlaXZlIHF1ZXN0cyBmb3IgdGhlIFVwcGVyIExldmVsLCB5b3UgbWF5IHNwZWFrIHRvIG1lIQ==,,,,,W1RhcnRdClNvdSByZXNwb25zw6F2ZWwgcGVsYSBhdHJpYnVpw6fDo28gZGUgbWlzc8O1ZXMgcGFyYSBvIEFuZGFyIFN1cGVyaW9yISBTZSB2b2PDqiBxdWlzZXIgcmVjZWJlciBtaXNzw7VlcyBwYXJhIG8gQW5kYXIgU3VwZXJpb3IsIGZhbGUgY29taWdvIQ==,,W1RhcnRdCsKhU295IHJlc3BvbnNhYmxlIGRlIGFzaWduYXIgbGFzIG1pc2lvbmVzIGRlIGxvcyBuaXZlbGVzIHN1cGVyaW9yZXMhIFNpIHF1aWVyZXMgcmVjaWJpciBtaXNpb25lcyBkZSBsb3Mgbml2ZWxlcyBzdXBlcmlvcmVzLCDCoWRlYmVzIGhhYmxhciBjb25taWdvIQ==
qdiIAw,,W0F2cmlsXQpZZXMuIFlvdSBjYW4gYXNrIFRhcnQgaGVyZSBmb3IgdGhlIFVwcGVyIExldmVsIHF1ZXN0cy4KU28gd291bGQgeW91IGxpa2UgdG8gdGFrZSB1cCBhIHF1ZXN0Pw==,,,,,W0F2cmlsXQpTaW0uIFZvY8OqIHBvZGUgc29saWNpdGFyIG1pc3PDtWVzIGRvIEFuZGFyIFN1cGVyaW9yIGFvIFRhcnQuClZvY8OqIGdvc3RhcmlhIGRlIGFjZWl0YXIgdW1hIG1pc3PDo28/,,W0F2cmlsXQpTw60uIEFxdcOtIHB1ZWRlcyBwcmVndW50YXJsZSBhIFRhcnQgc29icmUgbGFzIG1pc2lvbmVzIGRlIGxvcyBuaXZlbGVzIHN1cGVyaW9yZXMuCsK/UXVpc2llcmFzIGFjZXB0YXIgdW5hIG1pc2nDs24/
qtiIAw,,T2theSwgSSdsbCB0YWtlIGl0Lg==,,,,,QmVsZXphLCBldSBhY2VpdG8u,,QnVlbm8sIGxhIGFjZXB0YXLDqS4=
q9iIAw,,Tm8sIEkgd29uJ3QgdGFrZSBpdC4=,,,,,TsOjbywgbsOjbyB2b3UgYWNlaXRhci4=,,Tm8sIG5vIGxvIGFjZXB0YXLDqS4=
rNiIAw,,W0F2cmlsXQpXaGljaCBxdWVzdCBkbyB5b3Ugd2FudCB0byB0YWtlPw==,,,,,W0F2cmlsXQpRdWFsIG1pc3PDo28gdm9jw6ogdmFpIGVzY29saGVyPw==,,W0F2cmlsXQrCv1F1w6kgbWlzacOzbiBxdWllcmVzIHJlYWxpemFyPw==
rdiIAw,,SW5zaWRlIHRoZSBNaW1pYyBCb3g=,,,,,RGVudHJvIGRvIEJhw7ogSWx1c8Ozcmlv,,RGVudHJvIGRlIGxhIGNhamEgZGVsIE3DrW1pY28u
rtiIAw,,RWx1c2l2ZSBPbGQgV2lzZG9t,,,,,U2FiZWRvcmlhIEFudGlnYSBFbHVzaXZh,,QW50aWd1YSBzYWJpZHVyw61hIGZsb3RhbnRlLg==
r9iIAw,,QmFyb24gaW4gdGhlIE9sZCBDYXN0bGU=,,,,,QmFyw6NvIG5vIFZlbGhvIENhc3RlbG8=,,QmFyw7NuIGRlbCBjYXN0aWxsbyBhbmNlc3RyYWwu
sNiIAw,,U2hlZXRzIG9mIFdpc2RvbQ==,,,,,UGVyZ2FtaW5ob3MgZGUgU2FiZWRvcmlh,,UGllemFzIGRlIGNvbm9jaW1pZW50by4=
sdiIAw,,UmVjb3JkIG9mIFdvcm4tb3V0IE1hZ2lj,,,,,UmVnaXN0cm9zIGRlIHVtYSBNYWdpYSBEZXNnYXN0YWRh,,Vmllam9zIHJlZ2lzdHJvcyBtw6FnaWNvcy4=
stiIAw,,UmVkdWNlLCBSZXVzZS4uLg==,,,,,UmVkdXppciwgUmV1dGlsaXphci4uLg==,,UmVjb2xlY2Npw7NuIGRlIHJlY2ljbGFqZS4=
s9iIAw,,SSB3b24ndCB0YWtlIGFueXRoaW5nLg==,,,,,TsOjbyB2b3UgYWNlaXRhciBuYWRhLg==,,Tm8gYWNlcHRhcsOpIG5pbmd1bmEu
tNiIAw,,W0F2cmlsXQpUcmFkaXRpb25hbGx5LCBNaW1pY3MgaGF2ZSBwcmV0ZW5kZWQgdG8gYmUgdHJlYXN1cmUgY2hlc3RzLiBBbmQgcmFyZSB0cmVhc3VyZXMgaGF2ZSBhY3R1YWxseSBiZWVuIGZvdW5kIGluIHRoZW0gaW4gc29tZSBpbnN0YW5jZXMu,,,,,W0F2cmlsXQpUcmFkaWNpb25hbG1lbnRlLCBvcyBNw61taWNvcyBmaW5nZW0gc2VyIGJhw7pzIGRlIHRlc291cm8uIEVtIGFsZ3VucyBjYXNvcywgdGVzb3Vyb3MgcHJlY2lvc29zIGZvcmFtIHJlYWxtZW50ZSBlbmNvbnRyYWRvcyBuZWxlcy4=,,W0F2cmlsXQpUcmFkaWNpb25hbG1lbnRlLCBsb3MgTcOtbWljb3MgZmluZ2VuIHNlciBjb2ZyZXMgZGVsIHRlc29yby4gWSBlbiBhbGd1bmFzIG9jYXNpb25lcywgc2UgZW5jb250cmFyb24gdGVzb3JvcyByYXJvcyBkZSB2ZXJkYWQgZGVudHJvIGRlIGVsbG9zLg==
tdiIAw,,W0F2cmlsXQpTbywgd2UncmUgYXNraW5nIHlvdSB0byBodW50IF4wMDAwQ0RBbmNpZW50IE1pbWljc14wMDAwMDAuCl4wMDAwQ0QzMCBvZiB0aGVtXjAwMDAwMCwgaWYgeW91IHdvdWxkLiBQbGVhc2UgbWFrZSBzdXJlIHRvIGZpbGwgb3V0IGFuZCBzdWJtaXQgeW91ciBsb290IHJlY29yZC4=,,,,,W0F2cmlsXQpQb3IgaXNzbywgcGVkaW1vcyBxdWUgdm9jw6ogY2FjZSBeMDAwMENETcOtbWljb3MgQW50aWdvc14wMDAwMDAuCl4wMDAwQ0QzMCBkZWxlc14wMDAwMDAuIE7Do28gZXNxdWXDp2EgZGUgcHJlZW5jaGVyIGUgZW52aWFyIHNldSByZWdpc3RybyBkZSBzYXF1ZS4=,,W0F2cmlsXQpQb3IgZXNvLCB0ZSBwZWRpbW9zIHF1ZSBjYWNlcyBeOTkwMDk5TcOtbWljb3MgYW50aWd1b3NeMDAwMDAwLgpTaSBwdWVkZXMsIF45OTAwOTkzMCBkZSBlbGxvc14wMDAwMDAuIEFzZWfDunJhdGUgZGUgY29tcGxldGFyIHkgZW52aWFyIGVsIHJlZ2lzdHJvIGRlIGJvdGluZXMu
ttiIAw,,W0F2cmlsXQpJdCBpcyB1bmtub3duIHdoZXRoZXIgb2xkIGJvb2tzIGhhdmUgZ2FpbmVkIGxpZmUgb3Igd2hldGhlciBtb25zdGVycyB3aXRoIGludGVsbGlnZW5jZSBoYXZlIHRha2VuIHRoZSBmb3JtIG9mIGJvb2tzLCBidXQgc29tZXRpbWVzLCB0aGVyZSBpcyBhY3R1YWxseSBhIHJhcmUgcGllY2Ugb2Yga25vd2xlZGdlIHdyaXR0ZW4gb24gdGhlIGluc2lkZSBvZiBhIERlYXRoIFdvcmQu,,,,,W0F2cmlsXQpOw6NvIHNlIHNhYmUgc2UgbGl2cm9zIGFudGlnb3MgZ2FuaGFyYW0gdmlkYSBvdSBzZSBtb25zdHJvcyBjb20gaW50ZWxpZ8OqbmNpYSBhc3N1bWlyYW0gYSBmb3JtYSBkZSBsaXZyb3MsIG1hcywgZGUgdmV6IGVtIHF1YW5kbywgaMOhIHJlYWxtZW50ZSB1bSByYXJvIHBlZGHDp28gZGUgY29uaGVjaW1lbnRvIGVzY3JpdG8gbnVtYSBQYWxhdnJhIGRhIE1vcnRhLg==,,W0F2cmlsXQpTZSBkZXNjb25vY2Ugc2kgbG9zIGxpYnJvcyBhbnRpZ3VvcyBjb2JyYXJvbiB2aWRhIG8gc2kgbW9uc3RydW9zIGNvbiBpbnRlbGlnZW5jaWEgdG9tYXJvbiBsYSBmb3JtYSBkZSBsaWJyb3MsIHBlcm8sIGEgdmVjZXMsIHNlIGVuY3VlbnRyYSBhbGd1bmEgcGllemEgZGUgY29ub2NpbWllbnRvIHZlcmRhZGVybyBlc2NyaXRvIGRlbnRybyBkZSB1bmEgUGFsYWJyYSBkZSBtdWVydGUu
t9iIAw,,W0F2cmlsXQpJdCdzIHZlcnkgcmFyZSwgdGhvdWdoLiBCdXQgdGhpcyBrbm93bGVkZ2UgaGFzIGdyZWF0IHZhbHVlLCBzbyB0aGUgRWRlbiBHcm91cCBjb25zaWRlcnMgaXQgd29ydGggYWxsIHRoZSByaXNrLg==,,,,,W0F2cmlsXQpJc3NvIMOpIHJhcm8sIG1hcyBlc3NlIGNvbmhlY2ltZW50byDDqSBtdWl0byB2YWxpb3NvLiBQb3IgaXNzbywgbyBHcnVwbyDDiWRlbiBhY3JlZGl0YSBxdWUgdmFsZSB0b2RvIG8gcmlzY28u,,W0F2cmlsXQpTaW4gZW1iYXJnbywgZXMgbXV5IHJhcm8uIFBlcm8gZXN0ZSBjb25vY2ltaWVudG8gZXMgbXV5IHZhbGlvc28sIGFzw60gcXVlIGVsIEdydXBvIGRlIEVkw6luIGNvbnNpZGVyYSBxdWUgdmFsZSBsYSBwZW5hIGVsIHJpZXNnby4=
uNiIAw,,W0F2cmlsXQpIdW50IF4wMDAwQ0QzMCBEZWF0aCBXb3Jkc14wMDAwMDAsIGlmIHlvdSBwbGVhc2UuIElmIHlvdSBvYnRhaW4gYSBzcGVjaWFsIERlYXRoIFdvcmQsIGRvbid0IGZvcmdldCB0aGF0IHRoZSBvd25lcnNoaXAgb2YgdGhlIGNvbnRlbnQgd2lsbCBiZWxvbmcgdG8gdGhlIEVkZW4gR3JvdXAu,,,,,W0F2cmlsXQpDYWNlIF4wMDAwQ0QzMCBQYWxhdnJhcyBNb3J0YXNeMDAwMDAwLiBTZSB2b2PDqiBjb25zZWd1aXIgdW1hIFBhbGF2cmEgTW9ydGEgZXNwZWNpYWwsIGxlbWJyZS1zZSBkZSBxdWUgbyBjb250ZcO6ZG8gZGVsYSBwZXJ0ZW5jZSBhbyBHcnVwbyDDiWRlbi4=,,W0F2cmlsXQpDYXphIF45OTAwOTkzMCBtb25zdHJ1b3MgUGFsYWJyYXMgZGUgbXVlcnRlXjAwMDAwMC4gU2kgY29uc2lndWVzIHVuYSBQYWxhYnJhIGRlIG11ZXJ0ZSBlc3BlY2lhbCwgbm8gdGUgb2x2aWRlcyBkZSBxdWUgbGEgcHJvcGllZGFkIGRlbCBjb250ZW5pZG8gbGUgcGVydGVuZWNlIGFsIEdydXBvIGRlIEVkw6luLg==
