wJPlAg,,QmFjayBBbGxleSBHaXJs,,,,,R2Fyb3RhIGRvIGJlY28=,,Q2hpY2EgZGVsIGNhbGxlasOzbg==
wZPlAg,,W0dpcmxdCkVoPyBIZXksIHdhaXQhIFdhYWFpdCEKJ0kndmUgZ290IGFuIGludGVyZXN0aW5nIHN0b3J5IGZvciB5b3UuIFdhbnQgdG8gbGlzdGVuPw==,,,,,W0dhcm90YV0KSMOjPyBFaSwgZXNwZXJlISBFc3BlZWVyZSEKVGVuaG8gdW1hIGhpc3TDs3JpYSBpbnRlcmVzc2FudGUgcGFyYSB2b2PDqi4gUXVlciBvdXZpcj8=,,W0NoaWNhXQrCv0VoPyDCoUV5LCBlc3BlcmEhIMKhRXNwZWVlcmEhClRlbmdvIHVuYSBoaXN0b3JpYSBpbnRlcmVzYW50ZSBwYXJhIHRpLiDCv1F1aWVyZXMgZXNjdWNoYXJsYT8=
wpPlAg,,PT0gUm9ndWVzIGNhbid0IGFkdmFuY2UgZGlyZWN0bHkgdG8gdGhpcyAzcmQgam9iLiA9PQo9PSBQbGVhc2UgYmVjb21lIGEgU3RhbGtlciBmaXJzdC4gPT0=,,,,,PT0gT3MgQXJydWFjZWlyb3MgbsOjbyBwb2RlbSBhdmFuw6dhciBkaXJldGFtZW50ZSBwYXJhIGVzdGEgdGVyY2VpcmEgY2xhc3NlLiA9PQo9PSBUb3JuZS1zZSB1bSBEZXNvcmRlaXJvIHByaW1laXJvLiA9PQ==,,
w5PlAg,,V2hhdCBpcyBpdD8=,,,,,TyBxdWUgw6k/,,wr9RdcOpIHN1Y2VkZT8=
xJPlAg,,W0dpcmxdCkhhdmUgeW91IGJlZW4gdG8gdGhlIEd1aWxkPwpTb21ldGhpbmcgaW50ZXJlc3RpbmcgaGFzIGhhcHBlbmVkLgpBIGd1ZXN0IGhhcyB2aXNpdGVkIGZyb20gdGhlIFdvcmtzaG9wLg==,,,,,W0dhcm90YV0KVm9jw6ogZXN0ZXZlIG5hIGd1aWxkYT8KQWNvbnRlY2V1IGFsZ28gaW50ZXJlc3NhbnRlLgpWZWlvIHVtIGNvbnZpZGFkbyBkYSBvZmljaW5hLg==,,W0NoaWNhXQrCv0Z1aXN0ZSBhbCBncmVtaW8/ClN1Y2VkacOzIGFsZ28gaW50ZXJlc2FudGUuClZpbm8gdW4gaW52aXRhZG8gZGVsIFRhbGxlci4=
xZPlAg,,W0dpcmxdClBlcmhhcHMgaGUgaGFzIHNvbWV0aGluZyB0byBkbyB3aXRoIHRoZSBTaGFkb3cgQ2hhc2VycywgeW91IGtub3cuCklmIHlvdSdyZSBpbnRlcmVzdGVkLCB0b28sIHlvdSBzaG91bGQgZ28gdGFsayB0byBoaW0uCldoYXRldmVyJ3MgaGFwcGVuaW5nIGluIHRoZSBXb3Jrc2hvcCBhc2lkZSwgbWVldGluZyBhIFNoYWRvdyBDaGFzZXIgc2hvdWxkIGJlIGhlbHBmdWwgdG8geW91Lg==,,,,,W0dhcm90YV0KVGFsdmV6IGVsZSB0ZW5oYSBhbGdvIGEgdmVyIGNvbSBvcyBSZW5lZ2Fkb3MuLi4KU2Ugdm9jw6ogdGFtYsOpbSBzZSBpbnRlcmVzc2FyLCBkZXZlcmlhIGlyIGZhbGFyIGNvbSBlbGUuCkluZGVwZW5kZW50ZW1lbnRlIGRvIHF1ZSBlc3RpdmVyIGFjb250ZWNlbmRvIG5hIG9maWNpbmEsIGNvbmhlY2VyIHVtIFJlbmVnYWRvIGRldmUgbGhlIHNlciDDunRpbC4=,,W0NoaWNhXQpRdWl6w6FzIHRlbmdhIGFsZ28gcXVlIHZlciBjb24gbG9zIFBlcnNlZ3VpZG9yZXMgZGUgc29tYnJhcy4KU2kgYSB0aSB0YW1iacOpbiB0ZSBpbnRlcmVzYSwgZGViZXLDrWFzIGlyIGEgaGFibGFyIGNvbiDDqWwuCk3DoXMgYWxsw6EgZGUgbG8gcXVlIG9jdXJyYSBlbiBlbCBUYWxsZXIsIGNvbm9jZXIgYSB1biBQZXJzZWd1aWRvciBkZSBzb21icmFzIGRlYmVyw61hIHNlcnRlIMO6dGlsLg==
xpPlAg,,W0dpcmxdCldoZW5ldmVyIHNvbWVvbmUgdmlzaXRzIGZyb20gdGhlIFdvcmtzaG9wLCB0aGV5IGJyaW5nIHNvbWUgaW50ZXJlc3RpbmcgbmV3cyBvciB3b3JrLgpJIHdvbmRlciB3aGF0IGhlJ3MgYnJvdWdodCB0aGlzIHRpbWUuCkFoLCBjYW4ndCB3YWl0IQ==,,,,,W0dhcm90YV0KU2VtcHJlIHF1ZSBhbGd1w6ltIHZpc2l0YSBhIG9maWNpbmEsIHRyYXogYWxndW1hIG5vdMOtY2lhIG91IHRyYWJhbGhvIGludGVyZXNzYW50ZS4KTyBxdWUgc2Vyw6EgcXVlIGVsZSB0cm91eGUgZGVzdGEgdmV6PwpBaCwgbWFsIHBvc3NvIGVzcGVyYXIh,,W0NoaWNhXQpTaWVtcHJlIHF1ZSB2aWVuZSBhbGd1aWVuIGRlbCBUYWxsZXIsIHRyYWUgYWxndW5hIG5vdGljaWEgbyB0YXJlYSBpbnRlcmVzYW50ZS4KTWUgcHJlZ3VudG8gcXXDqSBoYWJyw6EgdHJhw61kbyBlc3RhIHZlei4KwqFBaCwgbWUgbXVlcm8gZGUgZ2FuYXMgZGUgc2FiZXJsbyE=
x5PlAg,,W0dpcmxdCldoYXQgYXJlIHlvdSBzdGlsbCBkb2luZyBoZXJlPyBJZiB5b3UncmUgaW50ZXJlc3RlZCBpbiBteSBzdG9yeSwgdGhlbiB5b3Ugc2hvdWxkIGdvIHRvIHRoZSBHdWlsZC4KLi4uWW91IGtub3cgd2hlcmUgb3VyIGJhc2UgaXMsIGRvbid0IHlvdT8=,,,,,W0dhcm90YV0KTyBxdWUgYWluZGEgZXN0w6EgZmF6ZW5kbyBhcXVpPyBTZSB2b2PDqiBzZSBpbnRlcmVzc291IHBlbGEgbWluaGEgaGlzdMOzcmlhLCBkZXZlIGlyIMOgIGd1aWxkYS4KLi4uIFNhYmUgb25kZSBmaWNhIG5vc3NhIGJhc2UsIG7Do28gc2FiZT8=,,W0NoaWNhXQrCv1F1w6kgaGFjZXMgYXF1w60gdG9kYXbDrWE/IFNpIHRlIGludGVyZXNhIG1pIGhpc3RvcmlhLCBkZWJlcsOtYXMgaXIgYWwgZ3JlbWlvLgpTYWJlcyBkw7NuZGUgZXN0w6EgbnVlc3RyYSBiYXNlLCDCv25vPw==
yJPlAg,,W0dpcmxdCkl0J3MgdW5kZXIgRm9ydHJlc3MgU2FpbnQgRGFybWFpbiBuZWFyIHRoZSBQaGFyb3MgbGlnaHRob3VzZS4KVHNrLCB0c2suClRoaXMgaXMgd2h5IHlvdSBzaG91bGQgZHJvcCBieSB0aGUgR3VpbGQgc29tZXRpbWVzLg==,,,,,W0dhcm90YV0KRmljYSBlbWJhaXhvIGRhIEZvcnRhbGV6YSBkZSBTYWludCBEYXJtYWluLCBwZXJ0byBkbyBmYXJvbCBkZSBQaGFyb3MuClRzYywgdHNjLgrDiSBwb3IgaXNzbyBxdWUgdm9jw6ogZGV2ZSBwYXNzYXIgbmEgZ3VpbGRhIGRlIHZleiBlbSBxdWFuZG8u,,W0NoaWNhXQpFc3TDoSBiYWpvIGxhIGZvcnRhbGV6YSBkZSBTYWludCBEYXJtYWluLCBjZXJjYSBkZWwgRmFybyBkZSBQaGFyb3MuCipUc2MsIHRzYyoKUG9yIGVzbywgZGViZXLDrWFzIHBhc2FydGUgZGUgdmV6IGVuIGN1YW5kbyBwb3IgZWwgZ3JlbWlvLg==
yZPlAg,,W0dpcmxdCldob2EsIHlvdSBsb29rIGJ1c3khCkFib3V0IHRoZSBndWVzdCBmcm9tIHRoZSBXb3Jrc2hvcCBJIHRvbGQgeW91IGFib3V0LgpEaWQgeW91IGhlYXIgd2hhdCB0aGF0IHdhcyBhYm91dD8KQSB0cmVhc3VyZSBodW50IQ==,,,,,W0dhcm90YV0KRWl0YSwgdm9jw6ogbsOjbyBwYXJhIQpTb2JyZSBvIGNvbnZpZGFkbyBkYSBvZmljaW5hIGRlIHF1ZW0gbGhlIGZhbGVpLi4uClZvY8OqIHNvdWJlIG8gcXVlIGVyYT8KVW1hIGNhw6dhIGFvIHRlc291cm8h,,W0NoaWNhXQrCoVZheWEsIHBhcmVjZSBxdWUgdGllbmVzIG11Y2hvIHF1ZSBoYWNlciEKwr9SZWN1ZXJkYXMgYWwgaW52aXRhZG8gZGVsIFRhbGxlciBkZWwgcXVlIHRlIGhhYmzDqT8Kwr9UZSBlbnRlcmFzdGUgZGUgcXXDqSBzZSB0cmF0YWJhPwrCoVVuYSBiw7pzcXVlZGEgZGVsIHRlc29ybyE=
