wJKDAQ,,Um9hbWluZyBNYW4=,,,,,SG9tZW0gaXRpbmVyYW50ZQ==,,
wZKDAQ,,W1JpY2FlbF0KWW91IG11c3QgYmUgbG9zdC4uLgpXaHkgd291bGQgYW55b25lIGNvbWUKdG8gdGhpcyBob3JyaWQsIGRyZWFkZnVsCnBsYWNlIG9uIHB1cnBvc2UuLi4/Pw==,,,,,W1JpY2FlbF0KVm9jw6ogZGV2ZSBlc3RhciBwZXJkaWRvLi4uClBvciBxdWUgYWxndcOpbSB2aXJpYQphIGVzdGUgbHVnYXIgaG9ycsOtdmVsIGUgdGVycsOtdmVsCmhvcnLDrXZlbCBkZSBwcm9ww7NzaXRvLi4uPw==,,
wpKDAQ,,W1JpY2FlbF0KRXZlciBzaW5jZSBJIHN0dW1ibGVkIGZlbGwgZG93biBpbnRvIHRoaXMgZ2lhbnQgdHJlZSwgSSd2ZSBzdWZmZXJlZCBlbmRsZXNzbHkgaGVyZS4gSSd2ZSB3YXN0ZWQgeWVhcnMgaW4gc2FkbmVzcywgYmVpbmcgdW5hYmxlIHRvIGVzY2FwZSBOaWZsaGVpbS4=,,,,,W1JpY2FlbF0KRGVzZGUgcXVlIHRyb3BlY2VpIGUgY2HDrSBuZXN0YSDDoXJ2b3JlIGdpZ2FudGUsIHRlbmhvIHNvZnJpZG8gc2VtIHBhcmFyIGFxdWkuIFBlcmRpIGFub3MgbmEgdHJpc3RlemEsIHNlbSBjb25zZWd1aXIgZXNjYXBhciBkZSBOaWZsaGVpbS4=,,
w5KDAQ,,W1JpY2FlbF0KQnV0IGluIHNlYXJjaGluZyBmb3IgYW4KZXNjYXBlIHJvdXRlLCBJIHByb2JhYmx5IGtub3cKdGhpcyB0b3duIGJldHRlciB0aGFuIGFueW9uZQplbHNlLiBJIGd1ZXNzIGtub3dpbmcgdGhlCmxheW91dCBtaWdodCBoZWxwIHlvdSBlc2NhcGUKaWYgaXQgd2VyZW4ndCBzbyBmdXRpbGUu,,,,,W1JpY2FlbF0uCk1hcyBhbyBwcm9jdXJhciB1bWEKcm90YSBkZSBmdWdhLCBldSBwcm92YXZlbG1lbnRlIGNvbmhlw6dvCmVzdGEgY2lkYWRlIG1lbGhvciBkbyBxdWUgbmluZ3XDqW0KZG8gcXVlIHF1YWxxdWVyIG91dHJhIHBlc3NvYS4gQWNobyBxdWUgY29uaGVjZXIgYQpsYXlvdXQgcG9kZSBhanVkw6EtbG8gYSBlc2NhcGFyCnNlIG7Do28gZm9zc2UgdMOjbyBpbsO6dGlsLg==,,
xJKDAQ,,QXNrIGJ1aWxkaW5nIGxvY2F0aW9ucy4=,,,,,UGVyZ3VudGUgc29icmUgYSBsb2NhbGl6YcOnw6NvIGRvcyBlZGlmw61jaW9zLg==,,
xZKDAQ,,UmVtb3ZlIG1hcmtzIG9uIHRoZSBtaW5pLW1hcC4=,,,,,UmVtb3ZlciBtYXJjYXMgbm8gbWluaW1hcGEu,,
xpKDAQ,,Q2FuY2VsLg==,,,,,Q2FuY2VsYXI=,,
x5KDAQ,,W1JpY2FlbF0KU28sIHVtLCB3aGljaCBwbGFjZSBkbyB5b3Ugd2FudCB0byBrbm93IGFib3V0Pw==,,,,,W1JpY2FlbF0KRW50w6NvLCBzb2JyZSBxdWFsIGx1Z2FyIHZvY8OqIHF1ZXIgc2FiZXI/,,
yJKDAQ,,V2l0Y2gncyBjYXN0bGU=,,,,,Q2FzdGVsbyBkYSBicnV4YQ==,,
yZKDAQ,,VG9vbCBzaG9w,,,,,TG9qYSBkZSBmZXJyYW1lbnRhcw==,,
ypKDAQ,,V2VhcG9uIHNob3A=,,,,,TG9qYSBkZSBhcm1hcw==,,
y5KDAQ,,UHVi,,,,,UHVi,,
zJKDAQ,,Q2FuY2Vs,,,,,Q2FuY2VsYXI=,,
zZKDAQ,,W1JpY2FlbF0KVGhlcmUuIEkgbWFkZSBhIF5GRjMzNTUrXjAwMDAwMCBtYXJrCm9uIHlvdXIgbWluaS1tYXAgc28gdGhhdCB5b3UgY2FuCmdvIHRvIHRoZSBjYXN0bGUgd2hlcmUgdGhhdApjcmVlcHkgd2l0Y2ggbGl2ZXMu,,,,,W1JpY2FlbF0KUHJvbnRvLiBGaXogdW1hIG1hcmNhIF5GRjMzNTUrXjAwMDAwMAplbSBzZXUgbWluaS1tYXBhIHBhcmEgcXVlIHZvY8OqIHBvc3NhCmlyIHBhcmEgbyBjYXN0ZWxvIG9uZGUgYXF1ZWxhCmJydXhhIGFzc3VzdGFkb3JhIG1vcmEu,,
zpKDAQ,,W1JpY2FlbF0KSSB3ZW50IHRoZXJlIG9uY2UsIGJ1dCB0aGVuIEkKcmFuIGF3YXkgYW5kIGRlY2lkZWQgdGhhdCBJCnNob3VsZCB0cnkgdG8gbm90IGRpZSBhcyBtdWNoCmFzIHBvc3NpYmxlLiBUaGF0J3MgcHJldHR5Cm11Y2ggbXkgbGlmZSBnb2FsIGhlcmUgaW4KTmlmbGhlaW0u,,,,,W1JpY2FlbF0KRXUgZnVpIGzDoSB1bWEgdmV6LCBtYXMgZGVwb2lzCmZ1Z2kgZSBkZWNpZGkgcXVlIGRldmVyaWEKZGV2ZXJpYSB0ZW50YXIgbsOjbyBtb3JyZXIgbyBtw6F4aW1vIHBvc3PDrXZlbApwb3Nzw612ZWwuIEVzc2Ugw6kgcHJhdGljYW1lbnRlCnByYXRpY2FtZW50ZSBtZXUgb2JqZXRpdm8gZGUgdmlkYSBhcXVpIGVtCk5pZmxoZWltLg==,,
