QJM0Ag,,R2F0ZSBNYW5hZ2Vy,,,,,R2VyZW50ZSBkZSBwb3J0w7Vlcw==,,R2F0ZSBNYW5hZ2Vy
QZM0Ag,,W0dhdGUgTWFuYWdlcl0KSGVsbG8sIEkgYW0gdGhlIEdhdGUgTWFuYWdlciBmcm9tIENhdCBQYXcgTWVyY2hhbnQgR3VpbGQgd2FycCBkZXBhcnRtZW50LgpIb3cgbWF5IEkgaGVscCB5b3UgdG9kYXk/,,,,,W0dlcmVudGUgZGUgcG9ydMOjb10KT2zDoSwgc291IG8gR2F0ZSBNYW5hZ2VyIGRvIGRlcGFydGFtZW50byBkZSB3YXJwIGRhIENhdCBQYXcgTWVyY2Fkb3IgR3VpbGQuCkVtIHF1ZSBwb3NzbyBhanVkw6EtbG8gaG9qZT8=,,W0dlc3RvciBkZSBwdWVydGFzXQpIb2xhLCBzb3kgZWwgR2VyZW50ZSBkZSBsYSBQdWVydGEgZGVsIGRlcGFydGFtZW50byBkZSBsYSB1cmRpbWJyZSBkZWwgR3JlbWlvIGRlIENvbWVyY2lhbnRlcyBHYXJyYSBkZSBHYXRvLgrCv0VuIHF1w6kgcHVlZG8gYXl1ZGFydGUgaG95Pw==
QpM0Ag,,SW52ZXN0IGZvciBnYXRlIGNvbm5lY3Rpb24=,,,,,SW52ZXN0aXIgcGFyYSBjb25leMOjbyBkbyBwb3J0w6Nv,,SW52ZXJ0aXIgcGFyYSBsYSBjb25leGnDs24gZGUgbGEgcHVlcnRh
Q5M0Ag,,RGVlcGVzdCBMYXllciBEdW5nZW9uIEFjY2Vzcw==,,,,,QWNlc3NvIMOgIG1hc21vcnJhIERlZXBlc3QgTGF5ZXI=,,QWNjZXNvIGEgbGFzIG1hem1vcnJhcyBtw6FzIHByb2Z1bmRhcw==
RJM0Ag,,QWJ5c3MgR2F0ZSBBY2Nlc3M=,,,,,QWNlc3NvIGFvIFBvcnTDo28gZG8gQWJpc21v,,QWNjZXNvIGEgbGEgUHVlcnRhIGRlbCBBYmlzbW8=
RZM0Ag,,Q2FuY2Vs,,,,,Q2FuY2VsYXI=,,Q2FuY2VsYXIu
RpM0Ag,,W0dhdGUgTWFuYWdlcl0KWW91IGhhdmUgdG9vIG1hbnkgaXRlbXMgdG8gcmVjZWl2ZSB0aGUgVGhhbmsgWW91IFRpY2tldCBhcyBhIHNtYWxsIGdpZnQgZm9yIHlvdXIgaW52ZXN0bWVudC4KUGxlYXNlIGNvbWUgYmFjayBhZnRlciBtYWtpbmcgcm9vbSBpbiB5b3VyIGludmVudG9yeS4=,,,,,W0dlcmVudGUgZGUgcG9ydMO1ZXNdClZvY8OqIHRlbSBpdGVucyBkZW1haXMgcGFyYSByZWNlYmVyIG8gVGhhbmsgWW91IFRpY2tldCBjb21vIHVtIHBlcXVlbm8gcHJlc2VudGUgcGVsbyBzZXUgaW52ZXN0aW1lbnRvLgpWb2x0ZSBkZXBvaXMgZGUgbGliZXJhciBlc3Bhw6dvIGVtIHNldSBpbnZlbnTDoXJpby4=,,W0dlc3RvciBkZSBwdWVydGFzXQpUaWVuZSBkZW1hc2lhZG9zIGFydMOtY3Vsb3MgcGFyYSByZWNpYmlyIGVsIGJpbGxldGUgZGUgYWdyYWRlY2ltaWVudG8gY29tbyBwZXF1ZcOxbyBvYnNlcXVpbyBwb3Igc3UgaW52ZXJzacOzbi4KUG9yIGZhdm9yLCB2dWVsdmEgZGVzcHXDqXMgZGUgaGFjZXIgc2l0aW8gZW4gc3UgaW52ZW50YXJpby4=
R5M0Ag,,W0dhdGUgTWFuYWdlcl0KWW91IGhhdmUgdG9vIG1hbnkgVGhhbmsgWW91IFRpY2tldHMgdG8gcmVjZWl2ZSBhbnkgbW9yZS4KQ2Fubm90IGdpdmUgeW91IGFueSBtb3JlIHRpY2tldHMuIFBsZWFzZSB1c2UgeW91ciB0aWNrZXQgYW5kIGNvbWUgYmFjay4KVGhlIHRpY2tldCBjYW4gYmUgZXhjaGFuZ2VkIHdpdGggdmFyaW91cyBpdGVtcyBpbiBNYWxhbmdkby4=,,,,,W0dhdGUgTWFuYWdlcl0uClZvY8OqIHRlbSBtdWl0b3MgaW5ncmVzc29zIGRlIGFncmFkZWNpbWVudG8gcGFyYSByZWNlYmVyIG1haXMuCk7Do28gcG9zc28gbGhlIGRhciBtYWlzIGluZ3Jlc3Nvcy4gUG9yIGZhdm9yLCB1c2Ugc2V1IGluZ3Jlc3NvIGUgdm9sdGUuCk8gdMOtcXVldGUgcG9kZSBzZXIgdHJvY2FkbyBwb3IgdsOhcmlvcyBpdGVucyBlbSBNYWxhbmdkby4=,,W0dlc3RvciBkZSBwdWVydGFzXQpUaWVuZSBkZW1hc2lhZGFzIGVudHJhZGFzIGRlIGFncmFkZWNpbWllbnRvIHBhcmEgcmVjaWJpciBtw6FzLgpObyBwdWVkbyBkYXJsZSBtw6FzIGVudHJhZGFzLiBQb3IgZmF2b3IsIHVzZSBzdSBiaWxsZXRlIHkgdnVlbHZhLgpFbCBiaWxsZXRlIHB1ZWRlIGNhbmplYXJzZSBwb3IgZGl2ZXJzb3MgYXJ0w61jdWxvcyBlbiBNYWxhbmdkby4=
SJM0Ag,,W0dhdGUgTWFuYWdlcl0KUHJvY2VlZCBpbnZlc3RpbmcgdW5kZXIgeW91ciBndWlsZCBuYW1lLgpUaGVyZSBhcmUgMiB3YXlzIHRvIGludmVzdCwgYnkgWmVueSBvciB0aGUgSW52ZXN0bWVudCBDZXJ0aWZpY2F0ZSBnaXZlbiBvdXQgYnkgdGhlIENhdCBQYXcgTWVyY2hhbnQgR3VpbGQuCldoaWNoIHdheSB3b3VsZCB5b3UgbGlrZSB0byBtYWtlIHlvdXIgaW52ZXN0bWVudD8=,,,,,W0dlcmVudGUgZGUgcG9ydMO1ZXNdCkNvbnRpbnVlIGludmVzdGluZG8gY29tIG8gbm9tZSBkZSBzdWEgZ3VpbGRhLgpIw6EgZHVhcyBtYW5laXJhcyBkZSBpbnZlc3RpcjogcGVsbyBaZW55IG91IHBlbG8gY2VydGlmaWNhZG8gZGUgaW52ZXN0aW1lbnRvIGZvcm5lY2lkbyBwZWxhIENhdCBQYXcgTWVyY2Fkb3IgR3VpbGQuCkRlIHF1ZSBmb3JtYSB2b2PDqiBnb3N0YXJpYSBkZSBmYXplciBzZXUgaW52ZXN0aW1lbnRvPw==,,W0dlc3RvciBkZSBwdWVydGFzXQpQcm9jZWRhIGEgaW52ZXJ0aXIgY29uIHN1IG5vbWJyZSBkZSBncmVtaW8uCkhheSAyIGZvcm1hcyBkZSBpbnZlcnRpciwgbWVkaWFudGUgWmVueSBvIGVsIENlcnRpZmljYWRvIGRlIEludmVyc2nDs24gcXVlIG90b3JnYSBlbCBHcmVtaW8gZGUgQ29tZXJjaWFudGVzIGRlIGxhIFphcnBhIGRlIEdhdG8uCsK/UG9yIGTDs25kZSBxdWllcmUgaW52ZXJ0aXI/
SZM0Ag,,SW52ZXN0IHdpdGggWmVueS4=,,,,,SW52aXN0YSBjb20gYSBaZW55Lg==,,SW52aWVydGUgY29uIFplbnku
SpM0Ag,,SW52ZXN0IHdpdGggSW52ZXN0bWVudCBDZXJ0aWZpY2F0ZXMu,,,,,SW52ZXN0aXIgY29tIENlcnRpZmljYWRvcyBkZSBJbnZlc3RpbWVudG8u,,SW52aWVydGEgY29uIGNlcnRpZmljYWRvcyBkZSBpbnZlcnNpw7NuLg==
S5M0Ag,,W0dhdGUgTWFuYWdlcl0KU28geW91J3ZlIGRlY2lkZWQgdG8gaW52ZXN0IGluIFplbnkuCk1pbmltdW0gaW52ZXN0bWVudCB1bml0IGlzIF40RDRERkYxMCwwMDAgWmVueV4wMDAwMDAuCllvdSBjYW4gaW52ZXN0IGEgbWF4aW11bSBvZiA1MCB1bml0cyB3aGljaCBpcyBeNEQ0REZGIDUwMCwwMDAgWmVueV4wMDAwMDAu,,,,,W0dhdGUgTWFuYWdlcl0uCkVudMOjbyB2b2PDqiBkZWNpZGl1IGludmVzdGlyIGVtIFplbnkuCkEgdW5pZGFkZSBtw61uaW1hIGRlIGludmVzdGltZW50byDDqSBeNEQ0REZGMTAuMDAwIFplbnleMDAwMDAwLgpWb2PDqiBwb2RlIGludmVzdGlyIHVtIG3DoXhpbW8gZGUgNTAgdW5pZGFkZXMsIHF1ZSDDqSBeNEQ0REZGIDUwMC4wMDAgWmVueV4wMDAwMDAu,,W0dlc3RvciBkZSBwdWVydGFzXQpBc8OtIHF1ZSBoYXMgZGVjaWRpZG8gaW52ZXJ0aXIgZW4gWmVueS4KTGEgdW5pZGFkIG3DrW5pbWEgZGUgaW52ZXJzacOzbiBlcyBeNEQ0REZGMTAuMDAwIFplbnleMDAwMDAwLgpQdWVkZXMgaW52ZXJ0aXIgdW4gbcOheGltbyBkZSA1MCB1bmlkYWRlcyBxdWUgZXMgXjRENERGRiA1MDAuMDAwIFplbnleMDAwMDAwLg==
TJM0Ag,,MSB1bml0IDEwLDAwMCBaZW55,,,,,MSB1bmlkYWRlIDEwLjAwMCBaZW55,,MSB1bmlkYWQgMTAuMDAwIFplbnk=
