oGhZBw,,V29vZCBTdXBwbHkgVGVhbSBDaGllZg==,,,,,Q2hlZmUgZG9zIENhcnBpbnRlaXJvcw==,,V29vZCBTdXBwbHkgVGVhbSBDaGllZg==
oWhZBw,,LSBZb3UgYXJlIGNhcnJ5aW5nIHRvbyBtYW55IGl0ZW1zIHRvIGNvbnRpbnVlLiAt,,,,,Vm9jw6ogZXN0w6EgY2FycmVnYW5kbyBpdGVucyBkZW1haXMgcGFyYSBwb2RlciBjb250aW51YXIuIC0=,,LUxsZXZhcyBkZW1hc2lhZG9zIG9iamV0b3MgcGFyYSBjb250aW51YXIuLQ==
omhZBw,,W1dvb2QgU3VwcGx5IFRlYW0gQ2hpZWZdClNvbWUgc3RyYW5nZSBwcm9ibGVtIG9jY3VycmVkLgpJIHRvb2sgY2FyZSBvZiB0aGUgcHJvYmxlbSBmb3Igbm93LCBidXQgaWYgdGhlIHByb2JsZW0gcGVyc2lzdHMsIHlvdSBzaG91bGQgdGFrZSBhIHNjcmVlbnNob3QgYW5kIHN1Ym1pdCBpdCB0byB0aGUgT3BlcmF0aW9uIFRlYW0u,,,,,W0NoZWZlIGRvcyBDYXJwaW50ZWlyb3NdCk9jb3JyZXUgYWxndW0gcHJvYmxlbWEgZXN0cmFuaG8uCkV1IGN1aWRlaSBkbyBwcm9ibGVtYSBhdMOpIGFnb3JhLCBtYXMgc2UgZWxlIHBlcnNpc3Rpciwgw6kgbWVsaG9yIHZvY8OqIGNhcHR1cmFyIHVtYSBpbWFnZW0gZGEgdGVsYSBlIG1hbmTDoS1sYSBwYXJhIGEgRXF1aXBlIGRlIE9wZXJhw6fDtWVzLg==,,W0plZmUgZGVsIGVxdWlwbyBkZSBzdW1pbmlzdHJvIGRlIG1hZGVyYV0KT2N1cnJpw7MgdW4gcHJvYmxlbWEgZXh0cmHDsW8uCk1lIGVuY2FyZ3XDqSBkZWwgcHJvYmxlbWEgcG9yIGVsIG1vbWVudG8sIHBlcm8gc2kgcGVyc2lzdGUsIGRlYmVyw61hcyB0b21hciB1bmEgY2FwdHVyYSBkZSBwYW50YWxsYSB5IGVudmlhcmxhIGFsIGVxdWlwbyBkZSBvcGVyYWNpb25lcy4=
o2hZBw,,W1dvb2QgU3VwcGx5IFRlYW0gQ2hpZWZdCldoYXQgY2FuIEkgZG8gZm9yIHlvdT8=,,,,,W0NoZWZlIGRvcyBDYXJwaW50ZWlyb3NdCkVtIHF1ZSBwb3NzbyBhanVkYXI/,,W0plZmUgZGVsIGVxdWlwbyBkZSBzdW1pbmlzdHJvIGRlIG1hZGVyYV0Kwr9FbiBxdcOpIHRlIHB1ZWRvIGF5dWRhcj8=
pGhZBw,,SSd2ZSBicm91Z2h0IHNvbWUgd29vZC4=,,,,,RXUgdHJvdXhlIHVtIHBvdWNvIGRlIG1hZGVpcmEu,,VHJhamUgYWxnbyBkZSBtYWRlcmEu
pWhZBw,,V2hlcmUgY2FuIEkgcGljayB1cCBhbiBheD8=,,,,,T25kZSBwb3NzbyBwZWdhciB1bSBtYWNoYWRvPw==,,wr9Ew7NuZGUgcHVlZG8gY29uc2VndWlyIHVuIGhhY2hhPw==
pmhZBw,,RW5kIGNvbnZlcnNhdGlvbi4=,,,,,VGVybWluYXIgY29udmVyc2Eu,,RmluYWxpemFyIGNvbnZlcnNhY2nDs24u
p2hZBw,,W1dvb2QgU3VwcGx5IFRlYW0gQ2hpZWZdCk9oLCBkaWRuJ3QgSSB0ZWxsIHlvdT8gU29ycnksIEkndmUgYmVlbiBidXN5LiBZb3UgY2FuIGFzayB0aGUgVG9vbCBTdXBwbGllciBvdmVyIHRoZXJlIGZvciBhbiBheC4=,,,,,W0NoZWZlIGRvcyBDYXJwaW50ZWlyb3NdCk9oLCBldSBuw6NvIHRlIGRpc3NlPyBEZXNjdWxwZSwgdGVuaG8gZXN0YWRvIG9jdXBhZG8uIFZvY8OqIHBvZGUgcGVkaXIgdW0gbWFjaGFkbyBwYXJhIG8gQWp1ZGFudGUgZGUgQ2FycGludGVpcm8gYWxpIGFvIGxhZG8u,,W0plZmUgZGVsIGVxdWlwbyBkZSBzdW1pbmlzdHJvIGRlIG1hZGVyYV0KT2gsIMK/bm8gdGUgbG8gZGlqZT8gTG8gc2llbnRvLCBlc3R1dmUgb2N1cGFkby4gUHVlZGVzIHBlZGlybGUgdW4gaGFjaGEgYWwgcHJvdmVlZG9yIGRlIGhlcnJhbWllbnRhcy4=
qGhZBw,,W1dvb2QgU3VwcGx5IFRlYW0gQ2hpZWZdCktlZXAgdXAgdGhlIGdvb2Qgd29yay4=,,,,,W0NoZWZlIGRvcyBDYXJwaW50ZWlyb3NdCkNvbnRpbnVlIGNvbSBvIGJvbSB0cmFiYWxoby4=,,W0plZmUgZGVsIGVxdWlwbyBkZSBzdW1pbmlzdHJvIGRlIG1hZGVyYV0KwqFTaWd1ZSBhc8OtIQ==
qWhZBw,,W1dvb2QgU3VwcGx5IFRlYW0gQ2hpZWZdCllvdSBoYXZlIG5vIHdvb2Qu,,,,,W0NoZWZlIGRvcyBDYXJwaW50ZWlyb3NdClZvY8OqIG7Do28gdGVtIG1hZGVpcmEu,,W0plZmUgZGVsIGVxdWlwbyBkZSBzdW1pbmlzdHJvIGRlIG1hZGVyYV0KTm8gdGllbmVzIG1hZGVyYS4=
