wDhWCw,,Qm9hcmRpbmcgU2VydmljZXJvaWQ=,,,,,Um9iw7QgZGUgRW1iYXJxdWU=,,QW5kcm9pZGUgZGUgZW1iYXJxdWU=
wThWCw,,VmFsa3lyaWUgQWly,,,,,VmFscXXDrXJpYSBMaW5oYXMgQcOpcmVhcw==,,QWVyb2zDrW5lYXMgVmFsa2lyaWE=
wjhWCw,,V2UgaGF2ZSBhcnJpdmVkIGF0IEl6bHVkZS4gV2Ugd2lzaCB5b3UgYSBwbGVhc2FudCBqb3VybmV5Lg==,,,,,Q2hlZ2Ftb3MgZW0gSXpsdWRlLiBEZXNlamFtb3MgdW1hIGJvYSB2aWFnZW0u,,TGxlZ2Ftb3MgYSBJemx1ZGUuIFRlIGRlc2VhbW9zIHVuIGJ1ZW4gdmlhamUu
wzhWCw,,V2UgaGF2ZSBhcnJpdmVkIGF0IEp1bm8uIFdlIHdpc2ggeW91IGEgcGxlYXNhbnQgam91cm5leS4=,,,,,Q2hlZ2Ftb3MgYSBKdW5vLiBEZXNlamFtb3MgdW1hIGJvYSB2aWFnZW0u,,TGxlZ2Ftb3MgYSBKdW5vLiBUZSBkZXNlYW1vcyB1biBidWVuIHZpYWplLg==
xDhWCw,,V2UgaGF2ZSBhcnJpdmVkIGF0IFJhY2hlbC4gV2Ugd2lzaCB5b3UgYSBwbGVhc2FudCBqb3VybmV5Lg==,,,,,Q2hlZ2Ftb3MgZW0gUmFjaGVsLiBEZXNlamFtb3MgdW1hIGJvYSB2aWFnZW0u,,TGxlZ2Ftb3MgYSBSYWNoZWwuIFRlIGRlc2VhbW9zIHVuIGJ1ZW4gdmlhamUu
xThWCw,,V2UgYXJlIGN1cnJlbnRseSBpbiB0aGUgYWlyLiBXZSBob3BlIHlvdSBlbmpveSB5b3VyIHRpbWUgd2l0aCBWYWxreXJpZSBBaXIu,,,,,RXN0YW1vcyBubyBhciBubyBtb21lbnRvLiBFc3BlcmFtb3MgcXVlIHZvY8OqIGFwcm92ZWl0ZSBvIHNldSB0ZW1wbyBjb20gYSBWYWxxdcOtcmlhIExpbmhhcyBBw6lyZWFzLg==,,QWN0dWFsbWVudGUgZXN0YW1vcyB2b2xhbmRvLiBFc3BlcmFtb3MgcXVlIGRpc2ZydXRlcyB0dSB2aWFqZSBjb24gQWVyb2zDrW5lYXMgVmFsa2lyaWEu
xjhWCw,,V2UgaGF2ZSBhcnJpdmVkIGF0IEVpbmJyb2NoLiBXZSB3aXNoIHlvdSBhIHBsZWFzYW50IGpvdXJuZXku,,,,,Q2hlZ2Ftb3MgZW0gRWluYnJvY2guIERlc2VqYW1vcyB1bWEgYm9hIHZpYWdlbS4=,,TGxlZ2Ftb3MgYSBFaW5icm9jaC4gVGUgZGVzZWFtb3MgdW4gYnVlbiB2aWFqZS4=
xzhWCw,,V2UgaGF2ZSBhcnJpdmVkIGF0IExpZ2h0aGFsemVuLiBXZSB3aXNoIHlvdSBhIHBsZWFzYW50IGpvdXJuZXku,,,,,Q2hlZ2Ftb3MgZW0gTGlnaHRoYWx6ZW4uIERlc2VqYW1vcyB1bWEgYm9hIHZpYWdlbS4=,,TGxlZ2Ftb3MgYSBMaWdodGhhbHplbi4gVGUgZGVzZWFtb3MgdW4gYnVlbiB2aWFqZS4=
yDhWCw,,V2UgaGF2ZSBhcnJpdmVkIGF0IEh1Z2VsLiBXZSB3aXNoIHlvdSBhIHBsZWFzYW50IGpvdXJuZXku,,,,,Q2hlZ2Ftb3MgZW0gSHVnZWwuIERlc2VqYW1vcyB1bWEgYm9hIHZpYWdlbS4=,,TGxlZ2Ftb3MgYSBIdWdlbC4gVGUgZGVzZWFtb3MgdW4gYnVlbiB2aWFqZS4=
yThWCw,,Q2hlY2staW4gU2VydmljZXJvaWQ=,,,,,Um9iw7QgZGUgQ2hlY2staW4=,,QW5kcm9pZGUgZGUgcmVnaXN0cm8=
