YDxMDQ,,R3JhcGU=,,,,,VXZv,,VXZv
YTxMDQ,,PFN1cGVyIE5vdmljZSBDbHViPg==,,,,,PCBDbHViZSBkb3MgQXByZW5kaXplcyA+,,PENsdWIgZGUgU3VwZXJwcmluY2lwaWFudGVzPg==
YjxMDQ,,LSBZb3UgY2Fubm90IHByb2NlZWQgYmVjYXVzZSB5b3UgYXJlIGNhcnJ5aW5nIHRvbyBtYW55IGl0ZW1zLiAt,,,,,LSBWb2PDqiBwb3NzdWkgaXRlbnMgZGVtYWlzIHBhcmEgcHJvc3NlZ3Vpci4gLQ==,,LSBObyBwdWVkZXMgY29udGludWFyIHBvcnF1ZSBsbGV2YXMgZGVtYXNpYWRvcyBvYmpldG9zLiAt
YzxMDQ,,W0dyYXBlXQpIZWxsbywgbGl0dGxlIGZyaWVuZCEKSSdtIGFza2luZyBqdXN0IGluIGNhc2UsIGJ1dCBkaWQgeW91IGNvbWUgaGVyZSBiZWNhdXNlIHlvdSB3YW50IHRvIGJlY29tZSBhIEh5cGVyIE5vdmljZT8=,,,,,W1V2b10KT2zDoSwgcGVxdWVubyBhbWlnbyEKU8OzIGVzdG91IHBlcmd1bnRhbmRvIHBvciB2aWEgZGFzIGTDunZpZGFzOiB2b2PDqiB2ZWlvIHBvcnF1ZSBxdWVyIHNlIHRvcm5hciB1bSBIaXBlcmFwcmVuZGl6Pw==,,W1V2b10KwqFIb2xhIQpUZSBwcmVndW50byBwb3Igc2kgYWNhc286IMK/aGFzIHZlbmlkbyBwb3JxdWUgcXVpZXJlcyBjb252ZXJ0aXJ0ZSBlbiBIaXBlcnByaW5jaXBpYW50ZT8=
ZDxMDQ,,WWVhaC4=,,,,,U2ltLg==,,U8OtLg==
ZTxMDQ,,Tm8u,,,,,TsOjby4=,,Tm8u
ZjxMDQ,,W0dyYXBlXQpPaC4uLiBJIHNlZS4gU29ycnkgZm9yIHRhbGtpbmcgdG8geW91LiBUYWtlIGNhcmUu,,,,,W1V2b10KQWguLi4gRW50ZW5kaS4gRGVzY3VscGUgcG9yIGZhbGFyIGNvbSB2b2PDqi4gQXTDqSBtYWlzLg==,,W1V2b10KQWguLi4geWEgdmVvLiBQZXJkb25hIHBvciBoYWJsYXJ0ZS4gUXVlIHRlIHZheWEgYmllbi4=
ZzxMDQ,,W0dyYXBlXQpEdWUgdG8gdmFyaW91cyBjaXJjdW1zdGFuY2VzLCBjaGlsZHJlbiBjYW5ub3QgYmVjb21lIEh5cGVyIE5vdmljZS4=,,,,,W1V2b10KUG9yIGRpdmVyc29zIG1vdGl2b3MsIGNyaWFuw6dhcyBuw6NvIHBvZGVtIHNlIHRvcm5hciBIaXBlcmFwcmVuZGl6ZXMu,,W1V2b10KUG9yIGRpdmVyc29zIG1vdGl2b3MsIGxvcyBuacOxb3Mgbm8gcHVlZGVuIGNvbnZlcnRpcnNlIGVuIEhpcGVycHJpbmNpcGlhbnRlcy4=
aDxMDQ,,W0dyYXBlXQpCdXQgaWYgeW91IHdhbnQsIEkgY2FuIGludHJvZHVjZSB5b3UgdG8gc29tZW9uZSB3aG8gbWF5IGJlIGFibGUgdG8gaGVscC4gV2hhdCBkbyB5b3UgdGhpbms/,,,,,W1V2b10KRW0gdmV6IGRpc3NvLCBzZSBxdWlzZXIsIHBvc3NvIGFwcmVzZW50YXIgYWxndcOpbSBxdWUgdGFsdmV6IHBvc3NhIGFqdWRhci4gTyBxdWUgYWNoYT8=,,W1V2b10KRW4gc3UgbHVnYXIsIHNpIHF1aWVyZXMsIHB1ZWRvIHByZXNlbnRhcnRlIGEgYWxndWllbiBxdWUgdGUgcG9kcsOtYSBheXVkYXIuIMK/UXXDqSB0ZSBwYXJlY2U/
aTxMDQ,,SW50cm9kdWNlIG1lLg==,,,,,QXByZXNlbnRlLW1lLg==,,UHJlc8OpbnRhbWVsYS4=
ajxMDQ,,SSdtIGZpbmUu,,,,,TsOjbyBwcmVjaXNhLg==,,Tm8gaGFjZSBmYWx0YS4=
azxMDQ,,W0dyYXBlXQpBbGwgcmlnaHQuIFRoZW4gSSB3aXNoIHlvdSBsdWNrLg==,,,,,W1V2b10KRW50ZW5kaS4gRW50w6NvIGRlc2VqbyBib2Egc29ydGUu,,W1V2b10KRGUgYWN1ZXJkby4gRW50b25jZXMgdGUgZGVzZW8gc3VlcnRlLg==
bDxMDQ,,W0dyYXBlXQpNaXNzIEVtaWx5IHdpbGwgaGVscCB5b3UuIFNlZSB5b3UgYWdhaW4u,,,,,W1V2b10KQSBTcnRhLiBFbWlseSB2YWkgYWp1ZGFyIHZvY8OqLiBBdMOpIG1haXMu,,W1V2b10KTGEgc2XDsW9yaXRhIEVtaWx5IHRlIGF5dWRhcsOhLiBOb3MgdmVtb3Mu
bTxMDQ,,W0dyYXBlXQpJIHNlbnNlIHRoZSBzY2VudCBvZiBmcmVlZG9tIGZyb20geW91Lg==,,,,,W1V2b10KU2ludG8gZW0gdm9jw6ogbyBhcm9tYSBkYSBsaWJlcmRhZGUu,,W1V2b10KU2llbnRvIHF1ZSB0aWVuZXMgb2xvciBhIGxpYmVydGFkLg==
bjxMDQ,,RnJvbSBteSBib2R5Li4u,,,,,RG8gbWV1IGNvcnBvLi4u,,UXVlIHRlbmdvLi4u
bzxMDQ,,RG8gSSBzbWVsbD8=,,,,,RXUgdMO0IGZlZGVuZG8/,,wr9UZW5nbyBtYWwgb2xvcj8=
cDxMDQ,,W0dyYXBlXQpOby4uLiBUaGF0J3Mgbm90IHdoYXQgSSBtZWFudC4uLg==,,,,,W1V2b10KTsOjby4uLiBOw6NvIGZvaSBpc3NvIHF1ZSBldSBxdWlzIGRpemVyLi4u,,W1V2b10KTm8uLi4gTm8gcXVpc2UgZGVjaXIgZXNvLi4u
cTxMDQ,,W0dyYXBlXQpJLUknbSBzb3JyeS4KSSB3YXMganVzdCBnbGFkIHRvIG1lZXQgYSBTdXBlciBOb3ZpY2UgaW4gQWxkZWJhcmFuIGFmdGVyIHNvIGxvbmcuLi4=,,,,,W1V2b10KRGVzLi4uIERlc2N1bHBlLgpGaXF1ZWkgZmVsaXogcG9yIGVuY29udHJhciB1bSBTdXBlcmFwcmVuZGl6IGVtIEFsIERlIEJhcmFuIGRlcG9pcyBkZSB0YW50byB0ZW1wbywgZSBhY2FiZWkgZGl6ZW5kbyBpc3NvLi4u,,W1V2b10KTG8uLi4gbG8gc2llbnRvLgpTb2xvIG1lIGFsZWdyw6kgcG9ycXVlIGhhY8OtYSBtdWNobyBxdWUgbm8gdmXDrWEgYSB1biBTdXBlcnByaW5jaXBpYW50ZSBlbiBBbGRlYmFyYW4uLi4=
cjxMDQ,,W0dyYXBlXQpJIGRpZG4ndCBtZWFuIHRvIGJlIHJ1ZGUuLi4gSGFoYWhhaGEh,,,,,W1V2b10KQWNhYmVpIHNlbmRvIGluY29udmVuaWVudGUgc2VtIHF1ZXJlci4uLiBIYWhhaGFoYSE=,,W1V2b10KTm8gcXVpc2Ugc29uYXIgbWFsZWR1Y2Fkby4uLiDCoUphLCBqYSwgamEh
czxMDQ,,W0dyYXBlXQpTaW5jZSBtZWV0aW5nIGxpa2UgdGhpcyBtdXN0IGJlIGZhdGUsIGhhcyBhbnl0aGluZyBiZWVuIHRyb3VibGluZyB5b3UgbGF0ZWx5Pw==,,,,,W1V2b10KSsOhIHF1ZSBub3MgZW5jb250cmFtb3MgcG9yIGFsZ3VtIGRlc3Rpbm8sIGjDoSBhbGdvIHF1ZSB0ZW0gaW5jb21vZGFkbyB2b2PDqiB1bHRpbWFtZW50ZT8=,,W1V2b10KRW5jb250cmFybm9zIGFzw60gZGViZSBzZXIgb2JyYSBkZWwgZGVzdGlubywgZGltZSDCv2hheSBhbGdvIHF1ZSB0ZSBoYXlhIGVzdGFkbyBkYW5kbyBwcm9ibGVtYXMgw7psdGltYW1lbnRlPw==
dDxMDQ,,W0dyYXBlXQpJIG1heSBub3QgbG9vayBsaWtlIG11Y2gsIGJ1dCBJJ3ZlIGJlZW4gYXJvdW5kIHRoaXMgZmllbGQgcXVpdGUgYSBiaXQsIHNvIEkgY2FuIHB1bGwgc29tZSB3ZWlnaHQu,,,,,W1V2b10KQXBlc2FyIGRhcyBhcGFyw6puY2lhcywgdGVuaG8gYmFzdGFudGUgZXhwZXJpw6puY2lhIHBvciBhcXVpLCBlbnTDo28gY29uc2lnbyBkYXIgdW1hIGFqdWRpbmhhLg==,,W1V2b10KQXVucXVlIG5vIGxvIHBhcmV6Y2EsIGxsZXZvIGJhc3RhbnRlIHRpZW1wbyBtb3Zpw6luZG9tZSBlbiBlc3RlIG11bmRpbGxvIHkgdGVuZ28gY2llcnRhIGluZmx1ZW5jaWEu
dTxMDQ,,W0dyYXBlXQpUaGluZ3MgbGlrZSBsYW1lbnRpbmcgdGhlIHBsaWdodCBvZiBhIFN1cGVyIE5vdmljZSBzdHVjayBoYXJkIGF0IDIwMCwgZm9yIGV4YW1wbGUu,,,,,W1V2b10KQ29pc2FzIGNvbW8gbGFtZW50YXIgYSBzaXR1YcOnw6NvIGRlIHVtIFN1cGVyYXByZW5kaXogdHJhdmFkbyBubyAyMDAsIHBvciBleGVtcGxvLg==,,W1V2b10KTWUgcmVmaWVybyBhIGNvc2FzIGNvbW8gbGFtZW50YXIgbGEgc2l0dWFjacOzbiBkZSB1biBTdXBlcnByaW5jaXBpYW50ZSBhdGFzY2FkbyBkZSBnb2xwZSBlbiBlbCBuaXZlbCAyMDAu
djxMDQ,,TGF0ZWx5Li4u,,,,,VWx0aW1hbWVudGUuLi4=,,w5psdGltYW1lbnRlLi4u
dzxMDQ,,TGF0ZWx5LCBiZWluZyBleGNsdWRlZCBmcm9tIG1pc3Npb25zIGJlY2F1c2UgSSdtIGEgTm92aWNlIGhhcyBiZWNvbWUgYSBkYWlseSB0aGluZy4gSXQncyBhbHdheXMgYmVlbiBsaWtlIHRoYXQsIHNvIGl0IGRvZXNuJ3QgZXZlbiBmZWVsIG5ldyBhbnltb3JlLg==,,,,,VWx0aW1hbWVudGUsIHNlciBleGNsdcOtZG8gZGUgbWlzc8O1ZXMgcG9yIHNlciBBcHJlbmRpeiB2aXJvdSByb3RpbmEuIMOJIGFsZ28gdMOjbyBjb211bSBxdWUgbmVtIMOpIG5vdmlkYWRlLg==,,w5psdGltYW1lbnRlIGVzIG5vcm1hbCBxdWUgbWUgZXhjbHV5YW4gZGUgbGFzIG1pc2lvbmVzIHBvciBzZXIgUHJpbmNpcGlhbnRlLiBDb21vIHNpZW1wcmUgaGEgc2lkbyBhc8OtLCBuaSBzaXF1aWVyYSBlcyBhbGdvIG51ZXZvLg==
eDxMDQ,,W0dyYXBlXQpPaCBkZWFyLCB5b3UgbXVzdCBoYXZlIGhhZCBhIHJvdWdoIHRpbWUu,,,,,W1V2b10KTm9zc2EsIHZvY8OqIGRldmUgdGVyIHNvZnJpZG8gbXVpdG8gY29tIGlzc28u,,W1V2b10KQXksIGNvc2l0YSwgZGViZSBoYWJlciBzaWRvIGTDrWZpY2lsIHBhcmEgdGku
eTxMDQ,,U29tZWhvdy4uLg==,,,,,SXNzbyBzb2EuLi4=,,RGUgYWxndW5hIGZvcm1hLi4u
ejxMDQ,,U29tZWhvdywgSSBmZWVsIGxpa2UgSSdtIGJlaW5nIHRlYXNlZC4gSXMgaXQganVzdCBtZT8=,,,,,SXNzbyBzb2EgbWVpbyBzYXJjw6FzdGljby4gw4kgaW1wcmVzc8OjbyBtaW5oYSwgbsOjbyDDqT8=,,RGUgYWxndW5hIGZvcm1hIHNpZW50byBxdWUgdGUgZXN0w6FzIGJ1cmxhbmRvIGRlIG3DrS4gwr9FcyBpZGVhIG3DrWE/
ezxMDQ,,W0dyYXBlXQpIYWhhaGFoYSEgT2YgY291cnNlIG5vdC4gSSdtIGEgU3VwZXIgTm92aWNlIHRvby4gSSBrbm93IGV4YWN0bHkgaG93IHRoYXQgZmVlbHMu,,,,,W1V2b10KSGFoYWhhaGEhIENsYXJvIHF1ZSBuw6NvLiBFdSB0YW1iw6ltIHNvdSB1bSBTdXBlcmFwcmVuZGl6LiBDb25oZcOnbyBtdWl0byBiZW0gZXNzZSBzZW50aW1lbnRvLg==,,W1V2b10KwqFKYSwgamEsIGphISBDbGFybyBxdWUgbm8uIFlvIHRhbWJpw6luIHNveSBTdXBlcnByaW5jaXBpYW50ZS4gRW50aWVuZG8gbXV5IGJpZW4gY8OzbW8gc2Ugc2llbnRlLg==
fDxMDQ,,W0dyYXBlXQpUaGF0J3Mgd2h5IEknbSBhc2tpbmcuIEFyZSB5b3UgcGVyaGFwcyBpbnRlcmVzdGVkIGluIGJlY29taW5nIGEg44COSHlwZXIgTm92aWNl44CPPw==,,,,,W1V2b10Kw4kgcG9yIGlzc28gcXVlIGRpZ286IHZvY8OqIHRlcmlhIGludGVyZXNzZSBlbSBzZSB0b3JuYXIgdW0g44COSGlwZXJhcHJlbmRpeuOAjz8=,,W1V2b10KUG9yIGVzbyBwcmVndW50bzogwr9RdWl6w6FzIHRpZW5lcyBpbnRlcsOpcyBlbiBjb252ZXJ0aXJ0ZSBlbuOAjkhpcGVycHJpbmNpcGlhbnRl44CPPw==
fTxMDQ,,SHlwZXIgTm92aWNlPw==,,,,,SGlwZXJhcHJlbmRpej8=,,wr9IaXBlcnByaW5jaXBpYW50ZT8=
fjxMDQ,,SHlwZXIgTm92aWNlPw==,,,,,SGlwZXJhcHJlbmRpej8=,,wr9IaXBlcnByaW5jaXBpYW50ZT8=
fzxMDQ,,W0dyYXBlXQpUaGUgU3VwZXIgTm92aWNlIGFtb25nIFN1cGVyIE5vdmljZSEgWW91IGNvdWxkIHNheSBpdCdzIGEgZ3JvdXAgb2Ygc3VjY2Vzc2Z1bCBlbGl0ZSBOb3ZpY2VzLg==,,,,,W1V2b10KVW0gU3VwZXJhcHJlbmRpeiBlbnRyZSBvcyBTdXBlcmFwcmVuZGl6ZXMhIERpZ2Ftb3MgcXVlIMOpIHVtIGdydXBvIGZvcm1hZG8gcG9yIEFwcmVuZGl6ZXMgZGUgZWxpdGUgYmVtLXN1Y2VkaWRvcy4=,,W1V2b10KwqFFbCBTdXBlcnByaW5jaXBpYW50ZSBlbnRyZSBsb3MgU3VwZXJwcmluY2lwaWFudGVzISBQb2Ryw61hIGRlY2lyc2UgcXVlIGVzIHVuIGdydXBvIGRlIFByaW5jaXBpYW50ZXMgZGUgw6lsaXRlIHF1ZSBoYW4gdHJpdW5mYWRvLg==
