gGBfCw,,QWlycG9ydCBHdWFyZA==,,,,,R3VhcmRhIEFlcm9wb3J0dcOhcmlv,,R3VhcmRpYSBkZWwgYWVyb3B1ZXJ0bw==
gWBfCw,,W0FpcnBvcnQgR3VhcmRdCllvdSBkb24ndCBzZWVtIHNraWxsZWQgZW5vdWdoIGZvciB1cyB0byBhc2sgeW91IGZvciBoZWxwLiBJdCB3b3VsZCBiZSBiZXR0ZXIgZm9yIHlvdSB0byBzdG9wIHRhbGtpbmcgd2l0aCBtZSBhbmQgZ2V0IGludG8gdGhlIGNpdHkgcXVpY2tseSB0byBhdm9pZCBSb3dlZW5zLg==,,,,,W0d1YXJkYSBBZXJvcG9ydHXDoXJpb10Kw4kgbWVsaG9yIHZvY8OqIHRyZWluYXIgdW0gcG91Y28gbWFpcyBzZSBxdWlzZXIgZW5mcmVudGFyIG9zIFJvd2VlbnMu,,W0d1YXJkaWEgZGVsIGFlcm9wdWVydG9dCk5vIHBhcmVjZXMgdGVuZXIgbGFzIGhhYmlsaWRhZGVzIHN1ZmljaWVudGVzIGNvbW8gcGFyYSBxdWUgdGUgcGlkYW1vcyBheXVkYS4gU2Vyw61hIG1lam9yIHF1ZSBkZWphcmFzIGRlIGhhYmxhciBjb25taWdvIHkgZW50cmFyYXMgeWEgYSBsYSBjaXVkYWQgcGFyYSBldml0YXIgYSBsb3MgUm93ZWVuLg==
gmBfCw,,IC0gVGhpcyBxdWVzdCBpcyBmb3IgTGV2ZWwgOTAgYW5kIHVwIC0g,,,,,LSBWb2PDqiBwcmVjaXNhIHRlciBuw612ZWwgZGUgYmFzZSA5MCBvdSBzdXBlcmlvciAt,,IC1Fc3RhIG1pc2nDs24gcmVxdWllcmUgYWwgbWVub3Mgbml2ZWwgOTAuLSA=
g2BfCw,,W0FpcnBvcnQgR3VhcmRdCkkgYWxzbyBhc2tlZCBFZGVuIEdyb3VwIGlmIHRoZXkgaGF2ZSBzb21lb25lIHdobyBjYW4gaGVscCBtZSwgYnV0IGl0IHNlZW1zIHRoYXQgeW91IGFjY2VwdGVkIHRoZSBqb2IsIEFkdmVudHVyZXIu,,,,,W0d1YXJkYSBBZXJvcG9ydHXDoXJpb10KUGVkaSBhanVkYSBhbyBHcnVwbyBkbyDDiWRlbiBlIHZvY8OqIGFjZWl0b3UgYSBzb2xpY2l0YcOnw6NvLg==,,W0d1YXJkaWEgZGVsIGFlcm9wdWVydG9dClRhbWJpw6luIGxlIHByZWd1bnTDqSBhbCBHcnVwbyBkZSBFZMOpbiBzaSB0ZW7DrWFuIGEgYWxndWllbiBxdWUgcHVlZGEgYXl1ZGFybWUsIHBlcm8gcGFyZWNlIHF1ZSB0w7ogYWNlcHRhc3RlIGVsIHRyYWJham8sIHRyb3RhbXVuZG9zLg==
hGBfCw,,W0FpcnBvcnQgR3VhcmRdClRoYW5rIHlvdS4gQW55d2F5LCBnb29kIGx1Y2su,,,,,W0d1YXJkYSBBZXJvcG9ydHXDoXJpb10KT2JyaWdhZG8uIE11aXRvIG9icmlnYWRvLg==,,W0d1YXJkaWEgZGVsIGFlcm9wdWVydG9dCkdyYWNpYXMuIEVuIGZpbiwgYnVlbmEgc3VlcnRlLg==
hWBfCw,,W0FpcnBvcnQgR3VhcmRdCllvdSBoYXZlIGFjY2VwdGVkIHRoZSByZXF1ZXN0IEkgbWFkZSB0byBFZGVuIEdyb3VwLgpUaGFua3MgdG8geW91LCBwZW9wbGUgY2FuIHRyYXZlbCB3aXRob3V0IGZlYXIuIEkgdGhpbmsgeW91IGNhbiB0YWtlIGEgYnJlYXRoZXIgYW5kIGNvbWUgYmFjay4=,,,,,W0d1YXJkYSBBZXJvcG9ydHXDoXJpb10KVm9jw6ogZGV2ZSB0ZXIgdmlzdG8gbWluaGEgc29saWNpdGHDp8OjbyBsw6Egbm8gR3J1cG8gZG8gw4lkZW4uCkdyYcOnYXMgw6Agdm9jw6osIGFzIHBlc3NvYXMgcG9kZXLDo28gdmlhamFyIGVtIHBhei4gU2VyaWEgYm9tIHF1ZSB2b2PDqiBkZXNjYW5zYXNzZSB1bSBwb3Vjby4=,,W0d1YXJkaWEgZGVsIGFlcm9wdWVydG9dCkFjZXB0YXN0ZSBsYSBzb2xpY2l0dWQgcXVlIGVudmnDqSBhbCBHcnVwbyBkZSBFZMOpbi4KR3JhY2lhcyBhIHRpLCBsYSBnZW50ZSBwdWVkZSB2aWFqYXIgc2luIG1pZWRvLiBDcmVvIHF1ZSBwdWVkZXMgdG9tYXJ0ZSB1biBkZXNjYW5zbyB5IHZvbHZlci4=
hmBfCw,,W0FpcnBvcnQgR3VhcmRdCkhlbGxvLiBBcmUgeW91IHRyYXZlbGluZz8=,,,,,W0d1YXJkYSBBZXJvcG9ydHXDoXJpb10KT2zDoS4gVm9jw6ogZXN0w6EgZGUgcGFzc2FnZW0/,,W0d1YXJkaWEgZGVsIGFlcm9wdWVydG9dCkhvbGEuIMK/RXN0w6FzIHZpYWphbmRvPw==
h2BfCw,,W0FpcnBvcnQgR3VhcmRdCllvdSBsb29rIGxpa2UgYW4gZXhwZXJpZW5jZWQgQWR2ZW50dXJlciAuLi4gQWN0dWFsbHksIEkgaGF2ZSBhIHF1ZXN0IGZvciBzb21lb25lIGxpa2UgeW91Lg==,,,,,W0d1YXJkYSBBZXJvcG9ydHXDoXJpb10KVm9jw6ogcGFyZWNlIGFxdWVsZXMgYXZlbnR1cmVpcm9zLi4uIEV1IHF1ZXJpYSB1bSBmYXZvciBzZXUu,,W0d1YXJkaWEgZGVsIGFlcm9wdWVydG9dClBhcmVjZSBxdWUgdGllbmVzIGV4cGVyaWVuY2lhIGNvbW8gdHJvdGFtdW5kb3PigKYgRGUgaGVjaG8sIHRlbmdvIHVuYSBtaXNpw7NuIHBhcmEgYWxndWllbiBjb21vIHTDui4=
iGBfCw,,W0FpcnBvcnQgR3VhcmRdCk5vdmljZSBBZHZlbnR1cmVycyBmcm9tIFJhY2hlbCBhbmQgYmVsaWV2ZXJzIG9uIGEgcGlsZ3JpbWFnZSB0byBSYWNoZWwgaGF2ZSBiZWVuIGZhbGxpbmcgdmljdGltIHRvIFJvd2VlbnMgYWZ0ZXIgZ2V0dGluZyBvZmYgdGhlIEFpcnNoaXAu,,,,,W0d1YXJkYSBBZXJvcG9ydHXDoXJpb10KVHVyaXN0YXMgZSBhdMOpIHNhY2VyZG90ZXMgZW0gcGVyZWdyaW5hw6fDo28gZXN0w6NvIHRlbmRvIGRpZmljdWxkYWRlcyBkZSBzYWlyIGRvIEFlcm9wb3J0byBlIGNoZWdhciBuYSBjaWRhZGUgcG9yIGNhdXNhIGRlc3NlcyBSb3dlZW5zLg==,,W0d1YXJkaWEgZGVsIGFlcm9wdWVydG9dCkxvcyB0cm90YW11bmRvcyBwcmluY2lwaWFudGVzIGRlIFJhY2hlbCB5IGxvcyBjcmV5ZW50ZXMgZW4gbGEgcGVyZWdyaW5hY2nDs24gYSBSYWNoZWwgZnVlcm9uIHbDrWN0aW1hcyBkZSBsb3MgUm93ZWVuIGx1ZWdvIGRlIGJhamFyIGRlIGxhIGFlcm9uYXZlLg==
iWBfCw,,W0FpcnBvcnQgR3VhcmRdClNpbmNlIHlvdSdyZSBhbiBleHBlcmllbmNlZCBBZHZlbnR1cmVyLCBjb3VsZCB5b3UgcGxlYXNlIGdldCByaWQgb2YganVzdCBeNEQ0REZGMzAgUm93ZWVuc14wMDAwMDAsIHNvIHRoYXQgcGVvcGxlIGNhbiBzYWZlbHkgdmlzaXQgUmFjaGVsPw==,,,,,W0d1YXJkYSBBZXJvcG9ydHXDoXJpb10KSsOhIHF1ZSB2b2PDqiDDqSBleHBlcmllbnRlLCBwb2RlcmlhIF40RDRERkZzZSBsaXZyYXIgZGUgMzAgUm93ZWVuXjAwMDAwMCBwYXJhIHF1ZSBvcyB2aWFqYW50ZXMgcG9zc2FtIGNoZWdhciBhIHNhbHZvIGVtIFJhY2hlbD8=,,W0d1YXJkaWEgZGVsIGFlcm9wdWVydG9dCkRhZG8gcXVlIHRpZW5lcyBleHBlcmllbmNpYSBjb21vIHRyb3RhbXVuZG9zLCDCv3BvZHLDrWFzIGRlc2hhY2VydGUgZGUgc29sbyBeNEQ0REZGMzAgUm93ZWVuXjAwMDAwMCBwYXJhIHF1ZSBsYXMgcGVyc29uYXMgcHVlZGFuIHZpc2l0YXIgUmFjaGVsIHNpbiBwZWxpZ3JvPw==
imBfCw,,QWNjZXB0Lg==,,,,,QWNlaXRhci4=,,QWNlcHRhci4=
i2BfCw,,RGVjbGluZS4=,,,,,UmVjdXNhci4=,,UmVjaGF6YXIu
jGBfCw,,W0FpcnBvcnQgR3VhcmRdClRoYW5rIHlvdSBzbyBtdWNoLCBBZHZlbnR1cmVyLiBJIHdpbGwgbWFrZSBzdXJlIHRvIHJld2FyZCB5b3Ugb25jZSB5b3UndmUgY29tcGxldGVkIHRoZSB0YXNrLg==,,,,,W0d1YXJkYSBBZXJvcG9ydHXDoXJpb10KQWdyYWRlw6dvLCB2aWFqYW50ZS4gUHJvbWV0byB0ZSByZWNvbXBlbnNhciBwZWxvIHRyYWJhbGhvLg==,,W0d1YXJkaWEgZGVsIGFlcm9wdWVydG9dCk11Y2hhcyBncmFjaWFzLCB0cm90YW11bmRvcy4gTWUgYXNlZ3VyYXLDqSBkZSByZWNvbXBlbnNhcnRlIGN1YW5kbyBoYXlhcyBjb21wbGV0YWRvIGxhIHRhcmVhLg==
jWBfCw,,W0FpcnBvcnQgR3VhcmRdCkFkdmVudHVyZXJzIGFyZSBhbHdheXMgc28gYnVzeS4gSSBzZWUgdGhlbSBjb21lIGFuZCBnbyBhbGwgdGhlIHRpbWUsIHNvIEkgYW0gYXdhcmUgdGhhdCBpdCB3b3VsZCBub3QgYmUgdW5yZWFzb25hYmxlIGZvciB5b3UgdG8gcmVmdXNlIG15IHJlcXVlc3Qu,,,,,W0d1YXJkYSBBZXJvcG9ydHXDoXJpb10KRG8gbWV1IHRyYWJhbGhvLCBldSBvYnNlcnZvIG9zIGF2ZW50dXJlaXJvcyBpbmRvIGUgdm9sdGFuZG8uIE7Do28gY29uc2lnbyBlbnRlbmRlciBvIHBvcnF1w6ogYSByZWN1c2Eu,,W0d1YXJkaWEgZGVsIGFlcm9wdWVydG9dCkxvcyB0cm90YW11bmRvcyBzaWVtcHJlIGVzdMOhbiBtdXkgb2N1cGFkb3MuIExvcyB2ZW8gaXIgeSB2ZW5pciB0b2RvIGVsIHRpZW1wbywgYXPDrSBxdWUgc8OpIHF1ZSBzZXLDrWEgcmF6b25hYmxlIHF1ZSByZWNoYXphcmFzIG1pIHNvbGljaXR1ZC4=
