QL7WDA,,U29saXM=,,,,,U29saXM=,,U29saXM=
Qb7WDA,,QWguLi4gSSB3YW50IHRvIGtub3cgc28gdmVyeSwgdmVyeSBtdWNoLiBZb3UgYmVpbmdzLi4u,,,,,QWguLi4gYSBsw61uZ3VhIGRvcyBhbmpvcy4uLg==,,QWguLi4gZWwgbGVuZ3VhamUgZGUgbG9zIMOhbmdlbGVzLi4u
Qr7WDA,,W1NvbGlzXQpEbyB5b3UgbmVlZCB3b3JrPyBCdXQgeW91IGxvb2sgd2Vha2VyIHRoYW4gbWUuIENvbWUgYmFjayBsYXRlciwgYWxyaWdodD8=,,,,,W1NvbGlzXQpQcmVjaXNhIGRlIHRyYWJhbGhvPyBNYXMgdm9jw6ogbsOjbyBwYXJlY2UgZm9ydGUgbyBiYXN0YW50ZS4uLiB2b2x0ZSBkZXBvaXMsIGNlcnRvPw==,,W1NvbGlzXSAgCsK/TmVjZXNpdGFzIHRyYWJham8/IFBlcm8gbm8gcGFyZWNlcyBsbyBzdWZpY2llbnRlbWVudGUgZnVlcnRlLi4uIHZ1ZWx2ZSBtw6FzIHRhcmRlLCDCv3ZhbGU/
Q77WDA,,XjRENERGRlRoZSByZWNvbW1lbmRlZCBsZXZlbCBmb3IgVGhhbmF0b3MgVG93ZXIgZGFpbHkgcXVlc3RzIGlzIDE4MCBvciBoaWdoZXIuXjAwMDAwMA==,,,,,XjRENERGRlZvY8OqIHByZWNpc2EgdGVyIG7DrXZlbCAxODAgb3Ugc3VwZXJpb3IuXjAwMDAwMA==,,XjRENERGRkRlYmVzIHRlbmVyIG5pdmVsIDE4MCBvIHN1cGVyaW9yLl4wMDAwMDA=
RL7WDA,,W1NvbGlzXQpPaCBteSEgVGhhdCBzdGFydGxlZCBtZSEgWW91IGRvbuKAmXQgc2VlbSB0byBiZSB1bmRlciBjb250cmFjdCwgc28gZ28gbWFrZSBhIGNvbnRyYWN0IGZpcnN0Lg==,,,,,W1NvbGlzXQpBaSBxdWUgc3VzdG8hIFBlbG8gdmlzdG8gdm9jw6ogbmVtIGFzc2lub3UgdW0gY29udHJhdG8uIFByaW1laXJvLCBhY2VpdGUgdHJhYmFsaGFyIHBhcmEgbsOzcyBmYWxhbmRvIGNvbSBhIFJlY2VwY2lvbmlzdGEu,,W1NvbGlzXSAgCsKhQXksIHF1w6kgc3VzdG8hIFBhcmVjZSBxdWUgbmkgc2lxdWllcmEgaGFzIGZpcm1hZG8gdW4gY29udHJhdG8uIFByaW1lcm8sIGFjZXB0YSB0cmFiYWphciBwYXJhIG5vc290cm9zIGhhYmxhbmRvIGNvbiBsYSBSZWNlcGNpb25pc3RhLg==
Rb7WDA,,W1NvbGlzXQpTaGFsbCB3ZSB0cnkgZ29pbmcgdXAgYWdhaW4/IElmIHdl4oCZcmUgbHVja3kgdGhpcyB0aW1lLCB3ZSB3b27igJl0IGVuZCB1cCBhcyBibGluZCwgcGl0aWZ1bCBzYWNyaWZpY2VzLg==,,,,,W1NvbGlzXQpWYWkgc3ViaXIgYSBUb3JyZT8gU2UgdGl2ZXIgc29ydGUsIHRhbHZleiBjb25zaWdhIGFsZ3VtYSBjb2lzYSBsZWdhbCBsw6EgZW0gY2ltYS4=,,W1NvbGlzXSAgCsK/VmFzIGEgc3ViaXIgbGEgVG9ycmU/IFNpIHRpZW5lcyBzdWVydGUsIHF1aXrDoXMgY29uc2lnYXMgYWxnbyBpbnRlcmVzYW50ZSBhbGzDoSBhcnJpYmEu
Rr7WDA,,W0pheV0KWW91IGRvbuKAmXQgbGVhdmUgeW91ciBsaWZlIHRvIGx1Y2su,,,,,W1RheV0KTsOjbyBzZSBkZXZlIGRlaXhhciBhIHZpZGEgw6AgcHLDs3ByaWEgc29ydGUu,,W1RheV0gIApObyBzZSBkZWJlIGRlamFyIGxhIHZpZGEgYWwgYXphci4=
R77WDA,,W1NvbGlzXQpJIHN3ZWFyIEnigJlsbCBlbnJvbGwgaW4gdGhlIGJhc2ljIGNvbWJhdCBjbGFzcy4gSWYgSSBtYWtlIGl0IG91dCBhbGl2ZSwgdGhhdCBpcy4gSHVoPyBBIHBlcnNvbj8gQW4gYWR2ZW50dXJlciEgRmluYWxseSwgYW4gYWR2ZW50dXJlciBoYXMgYXBwZWFyZWQh,,,,,W1NvbGlzXQpFdSB2b3UgbWUgaW5zY3JldmVyIG5hIHR1cm1hIGLDoXNpY2EgZGUgY29tYmF0ZS4gUXVlciBkaXplciwgc2UgZXUgY29uc2VndWlyIHNhaXIgdml2YSBkYXF1aS4gSGVpbj8gVW1hIHBlc3NvYT8gRmluYWxtZW50ZSBhcGFyZWNldSBhbGd1w6ltIQ==,,W1NvbGlzXSAgCk1lIHZveSBhIGluc2NyaWJpciBlbiBsYSBjbGFzZSBiw6FzaWNhIGRlIGNvbWJhdGUuIE8gc2VhLCBzaSBsb2dybyBzYWxpciB2aXZhIGRlIGFxdcOtLiDCv0VoPyDCv1VuYSBwZXJzb25hPyDCoVBvciBmaW4gYXBhcmVjacOzIGFsZ3VpZW4h
SL7WDA,,W0pheV0KWW91IG11c3QgYmUgYW4gYWR2ZW50dXJlciBjb250cmFjdGVkIHdpdGggUmVrZW5iZXIuIE5pY2UgdG8gbWVldCB5b3Uu,,,,,W1RheV0KRW50w6NvIHZvY8OqIGFzc2lub3UgbyBjb250cmF0byBjb20gYSBSZWtlbmJlci4gUHJhemVyIQ==,,W1RheV0gIArCv0Fzw60gcXVlIGZpcm1hc3RlIGVsIGNvbnRyYXRvIGNvbiBSZWtlbmJlcj8gwqFVbiBwbGFjZXIh
Sb7WDA,,V2h5IGFyZSB5b3Ugd2VsY29taW5nIG1lPw==,,,,,TyBxdWUgZXN0w6EgYWNvbnRlY2VuZG8/,,wr9RdcOpIGVzdMOhIHBhc2FuZG8/
Sr7WDA,,W0pheV0KQWgsIHdl4oCZcmUgZnJvbSB0aGUgSnVubyBNb25zdGVyIFNvY2lldHkuIFdlIGNhbWUgYmVjYXVzZSBhIG5ldyB0eXBlIG9mIG1vbnN0ZXIgd2FzIGRpc2NvdmVyZWQuIFdlIGNvbGxlY3QgYW5kIG9yZ2FuaXplIGRhdGEgb24gbmV3IG1vbnN0ZXJzIGFuZCBwcm92aWRlIHRoYXQgaW5mb3JtYXRpb24gdG8gYWR2ZW50dXJlcnMu,,,,,W1RheV0KQWgsIG7Ds3Mgc29tb3MgcGVzcXVpc2Fkb3JhcyBkYSBTb2NpZWRhZGUgSnVuaWFuYSBkZSBNb25zdHJvcywgYSBTSk0uIFZpZW1vcyBwb3JxdWUgZGlzc2VyYW0gcXVlIG5vdm9zIGFuam9zIGZvcmFtIGRlc2NvYmVydG9zLiBDb2xldGFtb3MgZSBvcmdhbml6YW1vcyBkYWRvcyBlIGZvcm5lY2Vtb3MgaW5mb3JtYcOnw7VlcyBhb3MgdmlhamFudGVzLg==,,W1RheV0gIApBaCwgc29tb3MgaW52ZXN0aWdhZG9yYXMgZGUgbGEgU29jaWVkYWQgSnVuaWFuYSBkZSBNb25zdHJ1b3MsIGxhIFNKTS4gVmluaW1vcyBwb3JxdWUgZGlqZXJvbiBxdWUgc2UgZGVzY3Vicmllcm9uIG51ZXZvcyDDoW5nZWxlcy4gUmVjb3BpbGFtb3MgeSBvcmdhbml6YW1vcyBkYXRvcyB5IGRhbW9zIGluZm9ybWFjacOzbiBhIGxvcyB2aWFqZXJvcy4=
