YBhYDA,,SW52ZXN0aWdhdG9yIFRhaWxpbmc=,,,,,QWdlbnRlIFRhaWxpbmc=,,QWdlbnRlIFRhaWxpbmc=
YRhYDA,,PEp1bm8gTW9uc3RlciBTb2NpZXR5Pg==,,,,,U29jaWVkYWRlIGRlIE1vbnN0cm9z,,U29jaWVkYWQgZGUgTW9uc3RydW9z
YhhYDA,,LSBZb3UgY2Fubm90IHByb2NlZWQgYmVjYXVzZSB5b3UgaGF2ZSB0b28gbWFueSBpdGVtcy4gLQ==,,,,,LSBWb2PDqiB0ZW0gbXVpdG9zIGl0ZW5zIGUgbsOjbyBwb2RlIHByb3NzZWd1aXIuIC0=,,Jy0gVGllbmVzIGRlbWFzaWFkb3Mgw610ZW1zIHkgbm8gcHVlZGVzIGNvbnRpbnVhci4gLQ==
YxhYDA,,W0ludmVzdGlnYXRvciBUYWlsaW5nXQpZb3UgYXJlIHRvbyB3ZWFrLCBJIG9ubHkgYWNjZXB0IEFkdmVudHVyZXIgd2l0aCBsZXZlbCA3NiBvciBhYm92ZS4=,,,,,W0FnZW50ZSBUYWlsaW5nXQpBIFNvY2llZGFkZSBKdW5pYW5hIGRlIE1vbnN0cm9zIHPDsyBhY2VpdGEgdmlhamFudGVzIGNvbSBvIG7DrXZlbCBkZSBiYXNlIGFkZXF1YWRvIHBhcmEgYXMgbWlzc8O1ZXMu,,W0FnZW50ZSBUYWlsaW5nXQpMYSBTb2NpZWRhZCBKdW5pYW5hIGRlIE1vbnN0cnVvcyBzb2xvIGFjZXB0YSB2aWFqZXJvcyBjb24gZWwgbml2ZWwgYmFzZSBhZGVjdWFkbyBwYXJhIGxhcyBtaXNpb25lcy4=
ZBhYDA,,W0ludmVzdGlnYXRvciBUYWlsaW5nXQpIZWxsbyEhIEknbSBUYWlsaW5nLCBhbiBpbnZlc3RpZ2F0b3IgZGlzcGF0Y2hlZCBmcm9tIHRoZSBKdW5vIE1vbnN0ZXIgU29jaWV0eSE=,,,,,W0FnZW50ZSBUYWlsaW5nXQpPbMOhISEgTWUgY2hhbW8gVGFpbGluZywgc291IGRhIFNvY2llZGFkZSBKdW5pYW5hIGRlIE1vbnN0cm9zIQ==,,W0FnZW50ZSBUYWlsaW5nXQrCoUhvbGEhISBNZSBsbGFtbyBUYWlsaW5nLCBzb3kgZGUgbGEgU29jaWVkYWQgSnVuaWFuYSBkZSBNb25zdHJ1b3Mu
ZRhYDA,,UmVjZWl2ZSBodW50aW5nIHF1ZXN0Lg==,,,,,SW5pY2lhciBjYcOnYWRhLg==,,SW5pY2lhciBjYWNlcsOtYS4=
ZhhYDA,,VGVsZXBvcnQgdG8gbmVhcmJ5IGNpdHku,,,,,VGVsZXBvcnRhciBwYXJhIGNpZGFkZS4=,,VGVsZXRyYW5zcG9ydGFyIGEgY2l1ZGFkLg==
ZxhYDA,,QWJvdXQgaHVudGluZyBxdWVzdC4=,,,,,UGVyZ3VudGFyIGNvbW8gZnVuY2lvbmEu,,UHJlZ3VudGFyIGPDs21vIGZ1bmNpb25hLg==
aBhYDA,,R29vZGJ5ZS4=,,,,,VGUgdmVqbyBkZXBvaXMu,,Tm9zIHZlbW9zIGx1ZWdvLg==
aRhYDA,,W0ludmVzdGlnYXRvciBUYWlsaW5nXQpPaCwgd291bGQgeW91IGxpa2UgdG8gdGFrZSBhIHF1ZXN0Pw==,,,,,W0FnZW50ZSBUYWlsaW5nXQpBaCwgdm9jw6ogZGVzZWphIGZhemVyIGEgbWlzc8OjbyBkZSBjYcOnYT8=,,W0FnZW50ZSBUYWlsaW5nXQpBaCwgwr9kZXNlYXMgcmVhbGl6YXIgbGEgbWlzacOzbiBkZSBjYXphPw==
ahhYDA,,W0ludmVzdGlnYXRvciBUYWlsaW5nXQpZb3UganVzdCBuZWVkIHRvIGRlZmVhdCA4MCBtb25zdGVycyBpbiB0aGlzIGZpZWxkIHdoZXJlIEkgYW0u,,,,,W0FnZW50ZSBUYWlsaW5nXQpWb2PDqiBzw7MgcHJlY2lzYSBlbGltaW5hciA4MCBtb25zdHJvcyBkZSBxdWFscXVlciBlc3DDqWNpZSBuZXNzZSBtYXBhLg==,,W0FnZW50ZSBUYWlsaW5nXQpTb2xvIG5lY2VzaXRhcyBlbGltaW5hciA4MCBtb25zdHJ1b3MgZGUgY3VhbHF1aWVyIGVzcGVjaWUgZW4gZXN0ZSBtYXBhLg==
axhYDA,,W0ludmVzdGlnYXRvciBUYWlsaW5nXQpJIHdpbGwgYmUgd2FpdGluZyBmb3IgeW91LiBJIGhvcGUgeW91IGNvbWUgYmFjayBzYWZlbHku,,,,,W0FnZW50ZSBUYWlsaW5nXQpWb3UgZXN0YXIgZXNwZXJhbmRvIHZvY8OqIGFxdWkgcXVhbmRvIHRlcm1pbmFyLg==,,W0FnZW50ZSBUYWlsaW5nXQpFc3RhcsOpIGVzcGVyYW5kbyBwb3IgdGkgYXF1w60gY3VhbmRvIHRlcm1pbmVzLg==
bBhYDA,,W0ludmVzdGlnYXRvciBUYWlsaW5nXQpUaGUgY2xvc2VzdCBjaXR5IGZyb20gaGVyZSBpcyBFaW5icm9jaC4=,,,,,W0FnZW50ZSBUYWlsaW5nXQpBIGNpZGFkZSBtYWlzIHByw7N4aW1hIGRhcXVpIMOpIEVpbmJyb2NoIQ==,,W0FnZW50ZSBUYWlsaW5nXQrCoUxhIGNpdWRhZCBtw6FzIGNlcmNhbmEgZGUgYXF1w60gZXMgRWluYnJvY2gh
