QAVdDQ,,RXVuaGE=,,,,,Q29zbW9z,,Q29zbW9z
QQVdDQ,,Q3V0aWUh,,,,,RWksIGZvZnVyYSE=,,wqFMaW5kdXJhIQ==
QgVdDQ,,W0V1bmhhXQpXZWxjb21lIHRvIEV1bmhhJ3MgSGVhdmVubHkgUmVhbG0gQnJhbmNoIE9mZmljZSE=,,,,,W0Nvc21vc10KQm9hcy12aW5kYXMgw6AgZmlsaWFsIGNlbGVzdGlhbCBkbyBDb3Ntb3Mh,,W0Nvc21vc10KwqFCaWVudmVuaWRvIGEgbGEgc3VjdXJzYWwgY2VsZXN0aWFsIGRlIENvc21vcyE=
QwVdDQ,,W0h1aXVuXQpUaGlzIGVuZXJneS4uLiBJc24ndCB0aGlzIFBheW9uPyBUaGVuIHdoeSBkaWQgeW91IG1ha2UgbWUgZ28gYWxsIHRoZSB3YXkgdG8gTWpvbG5pcj8gSSBoZWFyZCB5b3Ugd2VyZSB0cmFwcGVkIGluIFBheW9uLCBzbyBJIHdlbnQgdG8gUGF5b24h,,,,,W0hlZXVuXQpFc3NhIGVuZXJnaWEuLi4gRXN0ZSBsdWdhciBuw6NvIMOpIFBheW9uPyBFbnTDo28gcG9yIHF1ZSBtZSBmZXogaXIgYXTDqSBNam9sbmlyPyBPdXZpIGRpemVyIHF1ZSB2b2PDqiBlc3RhdmEgcHJlc2EgZW0gUGF5b24gZSBmdWkgcGFyYSBsw6Eh,,W0hlZXVuXQpFc3RhIGVuZXJnw61hLi4uIMK/RXN0byBubyBlcyBQYXlvbj8gwr9Qb3IgcXXDqSBtZSBoaWNpc3RlIGlyIGhhc3RhIE1qb2xuaXI/IMKhT8OtIHF1ZSB0ZSB0ZW7DrWFuIGVuIFBheW9uLCBhc8OtIHF1ZSBmdWkgYSBQYXlvbiE=
RAVdDQ,,W0V1bmhhXQpCZWNhdXNlIEkgd2FzIHBlcmZvcm1pbmcgZ29vZCBkZWVkcyB0aGVyZS4gSSB0b2xkIHlvdSBJIHdhcyBoZWxwaW5nIHJhaXNlIGEgU3RhciBFbXBlcm9yLCBkaWRuJ3QgST8=,,,,,W0Nvc21vc10KUG9ycXVlIGV1IGVzdGF2YSBwcmF0aWNhbmRvIGJvYXMgYcOnw7VlcyBuYXF1ZWxlIGx1Z2FyLiBFdSBkaXNzZSBxdWUgZXN0YXZhIGFqdWRhbmRvIGEgY3JpYXIgdW0gTWVzdHJlIEVzdGVsYXIsIG7Do28gZGlzc2U/,,W0Nvc21vc10KUG9ycXVlIGFsbMOtIGVzdGFiYSBoYWNpZW5kbyBidWVuYXMgYWNjaW9uZXMuIFlhIGRpamUgcXVlIGVzdGFiYSBheXVkYW5kbyBhIGNyaWFyIGEgdW4gRW1wZXJhZG9yIEVzdGVsYXIsIMK/bm8/
RQVdDQ,,W0V1bmhhXQpCZXNpZGVzLCB0aGUgb25lIGluIE1qb2xuaXIgd2FzIG15IGRvdWJsZS4=,,,,,W0Nvc21vc10KQWzDqW0gZGlzc28sIG8gcXVlIGVzdGF2YSBlbSBNam9sbmlyIGVyYSB1bSBjbG9uZSBtZXUu,,W0Nvc21vc10KQWRlbcOhcywgbG8gcXVlIGhhYsOtYSBlbiBNam9sbmlyIGVyYSB1biBjbG9uLg==
RgVdDQ,,WW91IGRpZG4ndCBrbm93Pw==,,,,,Vm9jw6ogbsOjbyBzYWJpYT8=,,wr9ObyBzYWLDrWFzPw==
RwVdDQ,,W0h1aXVuXQpXaGF0Pz8gV2h5IGdvIHRoYXQgZmFyLi4uPw==,,,,,W0hlZXVuXQpIw6M/PyBNYXMgcG9yIHF1ZSBmYXJpYSBpc3NvLi4uPw==,,W0hlZXVuXQrCv8K/UXXDqT8/IMK/UG9yIHF1w6kgaWJhIGEuLi4/
SAVdDQ,,W0V1bmhhXQpCZWNhdXNlIG9wZXJhdGluZyBteSB0cnVlIGJvZHkgaXMgYSBib3RoZXIuIERvIHlvdSBrbm93IGhvdyBtYW55IHJlc3RyaWN0aW9ucyB0aGVyZSBhcmUgZm9yIG15IHRydWUgYm9keSB0byBsZWF2ZSB0aGlzIHBsYWNlPyBCdXQgbm93IEkgZG9uJ3QgbmVlZCBhbnl0aGluZyBsaWtlIGEgZG91YmxlIGFueW1vcmUuIEknbGwgYmUgZ29pbmcgYmFjayBzb29uLg==,,,,,W0Nvc21vc10KUG9ycXVlIGTDoSB0cmFiYWxobyBtb3ZlciBtZXUgY29ycG8gcHJpbmNpcGFsLiBTYWJlIHF1YW50YXMgcmVzdHJpw6fDtWVzIGV4aXN0ZW0gcGFyYSBtZXUgY29ycG8gcHJpbmNpcGFsIHNhaXIgZGFxdWk/IE1hcyBhZ29yYSBuw6NvIHByZWNpc28gbWFpcyBkZSBjbG9uZXMuIExvZ28gdm91IHZvbHRhci4=,,W0Nvc21vc10KUG9ycXVlIHVzYXIgbWkgY3VlcnBvIHZlcmRhZGVybyBlcyB1bmEgbW9sZXN0aWEuIMK/U2FiZXMgY3XDoW50YXMgcmVzdHJpY2Npb25lcyBoYXkgcGFyYSBxdWUgbWkgY3VlcnBvIHZlcmRhZGVybyBzYWxnYSBkZSBhcXXDrT8gUGVybyB5YSBubyBuZWNlc2l0byBjb3BpYXMgbmkgbmFkYSBwYXJlY2lkby4gUHJvbnRvIHZvbHZlcsOpLg==
SQVdDQ,,W0h1aXVuXQpBaCwgeWVzLiBPZiBjb3Vyc2Uu,,,,,W0hlZXVuXQpBaCwgc2ltLiBDbGFyby4=,,W0hlZXVuXQpBaCwgc8OtLiBDbGFybyBxdWUgc8OtLg==
SgVdDQ,,W0h1aXVuXQpCdXQgdGhpcyBwbGFjZS4uLiBpcyBhIGxpdHRsZSBkaWZmZXJlbnQgZnJvbSB3aGF0IEkgZXhwZWN0ZWQ/IEkgd2FzIGNlcnRhaW4gSSBoZWFyZCBpdCB3YXMgdW5kZXIgYSByb2NrLg==,,,,,W0hlZXVuXQpNYXMgZXN0ZSBsdWdhci4uLiDDiSB1bSBwb3VjbyBkaWZlcmVudGUgZG8gcXVlIGV1IGltYWdpbmF2YS4gRXUgb3V2aSBkaXplciBxdWUgZmljYXZhIHNvYiB1bWEgcm9jaGEu,,W0hlZXVuXQpQZXJvIGVzdGUgbHVnYXIuLi4gZXMgYWxnbyBkaWZlcmVudGUgYSBsbyBxdWUgaW1hZ2luYWJhLiDCv1F1ZSBubyBlc3RhYmEgYmFqbyB1bmEgcm9jYT8=
