QKxcDA,,VmFsa3lyaWU=,,,,,VmFscXXDrXJpYQ==,,VmFscXVpcmlh
QaxcDA,,LSBZb3UncmUgY2FycnlpbmcgdG9vIG1hbnkgaXRlbXMgdG8gcHJvY2VlZCB3aXRoIHRoaXMgcXVlc3QuIC0=,,,,,LSBOw6NvIMOpIHBvc3PDrXZlbCBwcm9zc2VndWlyIGNvbSBhIG1pc3PDo28gcG9pcyB2b2PDqiBlc3TDoSBjYXJyZWdhbmRvIG11aXRvcyBpdGVucy4gLQ==,,LSBUaWVuZXMgZGVtYXNpYWRvcyBvYmpldG9zIHkgbm8gcHVlZGVzIGNvbnRpbnVhciBjb24gbGEgbWlzacOzbi4gLQ==
QqxcDA,,W1ZhbGt5cmllXQpIZWhlLi4uIEkndmUgZ3JhbnRlZCB5b3VyIHdpc2ghCk5vdywgc2hvdyB5b3VyIGdyYXRpdHVkZSEgU2F5IHRoYW5rIHlvdSEKUHJhaXNlIG1lIQ==,,,,,W1ZhbHF1w61yaWFdCkh1aHVodS4uLiBFdSByZWFsaXplaSBvIHRldSBkZXNlam8hCkFnb3JhIGFncmFkZcOnYS1tZSEgRGlnYSBvYnJpZ2FkbyEKTG91dmEtbWUh,,W1ZhbHF1aXJpYV0KSmVqZWplLi4uIMKhSGUgaGVjaG8gcmVhbGlkYWQgdHUgZGVzZW8hCsKhQWhvcmEsIGRlbXVlc3RyYSB0dSBncmF0aXR1ZCEgwqFEw60gZ3JhY2lhcyEKwqFBbMOhYmFtZSE=
Q6xcDA,,W1ZhbGt5cmllXQpXaGF0PyBZb3UgaGF2ZSBubyBidXNpbmVzcyBjYWxsaW5nIG1lIGxpa2UgdGhpcy4KWW91IHN0aWxsIG5lZWQgdG8gdHJhaW4uClRvZGF5IGlzIG5vdCB0aGUgZGF5LiBJJ2xsIHNlZSB5b3UgYWdhaW4gd2hlbiB5b3UgaGl0IHlvdXIgbGltaXQgb24gZ3Jvd3RoLg==,,,,,W1ZhbHF1w61yaWFdCkNvbW8gYWxndcOpbSBxdWUgbmVtIHNlcXVlciBjdW1wcmUgb3MgcmVxdWlzaXRvcyBvdXNhIG1lIGNoYW1hcj8KVm9jw6ogYWluZGEgcHJlY2lzYSBkZSBtYWlzIHRyZWluby4KVmVuaGEgbWUgcHJvY3VyYXIgbm92YW1lbnRlIHF1YW5kbyB2b2PDqiBhdGluZ2lyIG8gc2V1IGxpbWl0ZSBkZSBjcmVzY2ltZW50by4=,,W1ZhbHF1aXJpYV0Kwr9Dw7NtbyBlcyBxdWUgYWxndWllbiBxdWUgbmkgc2lxdWllcmEgY3VtcGxlIGNvbiBsb3MgcmVxdWlzaXRvcyBtZSBoYSBsbGFtYWRvPwpBw7puIG5lY2VzaXRhcyBtw6FzIGVudHJlbmFtaWVudG8uCkhveSBubyBlcyBlbCBkw61hLiBWb2x2ZXJlbW9zIGEgdmVybm9zIGN1YW5kbyBhbGNhbmNlcyB0dSBsw61taXRlIGRlIGNyZWNpbWllbnRvLg==
RKxcDA,,W1ZhbGt5cmllXQpPaCBkZWFyLCBzd2VldGhlYXJ0LgpJJ20gc29ycnksIGJ1dCBJIG9ubHkgY291bnNlbCBeNEQ0REZGVHJhbnNjZW5kZWReMDAwMDAwIGNsYXNzZXMuCkl0J2QgYmUgYmVzdCB0byBeNEQ0REZGVHJhbnNjZW5kXjAwMDAwMCBiZWZvcmUgbWVldGluZyBtZS4=,,,,,W1ZhbHF1w61yaWFdCk5vc3NhLCB2aWFqYW50ZS4KU2ludG8gbXVpdG8sIG1hcyBzw7MgZXN0b3UgYXRlbmRlbmRvIHBlc3NvYXMgcXVlIGrDoSBmaXplcmFtIGEgXjRENERGRm11ZGFuw6dhIGRlIGNsYXNzZV4wMDAwMDAuCsOJIG1lbGhvciB2b2PDqiBmYXplciBhIF40RDRERkZtdWRhbsOnYV4wMDAwMDAgYW50ZXMgZGUgbWUgcHJvY3VyYXIu,,W1ZhbHF1aXJpYV0KQXksIGNoaWNvLgpMbyBzaWVudG8sIHBlcm8gc29sbyBhdGllbmRvIGEgcGVyc29uYXMgcXVlIGhheWFuIF40RDRERkZ0cmFuc2NlbmRpZG9eMDAwMDAwLgpMbyBtZWpvciBzZXLDrWEgcXVlIF40RDRERkZ0cmFuc2NlbmRpZXJhc14wMDAwMDAgYW50ZXMgZGUgdmVuaXIgYSB2ZXJtZS4=
RaxcDA,,W1ZhbGt5cmllXQpXYWl0LCBub3QgaGVyZS4gRm9sbG93IG1lLgpZb3UgbmVlZCBhIHNwZWNpYWwgY29uc3VsdGF0aW9uLg==,,,,,W1ZhbHF1w61yaWFdCkVzcGVyYSB1bSBwb3VjbywgbsOjbyBmaXF1ZSBhaSwgdmVuaGEgY29taWdvLgpQcmVjaXNvIGNvbnZlcnNhciBjb20gdm9jw6ogc29icmUgbyBzZXUgY2FzbyDDoCBwYXJ0ZS4=,,W1ZhbHF1aXJpYV0KVW4gbW9tZW50bywgbm8gdGUgcXVlZGVzIGFow60sIHPDrWd1ZW1lLgpUZW5kcmVtb3MgcXVlIGhhYmxhciBkZSB0dSBzaXR1YWNpw7NuIGVuIHByaXZhZG8u
RqxcDA,,W1ZhbGt5cmllXQpXaG8ncyB0aGlzPyBJcyBpdCB5b3Ugd2hvIGNhbGxlZCBtZT8KSSBtYXkgbm90IGxvb2sgaXQsIGJ1dCBJIGNhbiBncmFudCB5b3UgYXQgbGVhc3Qgb25lIHdpc2gu,,,,,W1ZhbHF1w61yaWFdClF1ZW0gZXN0w6EgYcOtPyBWb2PDqiDDqSBhIHBlc3NvYSBxdWUgbWUgY2hhbWE/CkFwZXNhciBkZXN0YSBhcGFyw6puY2lhLCBldSBzb3UgY2FwYXogZGUgdGUgY29uY2VkZXIgdW0gZGVzZWpvLg==,,W1ZhbHF1aXJpYV0Kwr9RdWnDqW4gZXM/IMK/RnVpc3RlIHTDuiBxdWllbiBtZSBoYSBsbGFtYWRvPwpBdW5xdWUgdGVuZ2EgZXN0ZSBhc3BlY3RvLCBzb3kgY2FwYXogZGUgY29uY2VkZXJ0ZSBsbyDDum5pY28gcXVlIGRlc2Vhcy4=
R6xcDA,,W1ZhbGt5cmllXQpZb3Ugd2FudCB0byBhZHZhbmNlIGluIHlvdXIgY2FyZWVyLCBkb24ndCB5b3U/ClRlbGwgeW91IHdoYXQuIEkgY2FuIGhlbHAgeW91Li4uIGZvciBhIHByaWNlLCB0aGF0IGlzLg==,,,,,W1ZhbHF1w61yaWFdClZvY8OqIG7Do28gcXVlciBhdmFuw6dhciBkZSBjbGFzc2U/ClNlIGZpemVyIHVtIHBlcXVlbm8gYWNvcmRvIGNvbWlnbywgcG9zc28gcmVhbGl6YXIgZXN0ZSBkZXNlam8u,,W1ZhbHF1aXJpYV0Kwr9BY2FzbyBubyBkZXNlYXMgdW4gYXNjZW5zbz8KU2kgaGFjZXMgdW4gcGVxdWXDsW8gdHJhdG8gY29ubWlnbywgcHVlZG8gY29uY2VkZXJ0ZSBlc2UgZGVzZW8u
SKxcDA,,V2hhdCB0aGUgaGVsbCBpcyB0aGF0IHN1cHBvc2VkIHRvIGJlPw==,,,,,UXVlIGFwYXLDqm5jaWEgw6kgZXNzYT8=,,wr9RdcOpIGFzcGVjdG8gZXMgZXNlPw==
SaxcDA,,W1ZhbGt5cmllXQpZb3UhIFdoYXQgZG8geW91IHRoaW5rIG9mIG15IHN0YXRlIHJpZ2h0IG5vdz8KSGFoYSwgZG9lcyB0aGUgTG9yZCByZWFsbHkgY2FsbCBzdWNoIGNsdWVsZXNzIHdhcnJpb3JzIGxpa2UgeW91IHRvIFZhbGhhbGxhPw==,,,,,W1ZhbHF1w61yaWFdClZvY8OqISBPIHF1ZSB2b2PDqiBlc3TDoSBkaXplbmRvIHNvYnJlIGEgbWluaGEgYXBhcsOqbmNpYT8KSGFoYSwgc2Vyw6EgcXVlIG8gU2VuaG9yIGNoYW1hIGF0w6kgbWVzbW8gcGVzc29hcyBhc3NpbSBkZSBndWVycmVpcm9zIGUgYXMgbGV2YSBwYXJhIFZhbGhhbGxhPw==,,W1ZhbHF1aXJpYV0KwqFUw7ohIMK/QSBxdcOpIHRlIHJlZmllcmVzIGNvbiBtaSBlc3RhZG8gYWN0dWFsPwpKYWphLCDCv2FjYXNvIGVsIFNlw7FvciBsbGFtYSBpbmNsdXNvIGEgZ3VlcnJlcm9zIGNvbW8gZXN0ZSBhbCBWYWxoYWxsYT8=
SqxcDA,,W1ZhbGt5cmllXQpPaCBkZWFyLCB3aHkgZGlkIGl0IGhhdmUgdG8gYmUgdGhpcyBhcHBlYXJhbmNlPwpBaGVtLCBhaGVtIQpUaGlzLi4uIHRoaXMgYXBwZWFyYW5jZSBpcyBiZWNhdXNlIHlvdXIgd2lzaCB3YXMgbm90IGZ1bGx5IHJlYWxpemVkIQ==,,,,,W1ZhbHF1w61yaWFdCk5vc3NhLCB0aW5oYSBxdWUgc2VyIGp1c3RhbWVudGUgZXNzYSBhcGFyw6puY2lhPwpIdW0sIGh1bS4KRXNzYS4uLiBlc3NhIGFwYXLDqm5jaWEgw6kgcG9ycXVlIG8gdGV1IGRlc2VqbyBuw6NvIGVzdGF2YSBjb21wbGV0byE=,,W1ZhbHF1aXJpYV0KVmF5YSwgwr9qdXN0byB0ZW7DrWEgcXVlIHNlciBlc3RhIGFwYXJpZW5jaWE/CkVqZW0sIGVqZW0uCsKhRXN0YS4uLiBlc3RhIGFwYXJpZW5jaWEgc2UgZGViZSBhIHF1ZSB0dSBkZXNlbyBubyBlc3RhYmEgY29tcGxldG8h
