YMHmAQ,,UHJlbWk=,,,,,UGVyZW5h,,UHJlbWk=
YcHmAQ,,W1ByZW1pXQpBYWFuZ34gSWYgdGhlIFByZW1pdW0gc2VydmljZSBlbmRzLCB5b3UgY2FuJ3QgdXNlIG1hZ2ljfg==,,,,,W1BlcmVuYV0KQWh+IFF1YW5kbyBvIHNlcnZpw6dvIHByZW1pdW0gdGVybWluYSwgbsOjbyBjb25zaWdvIHVzYXIgbWFnaWF+,,W1ByZW1pXQpBaH4uIEN1YW5kbyB0ZXJtaW5lIHR1IHNlcnZpY2lvIHByZW1pdW0sIHlhIG5vIHBvZHLDqSB1c2FyIG1hZ2lhfi4=
YsHmAQ,,W1ByZW1pXQpJIHdvbmRlciBpZiBQcmVtaSB3aWxsIGJlY29tZSBhIG5vcm1hbCBzdHJheSBjYXQganVzdCBsaWtlIHRoaXN+,,,,,W1BlcmVuYV0KRXUgdm91IG1lIHRvcm5hciB1bWEgZ2F0YSBjb211bSBzZW5kbyBhc3NpbT8=,,W1ByZW1pXQrCv01lIHZveSBhIGNvbnZlcnRpciBlbiB1bmEgZ2F0YSBjb23Dum4gc2llbmRvIGFzw60/
Y8HmAQ,,W1ByZW1pXQpOb29vfgpJJ20gUHJlbWkhCkl0J3MgbmljZSB0byBtZWV0IHlvdX4=,,,,,W1BlcmVuYV0KT2zDoX4KRXUgc291IFBlcmVuYSEhClByYXplciBlbSB0ZSBjb25oZWNlciB+,,W1ByZW1pXQpIb2xhLgrCoU1pIG5vbWJyZSBlcyBQcmVtaSEKTXVjaG8gZ3VzdG9+Lg==
ZMHmAQ,,W1ByZW1pXQpIZWh+IHswfSwgdGhpcyBpcyB0aGUgZmlyc3QgdGltZSB5b3UncmUgbWVldGluZyBQcmVtaSwgcmlnaHQ/ClNvIQpTaGFsbCBJIGxldCB5b3Uga25vdyB3aGF0IFByZW1pIGNhbiBkbyEKRXZlbiBpZiBJIGxvb2sgbGlrZSB0aGlzLCBQcmVtaSBpcyBhbiBvdXRzdGFuZGluZyB3aXRjaCE=,,,,,W1BlcmVuYV0KVm9jw6ogw6kgezB9LCBuw6k/fgpQYXJlY2Ugc2VyIHN1YSBwcmltZWlyYSB2ZXogY29taWdvIQpFbnTDo28sIGV1IHZvdSBleHBsaWNhciB0dWRpbmhvIHByYSB2b2PDqiEKU2UgbsOjbyBlbnRlbmRlciwgdm91IGNhc3RpZ2FyIHZvY8OqIGVtIG5vbWUgZGEgUnVuYSE=,,W1ByZW1pXQrCv0VyZXMgezB9LCB2ZXJkYWQ/fgrCoVBhcmVjZSBzZXIgdHUgcHJpbWVyYSB2ZXogY29ubWlnbyEKwqFBc8OtIHF1ZSB0ZSB2b3kgYSBleHBsaWNhciB0b2RpdG8hCsKhU2kgbm8gZW50aWVuZGVzLCB0ZSB2b3kgYSBjYXN0aWdhciBlbiBub21icmUgZGUgUnVuYSE=
ZcHmAQ,,W1ByZW1pXQpGaXJzdCEKVGhlIHRoaW5nIHRoYXQgUHJlbWkgaXMgbW9zdCBjb25maWRlbnQgaW4hCltFeHBlcmllbmNlIEluY3JlYXNlXSBNYWdpYyEKSSBuZWVkIGFib3V0IDQgTnlhbmd2aW5lcyB3b3J0aCBvZiBtYWdpYywgYW5kIEkgY2FuIGluY3JlYXNlIHRoZSBleHBlcmllbmNlIGdhaW5lZCBieSAzMCUgZm9yIDEgZGF5IQ==,,,,,W1BlcmVuYV0KUHJpbWVpcmFtZW50ZS4KRXUgZm9ybmXDp28gW0LDtG51cyBkZSBFWFBdCmFvIGN1c3RvIGRlIDQgTWlhdU1pYXUuCklzc28gc2lnbmlmaWNhIHF1ZSB2b2PDqiByZWNlYmVyw6EgdW0gYsO0bnVzIGRlIDMwJSBkZSBFWFAgcG9yIDI0IGhvcmFzISA=,,W1ByZW1pXQpQcmltZXJvIHF1ZSBuYWRhLgpPdG9yZ28gW0Jvbm8gZGUgRVhQXQpwb3IgZWwgY29zdG8gZGUgNCBNaWF1ZnJ1dG8uCsKhRXN0byBzaWduaWZpY2EgcXVlIHJlY2liaXLDoXMgdW4gYm9ubyBkZWwgMzAlIGRlIEVYUCBwb3IgMjQgaG9yYXMh
ZsHmAQ,,W1ByZW1pXQpOZXh0LCBeNDlCODVCW0Ryb3AgcmF0ZV1eMDAwMDAwIE1hZ2ljIQpGb3IgXjQ5Qjg1QjMwJSBpbmNyZWFzZSB0byBkcm9wIHJhdGUgZm9yIDEgZGF5XjAwMDAwMEkgd291bGQgbmVlZCBeNDlCODVCMiBOeWFuZ3ZpbmVzIF4wMDAwMDB3b3J0aCBvZiBtYWdpYyE=,,,,,W1BlcmVuYV0KU2VndW5kbywgXkZGMDA2NltUYXhhIGRlIERST1BdXjAwMDAwMApQb3IgYXBlbmFzIF5GRjAwNjYyIE1pYXVNaWF1XjAwMDAwMCwgdm9jw6ogcmVjZWJlIF5GRjAwNjYzMCUgZGUgY2hhbmNlIGRlIERST1BeMDAwMDAwIHBvciBeRkYwMDY2MjQgaG9yYXNeMDAwMDAwLg==,,W1ByZW1pXQpTZWd1bmRvLCBeRkYwMDY2W1Rhc2EgZGUgRFJPUF1eMDAwMDAwClBvciBzb2xvIF5GRjAwNjYyIE1pYXVmcnV0b14wMDAwMDAsIHJlY2liZXMgXkZGMDA2NnVuIDMwJSBkZSBwcm9iYWJpbGlkYWQgZGUgRFJPUF4wMDAwMDAgcG9yIF5GRjAwNjYyNCBob3Jhc14wMDAwMDAu
Z8HmAQ,,W1ByZW1pXQpBbHNvLi4uIEVoLi4uIE5leHQuLi4uCl40OUI4NUJbRGVhdGggUGVtYWx0eSByZWR1Y3Rpb25dXjAwMDAwMCBtYWdpYy4uLi4KXjQ5Qjg1QjEgTnlhbmd2aW5lXjAwMDAwMHdvcnRoIG9mIG1hZ2ljIGlzIHJlcXVpcmVkLCBhbmQgdGhlIGVmZmVjdHMgYXJlIGV4Y2VsbGVudC4uLi4=,,,,,W1BlcmVuYV0KRSBwb3IgZmltLi4uIApeRkYwMDY2W1BlbmFsaWRhZGUgZGUgTW9ydGVdXjAwMDAwMCwgcXVlIGN1c3RhIF5GRjAwNjYxIE1pYXVNaWF1XjAwMDAwMC4uLiAKU2lnbmlmaWNhIF5GRjAwNjZuw6NvIHBlcmRlciBtdWl0YSBFWFAgcXVhbmRvIG1vcnJlXjAwMDAwMC4uLiAgTGVnYWwsIG7DqT8=,,W1ByZW1pXQpZIHBvciDDumx0aW1vLi4uCl5GRjAwNjZbUGVuYWxpemFjacOzbiBwb3IgTXVlcnRlXV4wMDAwMDAsIHF1ZSBjdWVzdGEgXkZGMDA2NjEgTWlhdWZydXRvXjAwMDAwMC4uLgpTaWduaWZpY2EgXkZGMDA2Nm5vIHBlcmRlciBtdWNoYSBFWFAgYWwgbW9yaXJeMDAwMDAwLi4uIMK/R2VuaWFsLCB2ZXJkYWQ/
aMHmAQ,,W1ByZW1pXQpCdXQgeW91IGhhdmUgdG8gZGllIGZpcnN0IGZvciB0aGUgZWZmZWN0cyB0byB0YWtlIGVmZmVjdC4uLgpJIGNhbid0IHNheSBJJ3ZlIHRlc3RlZCBpdC4uLgpVaGguLkl0J3MgYW4gYW1hemluZyBwaWVjZSBvZiBtYWdpYyB0aG91Z2guLi4KSWYgeW91IGhhdmUgRGVhdGggcGVuYWx0eSA1MCUgcmVkdWN0aW9uLi4u,,,,,W1BlcmVuYV0KTWFzIHF1ZSBmaXF1ZSBjbGFyby4uLiAKTsOjbyB2YWkgemVyYXIgYSBzdWEgcGVuYWxpZGFkZS4uLiAKQSByZWR1w6fDo28gZGEgcGVuYWxpZGFkZSAKw6kgZGUgYXBlbmFzIDUwJS4uLiA=,,W1ByZW1pXQpQZWVlZWVlZWVybyBxdWUgcXVlZGUgY2xhcm8uLi4KTm8gdmEgYSBkZWphciB0dSBwZW5hbGl6YWNpw7NuIGVuIGNlcm8uLi4KTGEgcmVkdWNjacOzbiBkZSBsYSBwZW5hbGl6YWNpw7NuCmVzIGRlIHNvbG8gdW4gNTAlLi4u
acHmAQ,,W1ByZW1pXQpBbHNvLCBpZiB5b3Ugd2FudCB0aGUgMy1pbi0xIG1hZ2ljIHBhY2thZ2UgdGhlbiBJJ2xsIG5lZWQgNiBOeWFuZ3ZpbmVzICB3b3J0aCBvZiBtYWdpYyEKWW91IGRvbid0IGhhdmUgdG8gZ2V0IHJlcGVhdGVkIGluc3RhbmNlcyBvZiBtYWdpYywgYW5kIHlvdSBnZXQgYSBkaXNjb3VudCB0b28sIGlzbid0IHRoYXQgZ3JlYXQ/IQ==,,,,,W1BlcmVuYV0KVm9jw6ogcG9kZXLDoSBlc2NvbGhlciBvcyAzIGVmZWl0b3MgYW8gbWVzbW8gdGVtcG8sIGJhc3RhIHBhZ2FyIDYgTWlhdU1pYXUsIHBlcmNlYmV1IHF1ZSBow6EgdW0gZGVzY29udG8gc2Ugb3B0YXIgcG9yIGVzc2EgZXNjb2xoYT8hCk1pYXV+,,W1ByZW1pXQpQb2Ryw6FzIGVsZWdpciBsb3MgMyBlZmVjdG9zIGFsIG1pc21vIHRpZW1wbywgc29sbyBiYXN0YSBwYWdhciA2IE1pYXVmcnV0bywgwr90ZSBkaXN0ZSBjdWVudGEgZGUgcXVlIGhheSB1biBkZXNjdWVudG8gc2kgb3B0YXMgcG9yIGVzdGEgb3BjacOzbj8hCk1pYXV+
asHmAQ,,W1ByZW1pXQpBaCEKQWxzbywgWW91IGNhbid0IGFjdGl2YXRlIGFub3RoZXIgaW5zdGFuY2Ugb2YgbWFnaWMgd2hpbGUgdGhlIGN1cnJlbnQgb25lIGlzIHN0aWxsIGFjdGl2ZSwgc28gd2hlbiBpdCBlbmRzIGNhbGwgUHJlbWkh,,,,,W1BlcmVuYV0KQWghIApFIHZvY8OqIHPDsyBwb2RlIHBlZGlyIHVtIG5vdm8gZWZlaXRvIHF1YW5kbyBvIGFudGVyaW9yIGFjYWJhci4gTsOjbyBhZGlhbmRhIHF1ZXJlciByZWluaWNpYXIgYSBkdXJhw6fDo28h,,W1ByZW1pXQrCoUFoIQpZIHNvbG8gcHVlZGVzIHBlZGlyIHVuIG51ZXZvIGVmZWN0byBjdWFuZG8gZWwgYW50ZXJpb3IgdGVybWluZS4gwqFObyBzaXJ2ZSBkZSBuYWRhIHF1ZXJlciByZWluaWNpYXIgbGEgZHVyYWNpw7NuIQ==
