gD4vDQ,,S3VtYW1vbg==,,,,,S3VtYW1vbg==,,S3VtYW1vbg==
gT4vDQ,,PT1FeGNsdXNpdmUgZXZlbnQgZm9yIGFkdmVudHVyZXJzIGFib3ZlIEx2bCAxMDAuPT0=,,,,,PT1FdmVudG8gZXhjbHVzaXZvIHBhcmEgYXZlbnR1cmVpcm9zIGFjaW1hIGRvIE52LiAxMDAuPT0=,,PT1FdmVudG8gZXhjbHVzaXZvIHBhcmEgdHJvdGFtdW5kb3MgZGUgTHYuIDEwMCBvIG3DoXMuPT0=
gj4vDQ,,U3VkZGVubHksIGEgbGFyZ2UgZGFyayBzaWxob3VldHRlIGFwcGVhcnMgc3RhbmRpbmcgaW4gdGhlIGRpc3RhbmNlLi4u,,,,,RGUgcmVwZW50ZSwgdW1hIHNpbGh1ZXRhIGVzY3VyYSBkZXNwb250YSBubyBob3Jpem9udGUuLi4=,,RGUgcmVwZW50ZSwgdW5hIHNpbHVldGEgb3NjdXJhIGFwYXJlY2UgZW4gZWwgaG9yaXpvbnRlLi4u
gz4vDQ,,SXQgbG9va3MgbGlrZSBhIGJlYXIsIGJ1dCBoaXMgZXhwcmVzc2lvbiBpcyBmdW5ueSBhbmQgZnJpZW5kbHku,,,,,UGFyZWNlIHVtIHVyc28sIG1hcyBhIHN1YSBleHByZXNzw6NvIMOpIGJlbSBodW1vcmFkYSBlIGFtaWfDoXZlbC4=,,UGFyZWNlIHVuIG9zbywgcGVybyBzdSBleHByZXNpw7NuIGVzIG11eSBhbGVncmUgeSBhbWlnYWJsZS4=
hD4vDQ,,QXBwcm9hY2hpbmcgeW91LCBoZSBzaGFrZXMgeW91ciBoYW5kIGVudGh1c2lhc3RpY2FsbHkgYXMgaWYgeW91IGtuZXcgZWFjaCBvdGhlci4=,,,,,QW8gc2UgYXByb3hpbWFyLCBlbGUgYXBlcnRhIGEgc3VhIG3Do28gY29tIGFuaW1hw6fDo28sIGNvbW8gc2Ugdm9jw6pzIGrDoSBzZSBjb25oZWNlc3NlbS4=,,QWwgYWNlcmNhcnNlLCB0ZSBkYSBsYSBtYW5vIGNvbiBlbW9jacOzbiwgwqFjb21vIHNpIHlhIHNlIGNvbm9jaWVyYW4h
hT4vDQ,,W0t1bWFtb25dCkhpIQpJJ20gS3VtYW1vbiEKSSBjYW1lIGhlcmUgdG8gaW50cm9kdWNlIEt1bWFtb3RvIFByZWZlY3R1cmUgdG8gbXkgZnJpZW5kcyBpbiBNaWRnYXJkIQ==,,,,,W0t1bWFtb25dCk9pIQpTb3UgbyBLdW1hbW9uIQpWaW0gYXF1aSBhcHJlc2VudGFyIGEgUHJvdsOtbmNpYSBkZSBLdW1hbW90byBhb3MgbWV1cyBhbWlnb3MgZGUgTWlkZ2FyZCE=,,W0t1bWFtb25dCsKhSG9sYSEKwqFTb3kgS3VtYW1vbiEKwqFWaW5lIGEgcHJlc2VudGFybGVzIGxhIFByZWZlY3R1cmEgZGUgS3VtYW1vdG8gYSBtaXMgYW1pZ29zIGRlIE1pZGdhcmQh
hj4vDQ,,S3VtYW1vdG8gUHJlZmVjdHVyZT8=,,,,,UHJvdsOtbmNpYSBkZSBLdW1hbW90bz8=,,wr9QcmVmZWN0dXJhIGRlIEt1bWFtb3RvPw==
hz4vDQ,,W0t1bWFtb25dClRoYXQncyByaWdodCEKSXQgd291bGQgYmUgZ3JlYXQgaWYgeW91IGNvdWxkIHRyeSBhbGwgdGhlIGRlbGljaW91cyBmb29kIGFuZCB2aXNpdCB0aGUgdG91cmlzdCBhdHRyYWN0aW9ucyB0aGVyZSE=,,,,,W0t1bWFtb25dCklzc28gbWVzbW8hClNlcmlhIMOzdGltbyBzZSB2b2PDqiBwdWRlc3NlbSBwcm92YXIgYSBjdWxpbsOhcmlhIGRlbGljaW9zYSBkZSBsw6EgZSBhaW5kYSB2aXNpdGFyIGFzIGF0cmHDp8O1ZXMgdHVyw61zdGljYXMh,,W0t1bWFtb25dCsKhRXhhY3RvIQrCoVNlcsOtYSBnZW5pYWwgcXVlIHB1ZGllcmFuIHByb2JhciBudWVzdHJhIGRlbGljaW9zYSBjb21pZGEgeSB2aXNpdGFyIGxvcyBsdWdhcmVzIHR1csOtc3RpY29zIQ==
iD4vDQ,,VmlzaXQgS3VtYW1vdG8/IEJ1dCBob3c/,,,,,VmlzaXRhciBLdW1hbW90bz8gTWFzIGNvbW8/,,wr9WaXNpdGFyIEt1bWFtb3RvPyDCv1Blcm8gY8OzbW8/
iT4vDQ,,Wz8/Pz9dCkp1c3QgbGVhdmUgaXQgdG8gbWUh,,,,,Wz8/Pz9dCkRlaXhhIGNvbWlnbyE=,,Wz8/Pz9dCsKhRMOpamFtZWxvIGEgbcOtIQ==
ij4vDQ,,VmFybXVudD8=,,,,,VmFybXVudD8=,,VmFybXVudD8=
iz4vDQ,,W1Zhcm11bnRdCkhtLi4uIEZpcnN0LCBJIGhhdmUgdG8gZ2l2ZSB5b3UgdGhlIGRldGFpbHMuCklmIHlvdSB0cmF2ZWwgaW4gc2VhcmNoIG9mIGRlbGljaW91cyBmb29kLCB5b3UgbWF5IGdldCB0byBLdW1hbW90byBQcmVmZWN0dXJlLCBpbiBKYXBhbi4=,,,,,W1Zhcm11bnRdCkh1bS4uLlByaW1laXJvLCBwcmVjaXNvIHRlIGluZm9ybWFyIGFsZ3VucyBkZXRhbGhlcy4KU2Ugdm9jw6ogdmlhamFyIGVtIGJ1c2NhIGRlIGNvbWlkYSBib2EsIHRhbHZleiB2b2PDqiBjaGVndWUgYXTDqSBhIFByb3bDrW5jaWEgZGUgS3VtYW1vdG8sIG5vIEphcMOjby4=,,W1Zhcm11bnRdCkh1bS4uLiBQcmltZXJvLCB0ZW5nbyBxdWUgZGFydGUgYWxndW5vcyBkZXRhbGxlcy4KU2kgdmlhamFzIGJ1c2NhbmRvIGJ1ZW5hIGNvbWlkYSwgdGFsIHZleiBsbGVndWVzIGhhc3RhIGxhIFByZWZlY3R1cmEgZGUgS3VtYW1vdG8sIGVuIEphcMOzbi4=
jD4vDQ,,W1Zhcm11bnRdCldhdGVybWVsb24gYW5kIHRvbWF0b2VzIHRoZXJlIGFyZSBzbyBkZWxpY2lvdXMsIEkgc2hvdWxkIGFzayBLdW1hbW9uIGlmIEkgY2FuIGJyaW5nIHNvbWUgYmFjay4KSSdtIHN1cmUgaGUgd2lsbCBnbGFkbHkgYWxsb3cgaXQsIHJpZ2h0Pw==,,,,,W1Zhcm11bnRdCkFzIG1lbGFuY2lhcyBlIG9zIHRvbWF0ZXMgZGUgbMOhIHPDo28gdMOjbyBkZWxpY2lvc29zISBQcmVjaXNvIHBlcmd1bnRhciBwcm8gS3VtYW1vbiBzZSBwb3NzbyB0cmF6ZXIgYWxndW5zLgpFbGUgZGV2ZSBwZXJtaXRpciwgbsOjbyDDqT8=,,W1Zhcm11bnRdCsKhTGFzIHNhbmTDrWFzIHkgbG9zIHRvbWF0ZXMgZGUgYWxsw6Egc29uIHJpcXXDrXNpbW9zISBUZW5nbyBxdWUgcHJlZ3VudGFybGUgYSBLdW1hbW9uIHNpIHB1ZWRvIHRyYWVyIGFsZ3Vub3MuCk1lIGRlamFyw6EsIMK/dmVyZGFkPw==
jT4vDQ,,W0t1bWFtb25dCkZyZXNobHkgaGFydmVzdGVkIGZydWl0cyBhbmQgdmVnZXRhYmxlcyBhcmUgdGhlIGJlc3Qh,,,,,W0t1bWFtb25dCkZydXRhcyBlIHZlZ2V0YWlzIHJlY8OpbS1jb2xoaWRvcyBzw6NvIGEgbWVsaG9yIGNvaXNhIQ==,,W0t1bWFtb25dCsKhTGFzIGZydXRhcyB5IHZlcmR1cmFzIHJlY2nDqW4gY29zZWNoYWRhcyBzb24gbG8gbWVqb3IgZGUgbGEgdmlkYSE=
jj4vDQ,,W1Zhcm11bnRdCldoYXQgaGUgc2FpZC4gRnJlc2hseSBoYXJ2ZXN0ZWQgZm9vZCBhcmUgZGVsaWNhY2llcyEg,,,,,W1Zhcm11bnRdCkNvbmNvcmRvIGNvbSBlbGUuIEFsaW1lbnRvcyByZWPDqW0tY29saGlkb3Mgc8OjbyBpZ3VhcmlhcyE=,,W1Zhcm11bnRdCkVzdG95IGRlIGFjdWVyZG8gY29uIMOpbC4gwqFMb3MgYWxpbWVudG9zIGZyZXNjb3Mgc29uIHVuIG1hbmphciE=
jz4vDQ,,W1Zhcm11bnRdClNvLCBob3cgY2FuIHlvdSB0cnkgZnJlc2ggd2F0ZXJtZWxvbiBhbmQgdG9tYXRvZXM/Ck1heWJlIHlvdSBzaG91bGQgZm9sbG93IHRoaXMgd2F5IHRvIHRoZSBmYXJtLi4u,,,,,W1Zhcm11bnRdCkVudMOjbywgY29tbyB2b2PDqiBjb2xoZSBtZWxhbmNpYSBlIHRvbWF0ZSBmcmVzY28/CkFjaG8gcXVlIHNlZ3VpbmRvIHBvciBlc3NlIGNhbWluaG8gYXTDqSBhIGZhemVuZGEuLi4=,,W1Zhcm11bnRdCkVudG9uY2VzLCDCv2PDs21vIGNvc2VjaGFzIHNhbmTDrWFzIHkgdG9tYXRlcyBmcmVzY29zPwpDcmVvIHF1ZSBzaWd1aWVuZG8gZXN0ZSBjYW1pbm8gaGFjaWEgbGEgZ3JhbmphLi4u
kD4vDQ,,RGlkIGl0IHJlYWxseSB3b3JrLi4uPw==,,,,,U2Vyw6EgcXVlLi4uIGZ1bmNpb25vdSBtZXNtbz8=,,wr9EZSB2ZXJkYWQuLi4gZnVuY2lvbsOzPw==
kT4vDQ,,W1Zhcm11bnRdCkhtLi4uICBJdCdzIHRlbXBvcmFyeSwgYnV0IEkgc3VjZWVkZWQgaW4gbW92aW5nIHRoZSB3aG9sZSBmYXJtIHRvIGEgc3BlY2lhbCBwbGFjZS4KS25vd24gYXMuLi4=,,,,,W1Zhcm11bnRdCkhtbS4uLiDDiSB0ZW1wb3LDoXJpbywgbWFzIGV1IGNvbnNlZ3VpIG1vdmVyIHRvZGEgYSBmYXplbmRhIHBhcmEgdW0gbHVnYXIgZXNwZWNpYWwuCkNoYW1hZG8gZGUuLi4=,,W1Zhcm11bnRdCkhtLi4uIEVzIHRlbXBvcmFsLCBwZXJvIGxvZ3LDqSBtb3ZlciB0b2RhIGxhIGdyYW5qYSBhIHVuIGx1Z2FyIGVzcGVjaWFsLgpTZSBsbGFtYS4uLg==
kj4vDQ,,W0t1bWFtb25dCkt1bWFtb3RvIEZhcm0gRXhwZXJpZW5jZSEKVGhlIGJlc3QgYW5kIG1vc3QgY2hhcm1pbmcgZmFybSBpbiB0aGUgUHJlZmVjdHVyZSE=,,,,,W0t1bWFtb25dClVtIERpYSBuYSBGYXplbmRhIGVtIEt1bWFtb3RvIQpBIG1lbGhvciBlIG1haXMgY2hhcm1vc2EgZmF6ZW5kYSBkYSBwcm92w61uY2lhIQ==,,W0t1bWFtb25dCsKhVW4gRMOtYSBlbiBsYSBHcmFuamEgZGUgS3VtYW1vdG8hCsKhTGEgbWVqb3IgeSBtw6FzIGVuY2FudGFkb3JhIGdyYW5qYSBkZSBsYSBwcmVmZWN0dXJhIQ==
kz4vDQ,,W1Zhcm11bnRdCkF0ICJLdW1hbW90byBGYXJtIEV4cGVyaWVuY2UiLCAgYmVzaWRlcyB0aGUgd2F0ZXJtZWxvbiBhbmQgdG9tYXRvIGNyb3BzLCBJJ3ZlIHJlY3JlYXRlZCBzb21lIG9mIHRoZSB0b3VyaXN0IGF0dHJhY3Rpb25zIGZyb20gdGhlIHByZWZlY3R1cmUuIEt1bWFtb24gd2lsbCBhc3Npc3QgeW91IG9uIHRoaXMgam91cm5leS4=,,,,,W1Zhcm11bnRdCk5vIGV2ZW50byAiVW0gRGlhIG5hIEZhemVuZGEgZW0gS3VtYW1vdG8iLCBhbMOpbSBkYXMgcGxhbnRhw6fDtWVzIGRlIG1lbGFuY2lhIGUgdG9tYXRlLCByZWNyaWVpIGFsZ3VtYXMgZGFzIGF0cmHDp8O1ZXMgdHVyw61zdGljYXMgZGEgcHJvdsOtbmNpYS4KS3VtYW1vbiB2YWkgdGUgYXV4aWxpYXIgbmVzc2Egam9ybmFkYS4=,,W1Zhcm11bnRdCkVuIGVsIGV2ZW50byAiVW4gRMOtYSBlbiBsYSBHcmFuamEgZGUgS3VtYW1vdG8iLCBhZGVtw6FzIGRlIGxvcyBjdWx0aXZvcyBkZSBzYW5kw61hIHkgdG9tYXRlLCBoZSByZWNyZWFkbyBhbGd1bmFzIGF0cmFjY2lvbmVzIHR1csOtc3RpY2FzIGRlIGxhIHByZWZlY3R1cmEuCkt1bWFtb24gdGUgYXl1ZGFyw6EgZW4gZXN0ZSB2aWFqZS4=
lD4vDQ,,W0t1bWFtb25dCkFzIHRoZSAiSGVhZCBvZiBLdW1hbW90byBBZ3JpY3VsdHVyZSBhbmQgSGFwcGluZXNzIERlcGFydG1lbnQiLCBpdCdzIG15IHBsZWFzdXJlIHRvIGludHJvZHVjZSB0aGUgY2hhcm1zIG9mIHRoZSByZWdpb24gdG8gZXZlcnlvbmUh,,,,,W0t1bWFtb25dCkVucXVhbnRvICJQcmVzaWRlbnRlIGRvIERlcGFydGFtZW50byBkZSBBZ3JpY3VsdHVyYSBlIEZlbGljaWRhZGUgZGUgS3VtYW1vdG8iLCBzZXLDoSB1bSBwcmF6ZXIgYXByZXNlbnRhciBvcyBjaGFybWVzIGRhIHJlZ2nDo28gcGFyYSB0b2RvIG11bmRvIQ==,,W0t1bWFtb25dCkNvbW8gIlByZXNpZGVudGUgZGVsIERlcGFydGFtZW50byBkZSBBZ3JpY3VsdHVyYSB5IEZlbGljaWRhZCBkZSBLdW1hbW90byIsIMKhc2Vyw6EgdW4gcGxhY2VyIG1vc3RyYXJsZXMgYSB0b2RvcyBsb3MgZW5jYW50b3MgZGUgbGEgcmVnacOzbiE=
lT4vDQ,,W1Zhcm11bnRdClRoYXQgYmVpbmcgc2FpZCwgYXJlbid0IHlvdSBnb2luZyB0byB2aXNpdCBLdW1hbW90bz8=,,,,,W1Zhcm11bnRdCkVudMOjbywgcXVlIHRhbCB2aXNpdGFyIEt1bWFtb3RvPw==,,W1Zhcm11bnRdCkVudG9uY2VzLCDCv3RlIGFuaW1hcyBhIHZpc2l0YXIgS3VtYW1vdG8/
lj4vDQ,,SSdkIGxvdmUgdG8hIEkgd2FudCB0byBnbyB0aGVyZSE=,,,,,QWRvcmFyaWEhIFF1ZXJvIGlyIGzDoSE=,,wqFNZSBlbmNhbnRhcsOtYSEgwqFRdWllcm8gaXIh
lz4vDQ,,SSB3aWxsIHRoaW5rIGFib3V0IGl0Lg==,,,,,Vm91IHBlbnNhci4=,,TG8gdm95IGEgcGVuc2FyLg==
