oGUzAw,,TW9uaw==,,,,,TW9uZ2U=,,TW9uamU=
oWUzAw,,LSBZb3UgaGF2ZSB0b28gbWFueSBpdGVtcyBpbiB5b3VyIHBvc3Nlc3Npb24uIENhbm5vdCBwcm9jZWVkLiAt,,,,,LSBWb2PDqiBlc3TDoSBjb20gbXVpdG9zIGl0ZW5zLiBOw6NvIHBvZGUgcHJvc3NlZ3Vpci4gLQ==,,LSBUaWVuZXMgZGVtYXNpYWRvcyBvYmpldG9zLiBObyBwdWVkZXMgY29udGludWFyLiAt
omUzAw,,W01vbmtdClN0cmVuZ3RoIHdpdGhvdXQganVzdGljZSBkaWVzIGJ5IHRoYXQgc3RyZW5ndGguIEp1c3RpY2Ugd2l0aG91dCBzdHJlbmd0aCBpcyBtZWFuaW5nbGVzcy4gU3RyZW5ndGggaXMgbm90IGp1c3RpY2UuIEp1c3RpY2UgaXMgc3RyZW5ndGgh,,,,,W01vbmdlXQpGb3LDp2Egc2VtIGp1c3Rpw6dhIG1vcnJlIHBvciBlc3NhIGZvcsOnYS4gSnVzdGnDp2Egc2VtIGZvcsOnYSDDqSBzZW0gc2VudGlkby4gRm9yw6dhIG7Do28gw6kganVzdGnDp2EuIEp1c3Rpw6dhIMOpIGZvcsOnYSE=,,W01vbmplXQrCoUxhIGZ1ZXJ6YSBzaW4ganVzdGljaWEgbXVlcmUgcG9yIGVzYSBmdWVyemEuIExhIGp1c3RpY2lhIHNpbiBmdWVyemEgbm8gdGllbmUgc2VudGlkby4gTGEgZnVlcnphIG5vIGVzIGp1c3RpY2lhLiDCoUxhIGp1c3RpY2lhIGVzIGZ1ZXJ6YSE=
o2UzAw,,W01vbmtdCklmIHlvdSdyZSBhIE1vbmssIHJlbWVtYmVyIHRoaXMgdHJ1dGggY2xlYXJseSEgU29tZSBpZGlvdCBzb21ld2hlcmUgd2hvIGp1c3Qgc2VjbHVkZXMgaGltc2VsZiBhbmQgb25seSBwcmVhY2hlcyBzZWxmLWRpc2NpcGxpbmUgZG9lc24ndCBrbm93IHRoaXMgYXQgYWxsLi4uIGUgaW5nfg==,,,,,W01vbmdlXQpTZSB2b2PDqiDDqSB1bSBNb25nZSwgbGVtYnJlLXNlIGJlbSBkZXN0YSB2ZXJkYWRlISBBbGd1bSBpZGlvdGEgZW0gYWxndW0gbHVnYXIgcXVlIGFwZW5hcyBzZSBpc29sYSBlIHPDsyBwcmVnYSBhdXRvZGlzY2lwbGluYSBuw6NvIHNhYmUgZGlzc28gZGUgamVpdG8gbmVuaHVtLi4uIGUgaW5nfg==,,W01vbmplXQpTaSBlcmVzIHVuIE1vbmplLCDCoXJlY3VlcmRhIGJpZW4gZXN0YSB2ZXJkYWQhIEFsZ8O6biBpZGlvdGEgZW4gYWxnw7puIGx1Z2FyIHF1ZSBzb2xvIHNlIGHDrXNsYSB5IHNvbG8gcHJlZGljYSBsYSBhdXRvZGlzY2lwbGluYSBubyBzYWJlIGVzdG8gZW4gYWJzb2x1dG8uLi4gZSBpbmd+
pGUzAw,,W01vbmtdCkknZCBsaWtlIHRvIGxldCBoaW0gbGl2ZSBsaWtlIHRoYXQgdW50aWwgaGUgZGllcywgYnV0IHRoYXQgY2FuJ3QgaGFwcGVuIGVpdGhlciBiZWNhdXNlIHdpdGhvdXQgdGhhdCBeRkYwMDAwQ2hpIEluamVjdGlvbl4wMDAwMDAgdGVjaG5pcXVlLCB3ZSBjYW4ndCBldmVuIHVzZSB0aGUgbmV3IHRlY2huaXF1ZSB3ZSBjcmVhdGVkIQ==,,,,,W01vbmdlXQpFdSBnb3N0YXJpYSBkZSBkZWl4w6EtbG8gdml2ZXIgYXNzaW0gYXTDqSBtb3JyZXIsIG1hcyBpc3NvIHRhbWLDqW0gbsOjbyBwb2RlIGFjb250ZWNlciBwb3JxdWUgc2VtIGFxdWVsYSB0w6ljbmljYSBkZSBeRkYwMDAwSW5qZcOnw6NvIGRlIENoaV4wMDAwMDAsIG7Do28gcG9kZW1vcyBuZW0gdXNhciBhIG5vdmEgdMOpY25pY2EgcXVlIGNyaWFtb3Mh,,W01vbmplXQpNZSBndXN0YXLDrWEgZGVqYXJsbyB2aXZpciBhc8OtIGhhc3RhIHF1ZSBtdWVyYSwgcGVybyBlc28gdGFtcG9jbyBwdWVkZSBzdWNlZGVyIHBvcnF1ZSBzaW4gZXNhIHTDqWNuaWNhIGRlIF5GRjAwMDBJbnllY2Npw7NuIGRlIENoaV4wMDAwMDAsIMKhbmkgc2lxdWllcmEgcG9kZW1vcyB1c2FyIGxhIG51ZXZhIHTDqWNuaWNhIHF1ZSBjcmVhbW9zIQ==
pWUzAw,,W01vbmtdCkV2ZW4gdGhvdWdoIF5GRjAwMDBQYWx0YV4wMDAwMDAgaXMgYSB0ZWNobmlxdWUgd2UgTW9ua3MgcHV0IG91ciB3aG9sZSBoZWFydHMgaW50byBjcmVhdGluZy4uLiBpZiB5b3UgZG9uJ3Qga25vdyBob3cgdG8gaW5qZWN0IGNoaSwgeW91IGNhbid0IHVzZSBpdC4uLg==,,,,,W01vbmdlXQpNZXNtbyBxdWUgXkZGMDAwMFBhbHRhXjAwMDAwMCBzZWphIHVtYSB0w6ljbmljYSBxdWUgbsOzcywgTW9uZ2VzLCBjb2xvY2Ftb3MgdG9kbyBvIG5vc3NvIGNvcmHDp8OjbyBwYXJhIGNyaWFyLi4uIHNlIHZvY8OqIG7Do28gc2FiZSBjb21vIGluamV0YXIgY2hpLCBuw6NvIHBvZGUgdXPDoS1sYS4uLg==,,W01vbmplXQpBdW5xdWUgXkZGMDAwMFBhbHRhXjAwMDAwMCBlcyB1bmEgdMOpY25pY2EgcXVlIG5vc290cm9zLCBsb3MgTW9uamVzLCBwdXNpbW9zIHRvZG8gbnVlc3RybyBjb3JhesOzbiBlbiBjcmVhci4uLiBzaSBubyBzYWJlcyBjw7NtbyBpbnllY3RhciBjaGksIG5vIHB1ZWRlcyB1c2FybGEuLi4=
pmUzAw,,W01vbmtdCkJ1dCBzdGlsbCwgdGhhdCBndXkuLi4gdGhhdCBndXV1dXkhCldlIHRyaWVkIGNvYXhpbmcsIHRocmVhdGVuaW5nLCBib3dpbmcgb3VyIGhlYWRzLCBldmVyeXRoaW5nIHdlIGNvdWxkLCBidXQgaGUgZG9lc24ndCB3YW50IHRvIHRlYWNoIGhpcyBDaGkgSW5qZWN0aW9uIHRvIG90aGVycy4=,,,,,W01vbmdlXQpNYXMgYWluZGEgYXNzaW0sIGFxdWVsZSBjYXJhLi4uIGFxdWVsZSBjYWFhYXJhIQpUZW50YW1vcyBjb252ZW5jZXIsIGFtZWHDp2FyLCBhYmFpeGFyIGEgY2FiZcOnYSwgdHVkbyBxdWUgcG9kw61hbW9zLCBtYXMgZWxlIG7Do28gcXVlciBlbnNpbmFyIHN1YSBJbmplw6fDo28gZGUgQ2hpIHBhcmEgb3Mgb3V0cm9zLg==,,W01vbmplXQpQZXJvIGHDum4gYXPDrSwgZXNlIHRpcG8uLi4gwqFlc2UgdGlpaXBvIQpJbnRlbnRhbW9zIHBlcnN1YWRpcmxvLCBhbWVuYXphcmxvLCBpbmNsaW5hciBsYSBjYWJlemEsIHRvZG8gbG8gcXVlIHB1ZGltb3MsIHBlcm8gbm8gcXVpZXJlIGVuc2XDsWFyIHN1IElueWVjY2nDs24gZGUgQ2hpIGEgb3Ryb3Mu
p2UzAw,,W01vbmtdCk90aGVyIE1vbmtzIGhhdmUgdHJpZWQgaGFyZCB0byBsZWFybiBDaGkgSW5qZWN0aW9uIG9uIHRoZWlyIG93biwgYnV0IGl0IGRpZG4ndCB3b3JrLi4uIEl0J3MgdHJ1bHkgcGF0aGV0aWMu,,,,,W01vbmdlXQpPdXRyb3MgTW9uZ2VzIHRlbnRhcmFtIG11aXRvIGFwcmVuZGVyIEluamXDp8OjbyBkZSBDaGkgcG9yIGNvbnRhIHByw7NwcmlhLCBtYXMgbsOjbyBmdW5jaW9ub3UuLi4gw4kgdmVyZGFkZWlyYW1lbnRlIHBhdMOpdGljby4=,,W01vbmplXQpPdHJvcyBNb25qZXMgaGFuIGludGVudGFkbyBtdWNobyBhcHJlbmRlciBJbnllY2Npw7NuIGRlIENoaSBwb3Igc3UgY3VlbnRhLCBwZXJvIG5vIGZ1bmNpb27Dsy4uLiBFcyB2ZXJkYWRlcmFtZW50ZSBwYXTDqXRpY28u
qGUzAw,,W01vbmtdCklmIHlvdSdyZSBhIE1vbmsgdG9vLCBlaXRoZXIgY29heCB0aGF0IGd1eSwgb3IgZmluZCBhIHdheSB0byBsZWFybiBDaGkgSW5qZWN0aW9uIHlvdXJzZWxmLg==,,,,,W01vbmdlXQpTZSB2b2PDqiB0YW1iw6ltIMOpIHVtIE1vbmdlLCBvdSBjb252ZW7Dp2EgYXF1ZWxlIGNhcmEsIG91IGVuY29udHJlIHVtYSBtYW5laXJhIGRlIGFwcmVuZGVyIEluamXDp8OjbyBkZSBDaGkgcG9yIHNpIG1lc21vLg==,,W01vbmplXQpTaSB0w7ogdGFtYmnDqW4gZXJlcyB1biBNb25qZSwgbyBwZXJzdWFkZXMgYSBlc2UgdGlwbywgbyBlbmN1ZW50cmFzIHVuYSBtYW5lcmEgZGUgYXByZW5kZXIgSW55ZWNjacOzbiBkZSBDaGkgcG9yIHRpIG1pc21vLg==
qWUzAw,,W01vbmtdClRoYXQgZ3V5IGlzIGFsd2F5cyBtdW1ibGluZyBhYm91dCBob3cgZmlnaHRpbmcgaXMgdXNlbGVzcyBhbmQgcGF0aGV0aWMsIHNvIGhlJ2xsIGJlIGVhc3kgdG8gcmVjb2duaXplLg==,,,,,W01vbmdlXQpBcXVlbGUgY2FyYSBlc3TDoSBzZW1wcmUgcmVzbXVuZ2FuZG8gc29icmUgY29tbyBsdXRhciDDqSBpbsO6dGlsIGUgcGF0w6l0aWNvLCBlbnTDo28gZWxlIHNlcsOhIGbDoWNpbCBkZSByZWNvbmhlY2VyLg==,,W01vbmplXQpFc2UgdGlwbyBzaWVtcHJlIGVzdMOhIG11cm11cmFuZG8gc29icmUgY8OzbW8gbHVjaGFyIGVzIGluw7p0aWwgeSBwYXTDqXRpY28sIHBvciBsbyBxdWUgc2Vyw6EgZsOhY2lsIGRlIHJlY29ub2Nlci4=
qmUzAw,,W01vbmtdCkdvIHRlYWNoIHRoaXMgdHJ1dGggdG8gdGhhdCBpZGlvdCwgYSBnZW5pdXMgd2hvJ3MgdGhlIG9ubHkgb25lIHdobyBjYW4gaW5qZWN0IGNoaSwgeWV0IGF0IHRoZSBzYW1lIHRpbWUgaGFzIGEgcGF0aGV0aWMgaWRlYWwu,,,,,W01vbmdlXQpWw6EgZW5zaW5hciBlc3RhIHZlcmRhZGUgcGFyYSBhcXVlbGUgaWRpb3RhLCB1bSBnw6puaW8gcXVlIMOpIG8gw7puaWNvIHF1ZSBwb2RlIGluamV0YXIgY2hpLCBtYXMgYW8gbWVzbW8gdGVtcG8gdGVtIHVtIGlkZWFsIHBhdMOpdGljby4=,,W01vbmplXQpWZSB5IGVuc8Opw7FhbGUgZXN0YSB2ZXJkYWQgYSBlc2UgaWRpb3RhLCB1biBnZW5pbyBxdWUgZXMgZWwgw7puaWNvIHF1ZSBwdWVkZSBpbnllY3RhciBjaGksIHBlcm8gYWwgbWlzbW8gdGllbXBvIHRpZW5lIHVuIGlkZWFsIHBhdMOpdGljby4=
