IGwwDA,,Q2FjdGVyb24=,,,,,S2FjdGVyb24=,,Q2FjdGVyb24=
IWwwDA,,W0NhY3Rlcm9uXQpBIHN0cmFuZ2VyIEkgaGF2ZW4ndCBzZWVuIGJlZm9yZS4gRG8geW91IGhhdmUgYnVzaW5lc3MgaW4gdGhlIHZpbGxhZ2U/,,,,,W0thY3Rlcm9uXQpVbSBlc3RyYW5obyBxdWUgbnVuY2EgdmkgYW50ZXMuIFZvY8OqIHRlbSBuZWfDs2Npb3MgbmEgdmlsYT8=,,W0NhY3Rlcm9uXQpVbiBleHRyYcOxbyBxdWUgbm8gaGFiw61hIHZpc3RvIGFudGVzLiDCv1RpZW5lcyBhbGfDum4gYXN1bnRvIGVuIGVsIHB1ZWJsbz8=
ImwwDA,,W0NhY3Rlcm9uXQpBIHN0cmFuZ2VyIEkgaGF2ZW4ndCBzZWVuIGJlZm9yZS4gQ2Fycnlpbmcgc3VjaCBhIGhlYXZ5IGJhZy4uLiBBcmUgeW91IGNhcnJ5aW5nIHRoYXQgc28geW91ciBsaWdodCBib2R5IGRvZXNuJ3QgZ2V0IGJsb3duIGF3YXkgYnkgdGhlIHdhc3RlbGFuZCB3aW5kcz8=,,,,,W0thY3Rlcm9uXQpVbSBlc3RyYW5obyBxdWUgbnVuY2EgdmkgYW50ZXMuIENhcnJlZ2FuZG8gdW1hIG1vY2hpbGEgdMOjbyBwZXNhZGEuLi4gRXN0w6EgY2FycmVnYW5kbyBpc3NvIHBhcmEgc2V1IGNvcnBvIGxldmUgbsOjbyBzZXIgbGV2YWRvIHBlbG8gdmVudG8gZG8gZGVzZXJ0bz8=,,W0NhY3Rlcm9uXQpVbiBleHRyYcOxbyBxdWUgbm8gaGFiw61hIHZpc3RvIGFudGVzLiBDYXJnYW5kbyB1bmEgYm9sc2EgdGFuIHBlc2FkYS4uLiDCv0xhIGxsZXZhcyBwYXJhIHF1ZSB0dSBjdWVycG8gbGlnZXJvIG5vIHNlYSBhcnJhc3RyYWRvIHBvciBsb3MgdmllbnRvcyBkZWwgeWVybW8/
I2wwDA,,W0NhY3Rlcm9uXQouLi5KdXN0IGtpZGRpbmcuIEJ1dCB5b3Ugc2hvdWxkIGxpZ2h0ZW4geW91ciBsb2FkIGEgYml0LiBVbmxlc3MgaXQncyBkYWlseSBuZWNlc3NpdGllcyBmb3IgeW91ciBmYW1pbHksIG9mIGNvdXJzZS4gSXQncyBmb29saXNoIHRvIGFsd2F5cyBjYXJyeSBzdWNoIHRoaW5ncyBhcm91bmQu,,,,,W0thY3Rlcm9uXQouLi4gQnJpbmNhZGVpcmEuIE1hcyB2b2PDqiBkZXZlcmlhIGFsaXZpYXIgdW0gcG91Y28gc3VhIGNhcmdhLiBBIG1lbm9zIHF1ZSBzZWphbSBpdGVucyBkZSBuZWNlc3NpZGFkZSBkYSBzdWEgZmFtw61saWEsIMOpIGNsYXJvLiDDiSB0b2xpY2UgY2FycmVnYXIgZXNzYXMgY29pc2FzIG8gdGVtcG8gdG9kby4=,,W0NhY3Rlcm9uXQouLi5FcyB1bmEgYnJvbWEuIFBlcm8gZGViZXLDrWFzIGFsaWdlcmFyIHVuIHBvY28gdHUgY2FyZ2EuIEEgbWVub3MgcXVlIHNlYW4gYXJ0w61jdWxvcyBkZSBwcmltZXJhIG5lY2VzaWRhZCBwYXJhIHR1IGZhbWlsaWEsIHBvciBzdXB1ZXN0by4gRXMgdW5hIHRvbnRlcsOtYSBjYXJnYXIgc2llbXByZSBjb24gZXNhcyBjb3Nhcy4=
JGwwDA,,W0xpdHRsZSBSYWN0ZXJdCldvdyEgTW9tJ3MgaGVyZSEhIE1vbSwgZGlkIHlvdSBicmluZyBqdWljZT8gSSB3YW50IGFnYXZlIGZsYXZvciBqdWljZSE=,,,,,W1BlcXVlbm8gUmFjdGVyXQpVYXUhIEEgbWFtw6NlIGNoZWdvdSEhIE1hbcOjZSwgdm9jw6ogdHJvdXhlIHN1Y28/IEV1IHF1ZXJvIHN1Y28gc2Fib3IgYWdhdmUh,,W1BlcXVlw7FvIFJhY3Rlcl0KwqFHdWF1ISDCocKhTWFtw6EgZXN0w6EgYXF1w60hISBNYW3DoSwgwr90cmFqaXN0ZSBqdWdvPyDCoVF1aWVybyBqdWdvIHNhYm9yIGFnYXZlIQ==
JWwwDA,,W0xpdHRsZSBSYWN0ZXJdClVoLi4uIEJ1dCBkaWQgbW9tIGZhbGwgZG93biBhbmQgZ2V0IGh1cnQ/IFlvdXIgY2xvdGhlcyBhcmUgZGlydHku,,,,,W1BlcXVlbm8gUmFjdGVyXQpVaC4uLiBBIG1hbcOjZSBjYWl1IGUgc2UgbWFjaHVjb3U/IFN1YXMgcm91cGFzIGVzdMOjbyBzdWphcy4=,,W1BlcXVlw7FvIFJhY3Rlcl0KRWguLi4gUGVybywgwr9tYW3DoSBzZSBjYXnDsyB5IHNlIGxhc3RpbcOzPyBUdSByb3BhIGVzdMOhIHN1Y2lhLg==
JmwwDA,,W0NhY3Rlcm9uXQpZZXMsIEknbSBiYWNrLiBVbS4uLiBCdXQgUmFjdGVyLCBtb20gaGFzIHNvbWV0aGluZyB0byB0ZWxsIHlvdS4=,,,,,W0thY3Rlcm9uXQpTaW0sIGVzdG91IGRlIHZvbHRhLiBIbS4uLiBNYXMgUmFjdGVyLCBhIG1hbcOjZSB0ZW0gYWxnbyBwYXJhIHRlIGNvbnRhci4=,,W0NhY3Rlcm9uXQpTw60sIGhlIHZ1ZWx0by4gRW0uLi4gUGVybyBSYWN0ZXIsIG1hbcOhIHRpZW5lIGFsZ28gcXVlIGRlY2lydGUu
J2wwDA,,W0NhY3Rlcm9uXQouLi4uLi5JJ20gcmVhbGx5IHNvcnJ5LCBSYWN0ZXIuIFRoZXJlJ3Mgbm8gYWdhdmUgZmxhdm9yIGp1aWNlIHRvZGF5Lg==,,,,,W0thY3Rlcm9uXQouLi4gU2ludG8gbXVpdG8sIFJhY3Rlci4gTsOjbyB0ZW0gc3VjbyBzYWJvciBhZ2F2ZSBob2plLg==,,W0NhY3Rlcm9uXQouLi4uLi5MbyBzaWVudG8gbXVjaG8sIFJhY3Rlci4gSG95IG5vIGhheSBqdWdvIHNhYm9yIGFnYXZlLg==
KGwwDA,,W0xpdHRsZSBSYWN0ZXJdCkh1aD8gV2h5PyBXaHkgaXNuJ3QgdGhlcmUgYW55PyBZb3Ugc2FpZCB5b3Ugd2VyZSBnb2luZyB0byBSb2NrIFJpZGdlIG1hcmtldCB0b2RheSEKTGFidWppIHNhaWQgbW9tIHdvdWxkIGJyaW5nIGFnYXZlIGZsYXZvciBqdWljZSBzbyBSYWN0ZXIgd2FpdGVkLi4uIFdhYWFoISE=,,,,,W1BlcXVlbm8gUmFjdGVyXQpIw6M/IFBvciBxdcOqPyBQb3IgcXVlIG7Do28gdGVtPyBWb2PDqiBkaXNzZSBxdWUgaWEgYW8gbWVyY2FkbyBkZSBSb2NrcmlkZ2UgaG9qZSEKTGFidWppIGRpc3NlIHF1ZSBhIG1hbcOjZSB0cmFyaWEgc3VjbyBzYWJvciBhZ2F2ZSwgZW50w6NvIG8gUmFjdGVyIGVzcGVyb3UuLi4gQnXDocOhw6EhIQ==,,W1BlcXVlw7FvIFJhY3Rlcl0Kwr9FaD8gwr9Qb3IgcXXDqT8gwr9Qb3IgcXXDqSBubyBoYXk/IMKhRGlqaXN0ZSBxdWUgaWJhcyBhbCBtZXJjYWRvIGRlIFJvY2sgUmlkZ2UgaG95IQpMYWJ1amkgZGlqbyBxdWUgbWFtw6EgdHJhZXLDrWEganVnbyBzYWJvciBhZ2F2ZSwgYXPDrSBxdWUgUmFjdGVyIGVzcGVyw7MuLi4gwqFCdWFhYSEh
KWwwDA,,W3swfV0KKEhvdyBub2lzeS4gSXQgc2VlbXMgbGlrZSB0aGVyZSdzIHNvbWUgZGlmZmljdWx0IHNpdHVhdGlvbi4uLik=,,,,,W3swfV0KKFF1ZSBiYXJ1bGhlaXJhLiBQYXJlY2UgcXVlIGjDoSBhbGd1bWEgc2l0dWHDp8OjbyBjb21wbGljYWRhLi4uKQ==,,W3swfV0KKFF1w6kgcnVpZG9zby4gUGFyZWNlIHF1ZSBoYXkgYWxnw7puIHByb2JsZW1hIGNvbXBsaWNhZG8uLi4p
KmwwDA,,W0NhY3Rlcm9uXQpCZWNhdXNlLCBSYWN0ZXIuLi4gKlNuaWZmKiEgQSB3aXNlIENhY3RlciBjaGlsZCBkb2Vzbid0IGNyeSByZWNrbGVzc2x5IQ==,,,,,W0thY3Rlcm9uXQpQb3JxdWUsIFJhY3Rlci4uLiAqRnVuZ2EqISBVbWEgY3JpYW7Dp2EgS2FjdGVyIHPDoWJpYSBuw6NvIGNob3JhIHNlbSBtb3Rpdm8h,,W0NhY3Rlcm9uXQpQb3JxdWUsIFJhY3Rlci4uLiAqwqFCdWYhKiDCoVVuIG5pw7FvIENhY3RlciBzYWJpbyBubyBsbG9yYSBzaW4gY29udHJvbCE=
