oAFnCw,,RXJpZGFudXM=,,,,,RWR1YXJkbw==,,RXJpZGFudXM=
oQFnCw,,W0VyaWRhbnVzXQpIYWhhLCB0aGUgbWFpbiBnYXRlIGlzIHRoYXQgd2F5LCBhZHZlbnR1cmVyLgpZb3UgaGF2ZSB0byBjbGltYiB0aGUgc3RhaXJzLg==,,,,,W0VkdWFyZG9dCkhhaGEsIG8gcG9ydMOjbyBwcmluY2lwYWwgw6kgYWxpLCB2aWFqYW50ZS4KU8OzIHN1YmlyIGFzIGVzY2FkYXMu,,W0VyaWRhbnVzXQpKYSwgamEsIGxhIHB1ZXJ0YSBwcmluY2lwYWwgZXN0w6EgcG9yIGFow60sIHRyb3RhbXVuZG9zLgpUaWVuZXMgcXVlIHN1YmlyIGxhcyBlc2NhbGVyYXMu
ogFnCw,,V2hhdCBhcmUgeW91IGRvaW5nPw==,,,,,TyBxdWUgdm9jw6ogdMOhIGZhemVuZG8/,,wr9RdcOpIGVzdMOhcyBoYWNpZW5kbz8=
owFnCw,,W0VyaWRhbnVzXQpNYWludGVuYW5jZSB3b3JrLCBhcyB5b3UgY2FuIHNlZS4KLi4uQnV0IEknbSBmZWVsaW5nIGEgbGl0dGxlIHVuZWFzeS4=,,,,,W0VkdWFyZG9dCk7Do28gdsOqcyBxdWUgdHJhYmFsaG8gY29tIG1hbnV0ZW7Dp8Ojbz8KLi4ubWFzIGV1IG7Do28gZXN0b3UgYmVtLg==,,W0VyaWRhbnVzXQpNYW50ZW5pbWllbnRvLCBjb21vIHB1ZWRlcyB2ZXIuCuKAplBlcm8gbWUgc2llbnRvIHVuIHBvY28gaW50cmFucXVpbG8u
pAFnCw,,W0VyaWRhbnVzXQpIbW0uIFlvdSdyZSBhbiBhZHZlbnR1cmVyLgpJJ3ZlIGJlZW4gaGVhcmluZyBhIHN0cmFuZ2Ugbm9pc2UgY29taW5nIGZyb20gdGhlIGhvbHkgZ3JvdW5kIHJlY2VudGx5Lg==,,,,,W0VkdWFyZG9dCkFoLCB2b2PDqiDDqSBkZXNzZXMgcXVlIGdvc3RhIGRlIGF2ZW50dXJhcy4KQm9tLCBldSBmaWNvIG91dmluZG8gYmFydWxob3MgZGUgZGVudHJvIGRvIFNhbnR1w6FyaW8u,,W0VyaWRhbnVzXQpNbW0uIEVyZXMgdHJvdGFtdW5kb3MuCsOabHRpbWFtZW50ZSwgb2lnbyB1biBydWlkbyBleHRyYcOxbyBxdWUgcHJvdmllbmUgZGUgbG9zIHRlcnJlbm9zIHNhZ3JhZG9zLg==
pQFnCw,,W0VyaWRhbnVzXQpJIHRoaW5rIGl0J3MgYmVjYXVzZSBvZiB0aGUgYWNjaWRlbnQgYSB3aGlsZSBhZ28uLi4=,,,,,W0VkdWFyZG9dCkV1IGFjaG8gcXVlIMOpIHBvciBjYXVzYSBkYXF1ZWxlIGluY2lkZW50ZSBhbnRlcy4uLg==,,W0VyaWRhbnVzXQpDcmVvIHF1ZSBlcyBwb3IgZWwgYWNjaWRlbnRlIGRlIGhhY2UgdW4gdGllbXBv4oCm
pgFnCw,,QWNjaWRlbnQ/,,,,,Vm9jw6ogYWNoYT8=,,wr9BY2NpZGVudGU/
pwFnCw,,W0VyaWRhbnVzXQooSW4gYSBsb3cgdm9pY2UpClRoZXJlIHdhcyBhIHRpbnkgYWNjaWRlbnQgb2YgbWFuYSBsZWFrYWdlIGluIHRoZXJlLgpUaGUgaGlnaGVyLXVwcyBhcmUgdHJ5aW5nIHRvIGh1c2ggaXQgdXAsIGJ1dCBJIGhlYXJkIHRoZSBhY2NpZGVudCBjYXVzZWQgc29tZSBtb25zdGVyIGVtZXJnZW5jZS4=,,,,,W0VkdWFyZG9dCihhYmFpeGEgbyB0b20gZGEgdm96KQpIb3V2ZSB1bSBwZXF1ZW5vIGFjaWRlbnRlIGRpYSBkZXNzZXMgb25kZSB1bWEgbWFnaWEgdmF6b3UgZG8gc2FudHXDoXJpby4KRXUgY2hlZ3VlaSBhIGVzY3V0YXIgbyBiYXJ1bGhvIGRlIHVtYSBleHBsb3PDo28gbcOhZ2ljYS4uLg==,,W0VyaWRhbnVzXQooRW4gdm96IGJhamEpCkh1Ym8gdW4gcGVxdWXDsW8gYWNjaWRlbnRlIGRlIGZ1Z2EgZGUgbWFuw6EgYWjDrS4KTG9zIHN1cGVyaW9yZXMgaW50ZW50YW4gb2N1bHRhcmxvLCBwZXJvIG/DrSBxdWUgZWwgYWNjaWRlbnRlIHByb3ZvY8OzIGxhIGFwYXJpY2nDs24gZGUgbW9uc3RydW9zLg==
qAFnCw,,W0VyaWRhbnVzXQpNeSBzdXBlcmlvcnMgZGlzbWlzc2VkIGl0IGFzIGEgaG9nd2FzaCwKYnV0IGxpc3Rlbi4KLi4uQ2FuJ3QgeW91IGhlYXIgdGhpcyBzdHJhbmdlIG5vaXNlIGNvbWluZyBmcm9tIGJlbG93Pw==,,,,,W0VkdWFyZG9dCk9zIHN1cGVyaW9yZXMgZGVyYW0gdW1hIGRlc2N1bHBpbmhhLgpFc2N1dGEgc8OzLgpDb25zZWd1ZSBvdXZpciBlc3NlIHNvbSBlc3RyYW5obz8=,,W0VyaWRhbnVzXQpNaXMgc3VwZXJpb3JlcyBhc2VndXJhbiBxdWUgc29uIHRvbnRlcsOtYXMsCnBlcm8gZXNjdWNoYS4K4oCmwr9ObyBveWVzIGVzZSBydWlkbyBleHRyYcOxbyBxdWUgdmllbmUgZGUgYWJham8/
qQFnCw,,W0VyaWRhbnVzXQpJZiB0aGlzIHJlYWxseSBpcyBhIG1vbnN0ZXIsIGl0IG1lYW5zIHRoZXJlJ3MgYSBtb25zdGVyIHRyYXBwZWQgaW4gdGhlIGhvbHkgdGVtcGxlLCB3aGljaCBpcyBhIGJpZyBwcm9ibGVtLgpVZ2guLi4=,,,,,W0VkdWFyZG9dCkUgc2UgZm9yIHVtIGRlbcO0bmlvIGRlbnRybyBkZSB1bSBzYW50dcOhcmlvIHNhZ3JhZG8/CkFmZi4uLg==,,W0VyaWRhbnVzXQpTaSByZWFsbWVudGUgaGF5IHVuIG1vbnN0cnVvLCBzaWduaWZpY2EgcXVlIGVzdMOhIGF0cmFwYWRvIGVuIGVsIHRlbXBsbyBzYWdyYWRvLCBsbyBjdWFsIGVzIHVuIGdyYW4gcHJvYmxlbWEuClVm4oCm
qgFnCw,,W0VyaWRhbnVzXQpPaCByaWdodCEgWW91IGNhbiBnZXQgcmlkIG9mIHRoZSBtb25zdGVyIGZvciBvdXIgZ29kZGVzcyEKSSdtIHN1cmUgdGhlIGhpZ2hlci11cHMgd2lsbCByZXByaW1hbmQgbWUgZm9yIGJlaW5nIGluZHVsZ2VudCwgYnV0IEkgY2FuJ3QgdHVybiBteSBleWVzIGF3YXkgZnJvbSBhIG1vbnN0ZXIgcHJvYmxlbSE=,,,,,W0VkdWFyZG9dCkVudMOjbywgdm9jw6ogdGVtIHF1ZSBzZSBsaXZyYXIgZGVzc2UgZGVtw7RuaW8sIHBlbGEgbm9zc2EgRGV1c2EhCk7Do28gcG9zc28gaWdub3JhciBvIGZhdG8gZGUgcXVlIGjDoSBtb25zdHJvcyBuZXNzZSBsdWdhciE=,,W0VyaWRhbnVzXQrCoUFoLCBjbGFybyEgwqFQdWVkZXMgZGVzaGFjZXJ0ZSBkZWwgbW9uc3RydW8gcG9yIG51ZXN0cmEgZGlvc2EhClNlZ3VybyBxdWUgbG9zIHN1cGVyaW9yZXMgbWUgcmVnYcOxYXLDoW4gcG9yIHNlciBpbmR1bGdlbnRlLCDCoXBlcm8gbm8gcHVlZG8gaGFjZXIgb8OtZG9zIHNvcmRvcyBhIHVuIHByb2JsZW1hIHRhbiBtb25zdHJ1b3NvIQ==
