oIvrBg,,U2NhbXA=,,,,,VmVsaGFjbw==,,U2NhbXA=
oYvrBg,,W0FobWFuXQpJdCBjYW4ndCBiZSBjYWxsZWQgYW4gYWlycG9ydCwgYnV0CkZvciBzb21lIHJlYXNvbiwgdGhpcyBwbGFjZSBpcyBxdWl0ZSBuaWNlCkl0J3MgYSBwbGFjZSBJIGxpa2UuClBsZWFzZSBwYXNzLgpUaGlzIGlzIG5vdCB3aGVyZSB5b3Ugc2hvdWxkIGJlLg==,,,,,W0hvbWVtXQpIbW0sIGNvbW8gcG9kZW0gY2hhbWFyCmVzc2UgbHVnYXIgZGUgQWVyb3BvcnRvPwrDiSBtdWl0byBwZXF1ZW5vLCBuw6NvCmFjaGE/IEFwZXNhciBkaXNzbywgZXUgZ29zdG8KZGUgbWUgc2VudGFyIHBvciBhcXVpLg==,,W0FobWFuXQpObyBzZSBsZSBwdWVkZSBsbGFtYXIgYWVyb3B1ZXJ0bywgcGVyby4uLgpQb3IgYWxnw7puIG1vdGl2bywgZXN0ZSBsdWdhciBlcyBiYXN0YW50ZSBhZ3JhZGFibGUuCkVzIHVuIGx1Z2FyIHF1ZSBtZSBndXN0YS4KUG9yIGZhdm9yLCBwYXNhLgpBcXXDrSBubyBlcyBkb25kZSBkZWJlcsOtYXMgZXN0YXIu
oovrBg,,W3swfV0KSWYgeW91IGFyZSBBaG1hbiwKSSBoYXZlIGNvbWUgdG8gdGhlIHJpZ2h0IHBsYWNlCmFuZCB0aGlzIGlzIHRoZSByaWdodCBwbGFjZSBmb3IgbWUu,,,,,W3swfV0KRGVzY3VscGUtbWUsIG1hcyB2b2PDqiAKc2FiZSBvbmRlIHBvc3NvIGVuY29udHJhcgp1bSBob21lbSBjaGFtYWRvIEFobWFuPwpFdSB0ZW5obyB1bWEgbWVuc2FnZW0gcGFyYSBlbGUu,,W3swfV0KU2kgZXJlcyBBaG1hbi4uLgpWaW5lIGFsIGx1Z2FyIGFkZWN1YWRvLgpZIGVzdGUgZXMgZWwgbHVnYXIgYWRlY3VhZG8gcGFyYSBtw60u
o4vrBg,,W0FobWFuXQpIby4uLiBJIGhhdmUgc29tZSBidXNpbmVzcyB0byBkbwpJcyBpdCBmcm9tIExpZ2h0aGFsemVuPwpTbywgZGlkIHRoZSBpdGVtIGFycml2ZSBzYWZlbHk/CkFyZSB5b3Ugb24gdGhpcyBhaXJzaGlwIG5vdz8=,,,,,W0hvbWVtXQrDlG9vLi4uIFRlbmhvIGFsZ3VucyBuZWfDs2Npb3MgYSBmYXplcgrDiSBkZSBMaWdodGhhbHplbj8KRW50w6NvLCBvIGl0ZW0gY2hlZ291IGNvbSBzZWd1cmFuw6dhPwpWb2PDqiBlc3TDoSBuZXNzZSBkaXJpZ8OtdmVsIGFnb3JhPw==,,W0FobWFuXQpPaC4uLiBUZW5nbyBjb3NhcyBxdWUgaGFjZXIuCsK/RXMgZGUgTGlnaHRoYWx6ZW4/CsK/TGxlZ8OzIGJpZW4gZWwgb2JqZXRvPwrCv0VzdMOhcyBlbiBlc3RhIGFlcm9uYXZlIGFob3JhPw==
pIvrBg,,W3swfV0KWWVzLiBHbyBpbnNpZGUgYW5kIG1lZXQgTXIuIEx5b3ppZW4uLi4=,,,,,W3swfV0KU2ltLiBFbnRyZSBlIGNvbmhlw6dhIG8gU3IuIEx5b3ppZW4uLi4=,,W3swfV0KU8OtLiBFbnRyYSB5IGNvbm9jZSBhbCBTci5MeW96aWVuLi4u
pYvrBg,,W0FobWFuXQpVbnRpbCB0aGVyZS4gSSBkb24ndCBoYXZlIHRvIHNheSBhbnl0aGluZyBhbnltb3JlLCBJIGtub3cuCktra2trLi4uIEx5b3ppZW4sIHlvdSd2ZSBiZWVuIHdhdGNoaW5nIGZvciBhIHJlYWxseSBsb25nIHRpbWUuCkkgZ2V0IGl0LgpMZXQgbWUgdHJhbnNwb3J0IGl0IHJpZ2h0IGF3YXkuCkJ5IHRoZSB3YXksIGFyZSB5b3UgbmV3Pw==,,,,,W0FobWFuXQpWb2PDqiBuw6NvIGRldmVyaWEgZXN0YXIKYSBjYW1pbmhvIGUgc2UgZW5jb250cmFyIGNvbQpMeW96aWVuPyBWb2PDqiBkZXZlIGNvcnJlcgphbnRlcyBxdWUgbyBBZXJvcGxhbm8gZGVjb2xlLg==,,W0FobWFuXQpIYXN0YSBhbGzDrS4gWWEgbm8gdGVuZ28gcXVlIGRlY2lyIG5hZGEsIGxvIHPDqS4KSmUsIGplLCBqZS4uLiBMeW96aWVuLCBoYXMgZXN0YWRvIG9ic2VydmFuZG8gZHVyYW50ZSBtdWNobyB0aWVtcG8uCkVudGllbmRvLgpMbyB0cmFuc3BvcnRhcsOpIGRlIGlubWVkaWF0by4KUG9yIGNpZXJ0bywgwr9lcyB0dSBwcmltZXJhIHZleiBhcXXDrT8=
povrBg,,W3swfV0KWWVzLiBJIGFtIGEgcGFydC10aW1lIHdvcmtlci4=,,,,,W3swfV0KU2ltLCBzb3UgdW0gdHJhYmFsaGFkb3IgZGUgbWVpbyBwZXLDrW9kbw==,,W3swfV0KU8OtLiBUcmFiYWpvIGEgdGllbXBvIHBhcmNpYWwu
p4vrBg,,W0FobWFuXQpJIHNlZS4uLgpUaGVuIEkgZG9uJ3QgZXZlbiBrbm93IHdoYXQga2luZCBvZiBtb3ZpbmcgdGhpcyBpbnZvbHZlcy4KS2tra2suLi4gSXMgaXQgdGhlIHNhbWUgYXMgTHlvemllbj8=,,,,,W0FobWFuXQpQb3IgZW5xdWFudG8sIHZvY8OqIGRldmVyaWEKaXIgc2UgZW5jb250cmFyIGNvbSBMeW96aWVuLgpFdSBwcmVzdW1vIHF1ZSB2b2PDqiBwcm90ZWdldQptZXVzIHBhY290ZXMsIGVudMOjbywgbXVpdG8gb2JyaWdhZG8KcGVsbyB0cmFiYWxobyBkaWxpZ2VudGUuIEFnb3JhLCBldSBwcmVjaXNvIGlyIHBlZ2FyIG8gbWV1IHBlZGlkby4uLg==,,W0FobWFuXQpZYSB2ZW8uLi4KRW50b25jZXMgbmkgc2lxdWllcmEgc8OpIHF1w6kgdGlwbyBkZSB0cmFuc3BvcnRlIHN1cG9uZSBlc3RvLgrCv0VzIGxvIG1pc21vIHF1ZSBMeW96aWVuPw==
qIvrBg,,W0FobWFuXQpXZWxsLCB0aGVyZSdzIG5vIHByb2JsZW0gZXZlbiBpZiB5b3UgZG9uJ3Qga25vdy4KV2hhdCBoYXBwZW5lZD8KR29vZCB3b3JrLiBQbGVhc2UgdGFrZSBjYXJlIG9mIG1lIG5leHQgdGltZSB0b28u,,,,,W0FobWFuXQpCZW0sIG7Do28gaMOhIHByb2JsZW1hIGFsZ3VtLCBtZXNtbyBxdWUgdm9jw6ogbsOjbyBzYWliYS4KTyBxdWUgYWNvbnRlY2V1PwpCb20gdHJhYmFsaG8uIFBvciBmYXZvciwgY3VpZGUgZGUgbWltIGRhIHByw7N4aW1hIHZleiB0YW1iw6ltLg==,,W0FobWFuXQpCdWVubywgbm8gaGF5IHByb2JsZW1hIGF1bnF1ZSBubyBsbyBzZXBhcy4Kwr9RdcOpIHN1Y2VkacOzPwpCdWVuIHRyYWJham8uIFBvciBmYXZvciwgY3VpZGEgZGUgbcOtIHRhbWJpw6luIGxhIHByw7N4aW1hIHZlei4=
qYvrBg,,W0FobWFuXQpJZiB5b3UgZ28gYmFjayB0byBMeW96aWVuLCBldmVyeXRoaW5nIHdpbGwgaGF2ZSBiZWVuIHJvdWdobHkgbW92ZWQuCkdvb2RieWUu,,,,,W0FobWFuXQpTZSB2b2PDqiB2b2x0YXIgcGFyYSBMeW96aWVuLCB0dWRvIHRlcsOhIHNpZG8gbW92aWRvIGRlIGZvcm1hIGJydXRhLgpBZGV1cy4=,,W0FobWFuXQpTaSByZWdyZXNhcyBjb24gTHlvemllbiwgdG9kbyBzZSBoYWJyw6EgdHJhbnNwb3J0YWRvIGJydXNjYW1lbnRlLgpBZGnDs3Mu
qovrBg,,W0FobWFuXQpBcmVuJ3QgeW91IGdvaW5nPwpJIGRvbid0IHRoaW5rIHlvdSdsbCBoYXZlIG11Y2ggdG8gZG8gaGVyZS4=,,,,,W0FobWFuXQpBaW5kYSBuw6NvIGZvaT8KQWNobyBxdWUgdm9jw6ogbsOjbyB0ZXLDoSBtdWl0byBvIHF1ZSBmYXplciBhcXVp,,W0FobWFuXQrCv05vIGlyw6FzPwpObyBjcmVvIHF1ZSB0ZW5nYXMgbXVjaG8gcXVlIGhhY2VyIGFxdcOtLg==
