oFEqDA,,S2FyYW0gUHVjaGk=,,,,,S2FyYW0gUHVjaGk=,,S2FyYW0gUHVjaGk=
oVEqDA,,T2gsIHByb21pc2luZyBhZHZlbnR1cmVyISBIb3cgYWJvdXQgSSBpbnRyb2R1Y2UgeW91IHRvIGEgbmV3IGFkdmVudHVyZSBqb3VybmFsPw==,,,,,T2gsIHZpYWphbnRlISBRdWUgdGFsIGV1IHRlIGFwcmVzZW50YXIgdW1hIG5vdmEgYXZlbnR1cmE/,,wqFPaCwgcHJvbWV0ZWRvciBUcm90YW11bmRvcyEgwr9RdcOpIHRlIHBhcmVjZSBzaSB0ZSBwcmVzZW50byB1biBudWV2byBkaWFyaW8gZGUgYXZlbnR1cmFzPw==
olEqDA,,WW91ISBXb24ndCB5b3UgbGlzdGVuIHRvIG15IHN0b3J5IGZvciBhIG1vbWVudD8=,,,,,Vm9jw6ogbsOjbyBxdWVyIG91dmlyIG1pbmhhIGhpc3TDs3JpYSBwb3IgdW0gbW9tZW50bz8=,,wqFPeWUhIMK/Tm8gcXVpZXJlcyBlc2N1Y2hhciBtaSBoaXN0b3JpYSB1biBtb21lbnRvPw==
o1EqDA,,LSBZb3UgY2Fubm90IGNvbnRpbnVlIGJlY2F1c2UgeW91IGhhdmUgdG9vIG1hbnkgaXRlbXMuIC0=,,,,,LSBWb2PDqiBuw6NvIHBvZGUgY29udGludWFyIHBvcnF1ZSBwb3NzdWkgbXVpdG9zIGl0ZW5zLiAt,,LSBObyBwdWVkZXMgY29udGludWFyIHBvcnF1ZSB0aWVuZXMgZGVtYXNpYWRvcyBvYmpldG9zLiAt
pFEqDA,,W0thcmFtIFB1Y2hpXQpIZXksIGFkdmVudHVyZXIsIHlvdSBsb29rIHByb21pc2luZyEKV29uJ3QgeW91IGxpc3RlbiB0byBteSBzdG9yeSBmb3IgYSBiaXQ/,,,,,W0thcmFtIFB1Y2hpXQpFaSwgdmlhamFudGUhCk7Do28gcXVlciBvdXZpciBtaW5oYSBoaXN0w7NyaWEgdW0gcG91Y28/,,W0thcmFtIFB1Y2hpXQrCoU95ZSwgdHJvdGFtdW5kb3MsIHRlIHZlcyBwcm9tZXRlZG9yIQrCv05vIHF1aWVyZXMgZXNjdWNoYXIgbWkgaGlzdG9yaWEgdW4gcmF0bz8=
pVEqDA,,V2hhdCdzIGdvaW5nIG9uPw==,,,,,TyBxdWUgZm9pPw==,,wr9RdcOpIHBhc2E/
plEqDA,,SSdtIGJ1c3ku,,,,,RXN0b3Ugc2VtIHRlbXBvLg==,,RXN0b3kgb2N1cGFkby4=
p1EqDA,,W0thcmFtIFB1Y2hpXQpIYXZlIHlvdSBoZWFyZCBhbnkgcnVtb3JzIGFib3V0IHRoZSBuZXcgY29udGluZW50PwpJdCdzIGEgcGxhY2Ugb3VyIFBpbmtyb3NlIENvbXBhbnkgZGlzY292ZXJlZCB3aGlsZSBzYWlsaW5nIGZvciBuZXcgdHJhZGUgcm91dGVzLg==,,,,,W0thcmFtIFB1Y2hpXQpWb2PDqiBvdXZpdSBhbGd1bSBib2F0byBzb2JyZSB1bWEgbm92YSBpbGhhLW5hw6fDo28/CsOJIHVtIGx1Z2FyIHF1ZSBub3NzYSBDb21wYW5oaWEgUGlua3Jvc2UgZGVzY29icml1IGVucXVhbnRvIG5hdmVnYXZhIGVtIGJ1c2NhIGRlIG5vdmFzIHJvdGFzIGNvbWVyY2lhaXMu,,W0thcmFtIFB1Y2hpXQrCv0hhcyBlc2N1Y2hhZG8gcnVtb3JlcyBzb2JyZSBlbCBudWV2byBjb250aW5lbnRlPwpFcyB1biBsdWdhciBxdWUgbnVlc3RyYSBDb21wYcOxw61hIFBpbmtyb3NlIGRlc2N1YnJpw7MgbWllbnRyYXMgbmF2ZWdhYmEgZW4gYnVzY2EgZGUgbnVldmFzIHJ1dGFzIGNvbWVyY2lhbGVzLg==
qFEqDA,,W0thcmFtIFB1Y2hpXQpOb3csIGEgc2VlbWluZ2x5IGRlY2VudCBjaXR5IGNhbGxlZCBeNEQ0REZGUm9ja3JpZGdlXjAwMDAwMCBoYXMgc3BydW5nIHVwLAphbmQgaXQncyBhIGxhbmQgb2Ygb3Bwb3J0dW5pdHkgd2hlcmUgbWFueSBhcmUgY2hhbGxlbmdpbmcgdGhlbXNlbHZlcyBpbiBzZWFyY2ggb2YgZ29sZC4=,,,,,W0thcmFtIFB1Y2hpXQpBIGlsaGEgc2UgY2hhbWEgXjRENERGRlJvY2tyaWRnZV4wMDAwMDAsCmUgw6kgdW1hIHRlcnJhIGRlIG9wb3J0dW5pZGFkZXMgb25kZSBtdWl0b3MgZXN0w6NvIHNlIGRlc2FmaWFuZG8gZW0gYnVzY2EgZGUgb3Vyby4=,,W0thcmFtIFB1Y2hpXQpBaG9yYSwgaGEgc3VyZ2lkbyB1bmEgY2l1ZGFkIHF1ZSBwYXJlY2UgZGVjZW50ZSBsbGFtYWRhIF40RDRERkZSb2NrIFJpZGdlXjAwMDAwMCwKeSBlcyB1bmEgdGllcnJhIGRlIG9wb3J0dW5pZGFkZXMgZG9uZGUgbXVjaG9zIHNlIGVzdMOhbiBkZXNhZmlhbmRvIGVuIGJ1c2NhIGRlIG9yby4=
qVEqDA,,W0thcmFtIFB1Y2hpXQpJZiB5b3UncmUgaW50ZXJlc3RlZCwgSSBjYW4gc2VuZCB5b3UgdGhlcmUuCldpbGwgeW91IGdvPw==,,,,,W0thcmFtIFB1Y2hpXQpTZSBlc3RpdmVyIGludGVyZXNzZSwgcG9zc28gdGUgZW52aWFyIHBhcmEgbMOhLgpWb2PDqiB2YWk/,,W0thcmFtIFB1Y2hpXQpTaSBlc3TDoXMgaW50ZXJlc2FkbywgcHVlZG8gZW52aWFydGUgYWxsw60uCsK/SXLDoXM/
qlEqDA,,W0thcmFtIFB1Y2hpXQpOb3JtYWxseSwgeW91J2QgbmVlZCBeNEQ0REZGMTAsMDAweiBmb3IgdGhlIGZlcnJ5IGZlZV4wMDAwMDAsCmJ1dCBpZiB5b3Ugd2FudCwgSSdsbCBnaXZlIHlvdSBhIGZyZWUgcmlkZSBmb3IgdGhlIGZpcnN0IHRpbWUgYXMgYSBzcGVjaWFsIG9mZmVyLg==,,,,,W0thcmFtIFB1Y2hpXQpOb3JtYWxtZW50ZSwgdm9jw6ogcHJlY2lzYXJpYSBkZSBeNEQ0REZGMTAuMDAweiBwZWxhIHRheGEgZGUgdHJhbnNwb3J0ZV4wMDAwMDAsCm1hcyBzZSBxdWlzZXIsIHZvdSB0ZSBkYXIgdW1hIGNhcm9uYSBncsOhdGlzIHBlbGEgcHJpbWVpcmEgdmV6IGNvbW8gdW1hIG9mZXJ0YSBlc3BlY2lhbC4=,,W0thcmFtIFB1Y2hpXQpOb3JtYWxtZW50ZSwgbmVjZXNpdGFyw61hcyBeNEQ0REZGMTAsMDAweiBwb3IgbGEgdGFyaWZhIGRlbCBmZXJyeV4wMDAwMDAsIHBlcm8gc2kgcXVpZXJlcywgdGUgZGFyw6kgdW4gdmlhamUgZ3JhdGlzIHBvciBwcmltZXJhIHZleiBjb21vIHVuYSBvZmVydGEgZXNwZWNpYWwu
