IIfnDA,,U2tpcGt5cmll,,,,,UHVsYWxxdcOtcmlh,,UHVsYWxxdcOtcmlh
IYfnDA,,WW91IGhhdmUgdG9vIG1hbnkgaXRlbXMgdG8gcHJvY2VlZC4KUGxlYXNlIHJlb3JnYW5pemUgeW91ciBpdGVtcyBhbmQgdHJ5IGFnYWluLg==,,,,,Vm9jw6ogdGVtIG11aXRvcyBpdGVucyBwYXJhIHByb3NzZWd1aXIuClBvciBmYXZvciwgcmVvcmdhbml6ZSBzZXVzIGl0ZW5zIGUgdGVudGUgbm92YW1lbnRlLg==,,VGllbmVzIGRlbWFzaWFkb3MgYXJ0w61jdWxvcyBwYXJhIGNvbnRpbnVhci4KUG9yIGZhdm9yLCByZW9yZ2FuaXphIHR1cyBhcnTDrWN1bG9zIGUgaW50w6ludGFsbyBkZSBudWV2by4=
IofnDA,,VXNlIEVwaXNvZGUgMTYgUGFzcw==,,,,,VXNhciBQYXNzZSBkbyBFcGlzw7NkaW8gMTY=,,VXNhciBQYXNlIGRlbCBFcGlzb2RpbyAxNg==
I4fnDA,,VXNlIEVwaXNvZGUgMTcgUGFzcw==,,,,,VXNhciBQYXNzZSBkbyBFcGlzw7NkaW8gMTc=,,VXNhciBQYXNlIGRlbCBFcGlzb2RpbyAxNw==
JIfnDA,,W1NraXBreXJpZV0KLi4uU3RyYW5nZWx5LCBJIGZlZWwgbGlrZSBvdXIgZXllcyBhcmUgbWVldGluZy4uLgpIZXksIGNhbiB5b3Ugc2VlIG1lPwpJZiB5b3Ugc2F5IHlvdSBjYW4gc2VlIG1lLCBJJ2xsIGdyYW50IHlvdSBhIHdpc2gh,,,,,W1B1bGFscXXDrXJpYV0KLi4uRXN0cmFuaGFtZW50ZSwgc2ludG8gcXVlIG5vc3NvcyBvbGhvcyBlc3TDo28gc2UgZW5jb250cmFuZG8uLi4KRWksIHZvY8OqIGNvbnNlZ3VlIG1lIHZlcj8KU2UgZGlzc2VyIHF1ZSBjb25zZWd1ZSBtZSB2ZXIsIGV1IHJlYWxpem8gdW0gZGVzZWpvIHNldSE=,,W1B1bGFscXXDrXJpYV0KLi4uRXh0cmHDsWFtZW50ZSwgc2llbnRvIHF1ZSBudWVzdHJvcyBvam9zIHNlIGVzdMOhbiBlbmNvbnRyYW5kby4uLgpPeWUsIMK/cHVlZGVzIHZlcm1lPwpTaSBkaWNlcyBxdWUgcHVlZGVzIHZlcm1lLCDCoXRlIGNvbmNlZGVyw6kgdW4gZGVzZW8h
JYfnDA,,W1NraXBreXJpZV0KSSBsb3ZlIHN0b3JpZXMsIHRoYXQncyB3aHkgSSdtIGluIHRoaXMgcGxhY2UuCklmIHlvdSB3YW50LCBJIGNhbiBmaWxsIGluIHRoZSBtaXNzaW5nIHBhcnRzIG9mIHlvdXIgc3RvcnksIHRyYXZlbGVyLgpPZiBjb3Vyc2UsIGl0J3Mgbm90IGZyZWUuIEkgbmVlZCB0byBtYWtlIGEgbGl2aW5nIHRvby4=,,,,,W1B1bGFscXXDrXJpYV0KRXUgYWRvcm8gaGlzdMOzcmlhcywgcG9yIGlzc28gZXN0b3UgbmVzc2UgbHVnYXIuClNlIHF1aXNlciwgcG9zc28gcHJlZW5jaGVyIGFzIHBhcnRlcyBxdWUgZmFsdGFtIG5hIHN1YSBoaXN0w7NyaWEsIHZpYWphbnRlLgpDbGFybywgbsOjbyDDqSBkZSBncmHDp2EuIEV1IHRhbWLDqW0gcHJlY2lzbyBnYW5oYXIgYSB2aWRhLg==,,W1B1bGFscXXDrXJpYV0KQW1vIGxhcyBoaXN0b3JpYXMsIHBvciBlc28gZXN0b3kgZW4gZXN0ZSBsdWdhci4KU2kgcXVpZXJlcywgcHVlZG8gY29tcGxldGFyIGxhcyBwYXJ0ZXMgcXVlIGZhbHRhbiBlbiB0dSBoaXN0b3JpYSwgdmlhamVyby4KQ2xhcm8sIG5vIGVzIGdyYXRpcy4gVGFtYmnDqW4gbmVjZXNpdG8gZ2FuYXJtZSBsYSB2aWRhLg==
JofnDA,,XjRENERGRllvdSBjYW4gc2tpcCBFcGlzb2RlIG1pc3Npb25zLl4wMDAwMDAKSG93ZXZlciwgeW91IHdpbGwgXkZGMDAwME5PVCByZWNlaXZlIHJld2FyZHMsIEVYUCwgb3IgYWNoaWV2ZW1lbnRzXjAwMDAwMC4gWW91IHdpbGwgb25seSBoYXZlIGFuIGVwaXNvZGUgbWFya2VkIGFzIGNvbXBsZXRlZC4=,,,,,XjRENERGRlZvY8OqIHBvZGUgcHVsYXIgbWlzc8O1ZXMgZGUgRXBpc8OzZGlvcy5eMDAwMDAwCkVudHJldGFudG8sIHZvY8OqIF5GRjAwMDBOw4NPIHJlY2ViZXLDoSByZWNvbXBlbnNhcywgRVhQIG91IGNvbnF1aXN0YXNeMDAwMDAwLiBTb21lbnRlIHRlcsOhIG8gYWNlc3NvIGNvbmNsdcOtZG8gZGUgdW0gZXBpc8OzZGlvLg==,,XjRENERGRlB1ZWRlcyBzYWx0YXIgbWlzaW9uZXMgZGUgRXBpc29kaW9zLl4wMDAwMDAKU2luIGVtYmFyZ28sIF5GRjAwMDBOTyByZWNpYmlyw6FzIHJlY29tcGVuc2FzLCBFWFAgbyBsb2dyb3NeMDAwMDAwLiBTb2xvIHRlbmRyw6FzIGVsIGFjY2VzbyBjb21wbGV0YWRvIGRlIHVuIGVwaXNvZGlvLg==
J4fnDA,,XjRENERGRllvdSBjYW4gY29tcGxldGUgYWxsIG1pc3Npb25zIG9mIGEgc3BlY2lmaWMgRXBpc29kZSB0byBwcm9jZWVkIHRvIHRoZSBuZXh0IEVwaXNvZGUuXjAwMDAwMApeNEQ0REZGVW5pcXVlIG1pc3Npb25zIG9yIHRob3NlIHdpdGhvdXQgcHJlcmVxdWlzaXRlcyBhcmUgbm90IGVsaWdpYmxlLl4wMDAwMDA=,,,,,XjRENERGRlZvY8OqIHBvZGUgY29tcGxldGFyIHRvZGFzIGFzIG1pc3PDtWVzIGRlIHVtIEVwaXPDs2RpbyBlc3BlY8OtZmljbyBwYXJhIHByb3NzZWd1aXIgYW8gcHLDs3hpbW8gRXBpc8OzZGlvLl4wMDAwMDAKXjRENERGRk1pc3PDtWVzIMO6bmljYXMgb3UgcXVlIG7Do28gZXhpZ2VtIHByw6ktcmVxdWlzaXRvcyBuw6NvIHPDo28gZWxlZ8OtdmVpcy5eMDAwMDAw,,XjRENERGRlB1ZWRlcyBjb21wbGV0YXIgdG9kYXMgbGFzIG1pc2lvbmVzIGRlIHVuIEVwaXNvZGlvIGVzcGVjw61maWNvIHBhcmEgY29udGludWFyIGFsIHNpZ3VpZW50ZSBFcGlzb2Rpby5eMDAwMDAwCl40RDRERkZNaXNpb25lcyDDum5pY2FzIG8gcXVlIG5vIHJlcXVpZXJlbiBwcmVycmVxdWlzaXRvcyBubyBzb24gZWxlZ2libGVzLl4wMDAwMDA=
KIfnDA,,XjRENERGRklmIHlvdSBoYXZlIFBhc3NlcyBpbiBbRXZlbnRdIGZvcm0sIHRoZXkgd2lsbCBiZSBjb25zdW1lZCBmaXJzdC5eMDAwMDAw,,,,,XjRENERGRlNlIHZvY8OqIHRpdmVyIFBhc3NlcyBlbSBmb3JtYSBkZSBbRXZlbnRvXSwgZWxlcyBzZXLDo28gY29uc3VtaWRvcyBwcmltZWlyby5eMDAwMDAw,,XjRENERGRlNpIHRpZW5lcyBQYXNlcyBlbiBmb3JtYSBkZSBbRXZlbnRvXSwgc2UgY29uc3VtaXLDoW4gcHJpbWVyby5eMDAwMDAw
KYfnDA,,QnV5IEVwaXNvZGUgUGFzc2Vz,,,,,Q29tcHJhciBQYXNzZXMgZGUgRXBpc8OzZGlv,,Q29tcHJhciBQYXNlcyBkZSBFcGlzb2Rpbw==
KofnDA,,Q2FuY2Vs,,,,,Q2FuY2VsYXI=,,Q2FuY2VsYXI=
