oFDICg,,Y2hvb3NlIG1hbmFnZXIgbW9kZQ==,,,,,ZXNjb2xoZXIgbyBtb2RvIGdlcmVudGU=,,RWxlZ2lyIG1vZG8gYWRtaW5pc3RyYWRvci4=
oVDICg,,cmVzZXQgZGlhbG9ndWU=,,,,,cmVpbmljaWFyIG8gZGnDoWxvZ28=,,UmVzdGFibGVjZXIgZGnDoWxvZ28u
olDICg,,cmVzZXQgY29vbGRvd24=,,,,,cmVpbmljaWFyIG8gdGVtcG8gZGUgZXNwZXJh,,UmVzdGFibGVjZXIgdGllbXBvIGRlIHJlY2FyZ2Eu
o1DICg,,UmVzZXQgaXMgZG9uZQ==,,,,,QSByZWRlZmluacOnw6NvIGVzdMOhIGNvbmNsdcOtZGE=,,UmVzdGFibGVjaW1pZW50byBjb21wbGV0YWRvLg==
pFDICg,,Q2FsbSBTY2llbnRpc3Q=,,,,,Q2llbnRpc3RhIENhbG1v,,Q2llbnTDrWZpY28gdHJhbnF1aWxv
pVDICg,,Q2FsbSBTY2llbnRpc3Q6IENhbiBJIHRhbGsgdG8geW91IGZvciBhIG1pbnV0ZT8=,,,,,Q2llbnRpc3RhIGNhbG1vOiBQb3NzbyBmYWxhciBjb20gdm9jw6ogcG9yIHVtIG1pbnV0bz8=,,Q2llbnTDrWZpY28gdHJhbnF1aWxvOiDCv1B1ZWRvIGhhYmxhciBjb250aWdvIHVuIG1vbWVudG8/
plDICg,,W0NhbG0gU2NpZW50aXN0XQpIbW0uIHlvdSBzaG91bGQgZ2V0IG91dCBvZiBoZXJlLCBpdCdzIGRhbmdlcm91cy4=,,,,,W0NpZW50aXN0YSBjYWxtb10uCkhtbS4gVm9jw6ogZGV2ZXJpYSBzYWlyIGRhcXVpLCDDqSBwZXJpZ29zby4=,,W0NpZW50w61maWNvIHRyYW5xdWlsb10KTW1tLi4uIERlYmVyw61hcyBzYWxpciBkZSBhcXXDrSwgZXMgcGVsaWdyb3NvLg==
p1DICg,,T3JjJ3MgTWVtb3J5,,,,,TWVtw7NyaWEgZG8gT3JjIDFG,,TWVtb3JpYSBkZWwgb3JjbyBQIDE=
qFDICg,,W0NhbG0gU2NpZW50aXN0XQpIYXZlIHlvdSBzZWVuIGEgUGguIEQuIHdobyB3YXMgcmVzZWFyY2hpbmcgaGVyZT8=,,,,,W0NpZW50aXN0YSBjYWxtb10uClZvY8OqIHZpdSB1bSBQaC5ELiBxdWUgZXN0YXZhIHBlc3F1aXNhbmRvIGFxdWk/,,W0NpZW50w61maWNvIHRyYW5xdWlsb10Kwr9WaXN0ZSBhIGFsZ3VpZW4gY29uIHVuIGRvY3RvcmFkbyBpbnZlc3RpZ2FuZG8gYXF1w60/
qVDICg,,SG1tbT8=,,,,,SG1tbT8=,,wr9NbW1tPw==
qlDICg,,W0NhbG0gU2NpZW50aXN0XQpIZSB3YXMgbXkgYWNhZGVtaWMgYWR2aXNlcmFuZCByZXNlYXJjaGluZyBmb3IgYW5jaWVudCBlY29zeXN0ZW0gaGVyZS4=,,,,,W0NpZW50aXN0YSBjYWxtb10uCkVsZSBmb2kgbWV1IG9yaWVudGFkb3IgYWNhZMOqbWljbyBlIHBlc3F1aXNhZG9yIGRvIGVjb3NzaXN0ZW1hIGFudGlnbyBkYXF1aS4=,,W0NpZW50w61maWNvIHRyYW5xdWlsb10KRXJhIG1pIGFzZXNvciBhY2Fkw6ltaWNvLiBJbnZlc3RpZ2EgZWwgZWNvc2lzdGVtYSBhbnRpZ3VvIGRlIGFxdcOtLg==
q1DICg,,W0NhbG0gU2NpZW50aXN0XQpJIGhhdmVuJ3QgYmVlbiBhYmxlIHRvIGNvbnRhY3QgaGltLCBzbyBJIGNhbWUgaGVyZSB0byBsb29rIGZvciBoaW0uIEhlJ3MgdmFuaXNoZWQgd2l0aG91dCBhIHRyYWNlLg==,,,,,W0NpZW50aXN0YSBjYWxtb10uCk7Do28gY29uc2VndWkgZW50cmFyIGVtIGNvbnRhdG8gY29tIGVsZSwgcG9yIGlzc28gdmltIGFxdWkgcGFyYSBwcm9jdXLDoS1sby4gRWxlIGRlc2FwYXJlY2V1IHNlbSBkZWl4YXIgcmFzdHJvcy4=,,W0NpZW50w61maWNvIHRyYW5xdWlsb10KTm8gcHVkZSBjb250YWN0YXJtZSBjb24gw6lsLCBhc8OtIHF1ZSB2aW5lIGEgYnVzY2FybG8uIERlc2FwYXJlY2nDsyBzaW4gZGVqYXIgcmFzdHJvLg==
rFDICg,,V2VsbC4uLiB0aGF0J3Mgc3RyYW5nZS4=,,,,,QmVtLi4uIGlzc28gw6kgZXN0cmFuaG8u,,QWhoLi4uIGVzbyBlcyBleHRyYcOxby4=
rVDICg,,SSBoYXZlbid0IHNlZW4gYW55b25lIGxpa2UgdGhhdC4=,,,,,TsOjbyB2aSBuaW5ndcOpbSBhc3NpbS4=,,Tm8gdmkgYSBuYWRpZSBjb24gZXNhcyBjYXJhY3RlcsOtc3RpY2FzLg==
rlDICg,,W0NhbG0gU2NpZW50aXN0XQpIbW0uLi4gV2VsbC4gQW55d2F5LCB0aGUgcmVzZWFyY2ggbXVzdCBnbyBvbiwgc28gSSd2ZSBnb3QgdG8gY29udGludWUuLg==,,,,,W0NhbG0gU2NpZW50aXN0XS4KSG1tLi4uIEJlbS4gRGUgcXVhbHF1ZXIgZm9ybWEsIGEgcGVzcXVpc2EgZGV2ZSBjb250aW51YXIsIGVudMOjbyB0ZW5obyBxdWUgY29udGludWFyLi4u,,W0NpZW50w61maWNvIHRyYW5xdWlsb10KTW1tLi4uIEJ1ZW5vLiBEZSB0b2RvcyBtb2RvcywgbGEgaW52ZXN0aWdhY2nDs24gZGViZSBjb250aW51YXIsIGFzw60gcXVlIHRlbmdvIHF1ZSBzZWd1aXIuLi4=
