wB4BDA,,UmVubw==,,,,,UmVubw==,,UmVubw==
wR4BDA,,Tm90IGFibGUgdG8gY29udGludWUgYmVjYXVzZSB5b3UgYmVsb25nIHRvbyBtYW55IGl0ZW1zLg==,,,,,TsOjbyDDqSBwb3Nzw612ZWwgY29udGludWFyIHBvcnF1ZSB2b2PDqiB0ZW0gbXVpdG9zIGl0ZW5zLg==,,Tm8gc2UgcHVlZGUgY29udGludWFyIHBvcnF1ZSBwZXJ0ZW5lY2VuIGRlbWFzaWFkb3MgYXJ0w61jdWxvcy4=
wh4BDA,,W1Jlbm9dCkFuIGVycm9yIG9jY3VycmVkIGR1cmluZyB0aGUgd2FpdGluZyB0aW1lLiBTb3JyeSBmb3IgaW5jb252ZW5pZW5jZS4gVGhlIGVycm9yIGhhcyBiZWVuIGNvcnJlY3RlZC4=,,,,,W1Jlbm9dClVtIGVycm8gYWNvbnRlY2V1IGR1cmFudGUgYSBlc3BlcmEsIG1hcyBqw6EgY29ycmlnaW1vcy4gRGVzY3VscGUgcGVsbyBpbmNvbnZlbmllbnRlLg==,,W1Jlbm9dClNlIGhhIHByb2R1Y2lkbyB1biBlcnJvciBkdXJhbnRlIGVsIHRpZW1wbyBkZSBlc3BlcmEuIERpc2N1bHBlIGxhcyBtb2xlc3RpYXMuIEVsIGVycm9yIGhhIHNpZG8gY29ycmVnaWRvLg==
wx4BDA,,W1Jlbm9dCldhaXRpbmcgdGltZSBmb3IgdGhlIHJlcXVlc3Qgb2YgbG93ZXIgY29sbGVjdGlvbiBpcyB0ZXJtaW5hdGVkLiBUaGUgcmVxdWVzdCBvZiBsb3dlciBjb2xsZWN0aW9uIGlzIGFjdGl2YXRlZCBub3cu,,,,,W1Jlbm9dClZvY8OqIGrDoSBwb2RlIHJlZmF6ZXIgYSBtaXNzw6NvIGRlIE7DrXZlbCBGw6FjaWwu,,W1Jlbm9dCkVsIHRpZW1wbyBkZSBlc3BlcmEgcGFyYSBsYSBzb2xpY2l0dWQgZGUgcmVjb2dpZGEgaW5mZXJpb3IgaGEgdGVybWluYWRvLiBMYSBzb2xpY2l0dWQgZGUgcmVjb2dpZGEgaW5mZXJpb3Igc2UgYWN0aXZhIGFob3JhLg==
xB4BDA,,W1Jlbm9dCldhaXRpbmcgdGltZSBmb3IgdGhlIHJlcXVlc3Qgb2YgaW50ZXJtZWRpYXRlIGNvbGxlY3Rpb24gaXMgdGVybWluYXRlZC4gVGhlIHJlcXVlc3Qgb2YgaW50ZXJtZWRpYXRlIGNvbGxlY3Rpb24gaXMgYWN0aXZhdGVkIG5vdy4=,,,,,W1Jlbm9dClZvY8OqIGrDoSBwb2RlIHJlZmF6ZXIgYSBtaXNzw6NvIGRlIE7DrXZlbCBNw6lkaW8u,,W1Jlbm9dCkVsIHRpZW1wbyBkZSBlc3BlcmEgcGFyYSBsYSBzb2xpY2l0dWQgZGUgcmVjb2dpZGEgaW50ZXJtZWRpYSBoYSB0ZXJtaW5hZG8uIExhIHNvbGljaXR1ZCBkZSByZWNvZ2lkYSBpbnRlcm1lZGlhIHlhIGVzdMOhIGFjdGl2YWRhLg==
xR4BDA,,W1Jlbm9dCldhaXRpbmcgdGltZSBmb3IgdGhlIHJlcXVlc3Qgb2YgYWR2YW5jZWQgY29sbGVjdGlvbiBpcyB0ZXJtaW5hdGVkLiBUaGUgcmVxdWVzdCBvZiBhZHZhbmNlZCBjb2xsZWN0aW9uIGlzIGFjdGl2YXRlZCBub3cu,,,,,W1Jlbm9dClZvY8OqIGrDoSBwb2RlIHJlZmF6ZXIgYSBtaXNzw6NvIGRlIE7DrXZlbCBEaWbDrWNpbC4=,,W1Jlbm9dCkVsIHRpZW1wbyBkZSBlc3BlcmEgcGFyYSBsYSBzb2xpY2l0dWQgZGUgcmVjb2dpZGEgYXZhbnphZGEgaGEgdGVybWluYWRvLiBMYSBzb2xpY2l0dWQgZGUgcmVjb2dpZGEgYXZhbnphZGEgeWEgZXN0w6EgYWN0aXZhZGEu
xh4BDA,,W1Jlbm9dClRoZSB3YWl0aW5nIHRpbWUgZm9yIGFjY3VtdWxhdGlvbiBvZiBSb3VnaCBFbmVyZ3kgQ3J5c3RhbCBpcyB0ZXJtaW5hdGVkLiBFbmFibGUgdG8gYWNjdW11bGF0ZSBhZ2Fpbi4=,,,,,W1Jlbm9dClZvY8OqIGrDoSBwb2RlIHJlZmF6ZXIgYSBtaXNzw6NvIGRlIGFjdW11bGFyIENyaXN0YWwgQnJ1dG8gZGUgRW5lcmdpYS4=,,W1Jlbm9dCkVsIHRpZW1wbyBkZSBlc3BlcmEgcGFyYSBsYSBhY3VtdWxhY2nDs24gZGVsIENyaXN0YWwgZGUgRW5lcmfDrWEgw4FzcGVyYSBoYSB0ZXJtaW5hZG8uIEhhYmlsaXRhciBwYXJhIGFjdW11bGFyIGRlIG51ZXZvLg==
xx4BDA,,W1Jlbm9dClRoZSB3YWl0aW5nIHRpbWUgZm9yIGFjY3VtdWxhdGlvbiBvZiBQdXJpZmllZCBFbmVyZ3kgQ3J5c3RhbCBpcyB0ZXJtaW5hdGVkLiBFbmFibGUgdG8gYWNjdW11bGF0ZSBhZ2Fpbi4=,,,,,W1Jlbm9dClZvY8OqIGrDoSBwb2RlIHJlZmF6ZXIgYSBtaXNzw6NvIGRlIGFjdW11bGFyIENyaXN0YWwgQnJ1dG8gZGUgRW5lcmdpYS4=,,W1Jlbm9dCkVsIHRpZW1wbyBkZSBlc3BlcmEgcGFyYSBsYSBhY3VtdWxhY2nDs24gZGVsIENyaXN0YWwgZGUgRW5lcmfDrWEgUHVyaWZpY2FkYSBoYSB0ZXJtaW5hZG8uIEhhYmlsaXRhciBwYXJhIGFjdW11bGFyIGRlIG51ZXZvLg==
yB4BDA,,W1Jlbm9dClRoZSB3YWl0aW5nIHRpbWUgb2YgYWNjdW11bGF0aW9uIG9mIEhpZ2ggRW5lcmd5IENyeXN0YWxzIGlzIHRlcm1pbmF0ZWQuIEVuYWJsZSB0byBhY2N1bXVsYXRlIGFnYWluLg==,,,,,W1Jlbm9dClZvY8OqIGrDoSBwb2RlIHJlZmF6ZXIgYSBtaXNzw6NvIGRlIGFjdW11bGFyIENyaXN0YWwgZGUgQWx0YSBFbmVyZ2lhLg==,,W1Jlbm9dClNlIHRlcm1pbmEgZWwgdGllbXBvIGRlIGVzcGVyYSBkZSBhY3VtdWxhY2nDs24gZGUgQ3Jpc3RhbGVzIGRlIEFsdGEgRW5lcmfDrWEuIEhhYmlsaXRhciBwYXJhIGFjdW11bGFyIGRlIG51ZXZvLg==
yR4BDA,,W1Jlbm9dCkFuIGVycm9yIGhhcyBvY2N1cnJlZCB1cG9uIHRoZSByZXF1ZXN0LCBidXQgaXQgaXMgbm93IGNvcnJlY3RlZC4gU29ycnkgZm9yIGluY29udmVuaWVuY2Uu,,,,,W1Jlbm9dClVtIGVycm8gYWNvbnRlY2V1IG5hIHJlcXVpc2nDp8OjbywgbWFzIGFnb3JhIGVzdMOhIGNvcnJpZ2lkby4gRGVzY3VscGUgcGVsbyBpbmNvbnZlbmllbnRlLg==,,W1Jlbm9dClNlIGhhIHByb2R1Y2lkbyB1biBlcnJvciBlbiBsYSBzb2xpY2l0dWQsIHBlcm8geWEgZXN0w6EgY29ycmVnaWRvLiBEaXNjdWxwZSBsYXMgbW9sZXN0aWFzLg==
yh4BDA,,W1Jlbm9dClRoZSByZXF1ZXN0IG9mIGxvd2VyIGNvbGxlY3Rpb24gaXMgY29tcGxldGVkLiBHb29kIGpvYi4=,,,,,W1Jlbm9dCkEgbWlzc8OjbyBkZSBjb2xldGEgTsOtdmVsIEbDoWNpbCBmb2kgY29uY2x1w61kYS4gUGFyYWLDqW5zIQ==,,W1Jlbm9dCkxhIHNvbGljaXR1ZCBkZSByZWNvZ2lkYSBpbmZlcmlvciBzZSBoYSBjb21wbGV0YWRvLiBCdWVuIHRyYWJham8u
