YGFtAw,,QXBwcmVudGljZSBNYWdl,,,,,RXN0dWRhbnRlIGRlIE1hZ2lh,,QXByZW5kaXogZGUgTWFnbw==
YWFtAw,,V2h5IGlzbid0IHRoZXJlIGFueSBuZXdzIGZyb20gdGhhdCBFZGVuIEdyb3VwIEFkdmVudHVyZXIuLi4/,,,,,Q2Fkw6ogbyBlbnZpYWRvIGRvIEdydXBvIGRvIMOJZGVuLi4u,,wr9Qb3IgcXXDqSBubyBoYXkgbm90aWNpYXMgZGUgZXNlIHRyb3RhbXVuZG9zIGRlbCBHcnVwbyBkZWwgRWTDqW4uLi4/
YmFtAw,,W0FwcHJlbnRpY2UgTWFnZV0KT2ghIEkndmUgYmVlbiB3YWl0aW5nIGhlcmUgZm9yIGFnZXMuIEFyZSB5b3UgZnJvbSB0aGUgRWRlbiBHcm91cD8=,,,,,W0VzdHVkYW50ZSBkZSBNYWdpYV0KQWghIEVzdGF2YSB0ZSBlc3BlcmFuZG8hIFZvY8OqIMOpIGRvIEdydXBvIGRvIMOJZGVuPw==,,W0FwcmVuZGl6IGRlIE1hZ29dCsKhT2ghIExsZXZvIGHDsW9zIGVzcGVyYW5kbyBhcXXDrS4gwr9FcmVzIGRlbCBHcnVwbyBkZWwgRWTDqW4/
Y2FtAw,,W0FwcHJlbnRpY2UgTWFnZV0KQWgsIHlvdSdyZSBub3Q/IFNvcnJ5LgpJIHRob3VnaHQgeW91IHdlcmUgYW4gRWRlbiBHcm91cCBBZHZlbnR1cmVyIHdobyBhY2NlcHRlZCBteSBxdWVzdCAuLi4=,,,,,W0VzdHVkYW50ZSBkZSBNYWdpYV0KVml4ZSwgcGVyZMOjby4KUGVuc2VpIHF1ZSB2b2PDqiBmb3NzZSBkbyBHcnVwbyBkbyDDiWRlbi4uLg==,,W0FwcmVuZGl6IGRlIE1hZ29dCkFoLCDCv25vPyBMbyBzaWVudG8uClBlbnPDqSBxdWUgZXJhcyB1biB0cm90YW11bmRvcyBkZSBHcnVwbyBkZWwgRWTDqW4gcXVlIGFjZXB0w7MgbWkgbWlzacOzbi4uLg==
ZGFtAw,,W0FwcHJlbnRpY2UgTWFnZV0KVGhleSBzYWlkIHRoYXQgc29tZW9uZSB3b3VsZCBiZSBoZXJlIHNob3J0bHksIGJ1dCBJIGhhdmVuJ3QgaGVhcmQgYW55dGhpbmcgLi4u,,,,,W0VzdHVkYW50ZSBkZSBNYWdpYV0KRWxlcyBkaXNzZXJhbSBxdWUgbWFuZGFyaWFtIGFsZ3XDqW0gcHJhIG1pbS4uLg==,,W0FwcmVuZGl6IGRlIE1hZ29dCkRpamVyb24gcXVlIGFsZ3VpZW4gdmVuZHLDrWEgcHJvbnRvLCBwZXJvIG5vIGhlIHZpc3RvIGEgbmFkaWUuLi4=
ZWFtAw,,W0FwcHJlbnRpY2UgTWFnZV0KQnkgdGhlIHdheSwgd2h5IGRvbid0IHlvdSB0aGluayBhYm91dCBqb2luaW5nIHRoZSBFZGVuIEdyb3VwPw==,,,,,W0VzdHVkYW50ZSBkZSBNYWdpYV0KQWxpw6FzLCBjb21vIHF1ZSB2b2PDqiBhaW5kYSBuw6NvIHNlIHJlZ2lzdHJvdSBubyBHcnVwbyBkbyDDiWRlbj8=,,W0FwcmVuZGl6IGRlIE1hZ29dClBvciBjaWVydG8sIMK/cG9yIHF1w6kgbm8gY29uc2lkZXJhcyB1bmlydGUgYWwgR3J1cG8gZGVsIEVkw6luPw==
ZmFtAw,,W0FwcHJlbnRpY2UgTWFnZV0KSSBoZWFyZCB0aGF0IHRoZSBFZGVuIEdyb3VwIG9mZmVycyBhIGxvdCBvZiBzdXBwb3J0IGZvciBub3ZpY2UgQWR2ZW50dXJlcnMuCklmIHRoZXkgY2FuIGhlbHAgeW91IGdhaW4gZXhwZXJpZW5jZSwgbWF5YmUgaXQnZCBiZSBhIGdvb2QgaWRlYSB0byBzZWVrIHRoZW0gb3V0Lg==,,,,,W0VzdHVkYW50ZSBkZSBNYWdpYV0KT3V2aSBkaXplciBxdWUgbyBHcnVwbyBkbyDDiWRlbiBvZmVyZWNlIHN1cG9ydGUgcGFyYSBhdmVudHVyZWlyb3MgaW5jaWFudGVzLgpRdWUgdGFsIGRhciB1bWEgb2xoYWRhIGzDoT8=,,W0FwcmVuZGl6IGRlIE1hZ29dClN1cGUgcXVlIGVsIEdydXBvIGRlbCBFZMOpbiBvZnJlY2UgbXVjaG8gYXBveW8gYSBsb3MgdHJvdGFtdW5kb3MgcHJpbmNpcGlhbnRlcy4KU2kgcHVlZGVuIGF5dWRhcnRlIGEgZ2FuYXIgZXhwZXJpZW5jaWEsIHF1aXrDoSBzZWEgYnVlbmEgaWRlYSBidXNjYXJsb3Mu
Z2FtAw,,W0FwcHJlbnRpY2UgTWFnZV0KWW91IGxvb2sgcHJldHR5IGV4cGVyaWVuY2VkOyB0b28gYmFkIHlvdSdyZSBub3QgaGVyZSB0byBoZWxwIC4uLgpJZiB5b3Ugd2VyZSBmcm9tIHRoZSBFZGVuIEdyb3VwLCBJJ2QgaGF2ZSBnaXZlbiB5b3UgbXkgcXVlc3QgcmlnaHQgYXdheS4=,,,,,W0VzdHVkYW50ZSBkZSBNYWdpYV0KSW5hY3JlZGl0w6F2ZWwuLi4KVm9jw6ogZXN0w6EgbmVzc2UgbsOtdmVsIGUgc2VxdWVyIMOpIG1lbWJybyBkbyBHcnVwbyBkbyDDiWRlbi4=,,W0FwcmVuZGl6IGRlIE1hZ29dClBhcmVjZSBxdWUgdGllbmVzIGJhc3RhbnRlIGV4cGVyaWVuY2lhOyBsw6FzdGltYSBxdWUgbm8gZXN0w6lzIGFxdcOtIHBhcmEgYXl1ZGFyLi4uClNpIGZ1ZXJhcyBkZWwgR3J1cG8gZGVsIEVkw6luLCB0ZSBoYWJyw61hIGRhZG8gbWkgbWlzacOzbiBlbnNlZ3VpZGEu
aGFtAw,,W0FwcHJlbnRpY2UgTWFnZV0KVGhlcmUgYXJlIEVkZW4gR3JvdXAgbWVtYmVycyBpbiBtb3N0IGNpdGllcy4KVGhlcmUgYXJlIHNvbWUgaW4gdGhlIGxvd2VyIHBsYXphIG9mIEdlZmZlbiwgdG9vLgpXaHkgZG9uJ3QgeW91IGdvIHRha2UgYSBsb29rPw==,,,,,W0VzdHVkYW50ZSBkZSBNYWdpYV0KSMOhIHVtYSBPZmljaWFsIGRvIMOJZGVuIG5hIGNpZGFkZS4KRWxhIHRlbSBpbmRpY2HDp8OjbyBlIHR1ZG8gbWFpcy4KUG9yIHF1ZSBuw6NvIG9saGEgbMOhPw==,,W0FwcmVuZGl6IGRlIE1hZ29dCkhheSBtaWVtYnJvcyBkZWwgR3J1cG8gZGVsIEVkw6luIGVuIGxhIG1heW9yw61hIGRlIGxhcyBjaXVkYWRlcy4KVGFtYmnDqW4gaGF5IGFsZ3Vub3MgZW4gbGEgcGxhemEgYmFqYSBkZSBHZWZmZW4uCsK/UG9yIHF1w6kgbm8gdmFzIGEgZWNoYXIgdW4gdmlzdGF6bz8=
aWFtAw,,W0FwcHJlbnRpY2UgTWFnZV0KT2ghIEkndmUgYmVlbiB3YWl0aW5nIGZvciBhZ2VzLiBJJ20gYSBtYWdlIGZyb20gR2VmZmVuJ3MgTWFnZSBHdWlsZC4KU28geW91J3JlIHRoZSBBZHZlbnR1cmVyIGZyb20gdGhlIEVkZW4gR3JvdXAh,,,,,W0VzdHVkYW50ZSBkZSBNYWdpYV0KQWghIEV1IGVzdGF2YSB0ZSBlc3BlcmFuZG8uIFNvdSB1bSBtZW1icm8gZGEgR3VpbGRhIGRvcyBNYWdvcy4KVm9jw6ogw6kgZG8gw4lkZW4h,,W0FwcmVuZGl6IGRlIE1hZ29dCsKhT2ghIExsZXZvIGHDsW9zIGVzcGVyYW5kby4gU295IHVuIE1hZ28gZGVsIGdyZW1pbyBkZSBNYWdvcyBkZSBHZWZmZW4uCsKhQXPDrSBxdWUgZXJlcyB0cm90YW11bmRvcyBkZWwgR3J1cG8gZGVsIEVkw6luIQ==
