4GdqDA,,TGV0aXppYQ==,,,,,TGV0w61jaWE=,,TGV0aWNpYQ==
4WdqDA,,W0xldGl6aWFdClNvIHlvdSdyZSB0aGUgY3JlYXR1cmUgdGhhdCB3YXMgam9pbmluZyB1cyBhcyBhIG5ldyBjb21wYW5pb24u,,,,,W0xldMOtY2lhXQpFbnTDo28gZXN0YSBzZXJpYSBhIGNyaWF0dXJhIHF1ZSBzZSBqdW50YXJpYSBhIG7Ds3MgY29tbyBub3ZhIGNvbXBhbmhlaXJhLg==,,W0xldGljaWFdCkFzw60gcXVlIHTDuiBlcmVzIGxhIGNyaWF0dXJhIHF1ZSBzZSB1bmlyw6EgYSBub3NvdHJvcyBjb21vIG51ZXZhIGNvbXBhw7FlcmEu
4mdqDA,,XjAwMDBGRkxldGl6aWEgbG9va3MgeW91IHVwIGFuZCBkb3duXjAwMDAwMA==,,,,,XjAwMDBGRkxldMOtY2lhIHRlIGV4YW1pbmEgZGUgY2ltYSBhIGJhaXhvXjAwMDAwMA==,,XjAwMDBGRkxldGljaWEgdGUgbWlyYSBkZSBhcnJpYmEgYWJham9eMDAwMDAw
42dqDA,,W0xldGl6aWFdCkJ1dCB5b3UgZG9uJ3QgbG9vayBzdHJvbmcgYXQgYWxsLiBJIHdvbmRlciB3aGF0IGFib3V0IHlvdSBteSB5ZWxsb3cgY3V0aWUgbGlrZXMgc28gbXVjaC4uLg==,,,,,W0xldMOtY2lhXQpNYXMgdm9jw6ogcGFyZWNlIHRlciB1bWEgcmVzaXN0w6puY2lhIHDDqXNzaW1hLiBPIHF1ZSBow6EgZGUgYWdyYWTDoXZlbCBudW0gc2VyIHTDo28gZnJhY28gYXNzaW0/,,W0xldGljaWFdClBlcm8gdGllbmVzIHVuYSByZXNpc3RlbmNpYSBxdWUgcGFyZWNlIHDDqXNpbWEuIMK/UXXDqSB0ZSBoYSBndXN0YWRvIHRhbnRvIGRlIHVuIHNlciB0YW4gZMOpYmlsPw==
5GdqDA,,QnV0IHdobyBhcmUgeW91Pw==,,,,,TWFzIHF1ZW0gw6kgdm9jw6o/,,wr9RdWnDqW4gZXJlcz8=
5WdqDA,,W0xldGl6aWFdCk15IGFwb2xvZ2llcyBmb3IgdGhlIGxhdGUgaW50cm9kdWN0aW9uLCB3ZWFrbGluZy4gSSBhbSBMZXRpemlhLCB0aGUgcXVlZW4gb2YgcmVkIGZsYW1lIGRyYWdvbnMgYW5kIHRoZSBGbGFtZSBTaWduLg==,,,,,W0xldMOtY2lhXQpQZXJkb2UgbWluaGEgYXByZXNlbnRhw6fDo28gdGFyZGlhLCBjcmlhdHVyYSBmcmFjYS4gRXUgc291IExldMOtY2lhLCBhIEltcGVyYXRyaXogZG9zIERyYWfDtWVzIGRlIEZvZ28gZSBkYSBDb25zdGVsYcOnw6NvIGRhcyBDaGFtYXMu,,W0xldGljaWFdCk1lIGhlIHJldHJhc2FkbyBlbiBwcmVzZW50YXJtZSwgY3JpYXR1cmEgZMOpYmlsLiBTb3kgTGV0aWNpYSwgbGEgRW1wZXJhdHJpeiBkZWwgRHJhZ8OzbiBkZSBGdWVnbyB5IGxhIENvbnN0ZWxhY2nDs24gZGUgbGFzIExsYW1hcy4=
5mdqDA,,W0xldGl6aWFdCkkgZG9uJ3QgdGFsayB0byB0aGUgd2Vhay4gSWYgeW91IHdhbnQgdG8gdGFsayB0byBtZSwgcHJvdmUgeW91ciB3b3J0aGluZXNzIGZpcnN0Lg==,,,,,W0xldMOtY2lhXQpFdSBuw6NvIGNvbnZlcnNvIGNvbSBzZXJlcyBmcmFjb3MuIFBvcnRhbnRvLCBzZSBxdWlzZXIgbWUgZmF6ZXIgcGVyZ3VudGFzIGRhcXVpIGVtIGRpYW50ZSwgcHJvdmUgc2V1IHZhbG9yIHByaW1laXJvLg==,,W0xldGljaWFdCk5vIGhhYmxvIGNvbiBzZXJlcyBkw6liaWxlcy4gQXPDrSBxdWUsIHNpIGRlIGFob3JhIGVuIGFkZWxhbnRlIHF1aWVyZXMgaGFjZXJtZSBwcmVndW50YXMsIGRlbXVlc3RyYSBxdWUgdGllbmVzIGxhIHZhbMOtYSBwYXJhIGVsbG8u
52dqDA,,W0xldGl6aWFdCkZhaWx1cmUgbm8uIHswfS4gWW91J2QgYmV0dGVyIG1vdmUgbW9yZSBxdWlja2x5LiBeMDAwMEZGSSdsbCBpbnN0cnVjdCB0aGVtIHRvIGdvIGVhc2llciBvbiB5b3UgdGhhbiBiZWZvcmUuXjAwMDAwMA==,,,,,W0xldMOtY2lhXQrDiSBhIGZhbGhhIG7CuiB7MH0uIFRlbnRlIHNlIG1vdmVyIHVtIHBvdWNvIG1haXMgcsOhcGlkby4gVm91IG1hbmRhciBhdGFjYXJlbSBjb20gdW0gcG91Y28gbWVub3MgZGUgZm9yw6dhIGRvIHF1ZSBhbnRlcy5eMDAwMDAw,,W0xldGljaWFdCkVzIHR1IGZyYWNhc28gZGUgbsK6IHswfS4gSW50ZW50YSBtb3ZlcnRlIHVuIHBvY28gbcOhcyByw6FwaWRvLiBUZSBvcmRlbmFyw6kgcXVlIGF0YXF1ZXMgY29uIHVuIHBvY28gbWVub3MgZGUgZnVlcnphIHF1ZSBhbnRlcy5eMDAwMDAw
6GdqDA,,W0xldGl6aWFdClRoaXMgaXMgeW91ciBmYWlsdXJlIG5vLiB7MH0uIFlvdSdkIGJldHRlciBtb3ZlIGZhc3Rlci4gSSBjYW4ndCBsb3dlciB0aGUgZGlmZmljdWx0eSBhbnkgZnVydGhlci4=,,,,,W0xldMOtY2lhXQrDiSBhIGZhbGhhIG7CuiB7MH0uIFRlbnRlIHNlIG1vdmVyIHVtIHBvdWNvIG1haXMgcsOhcGlkby4gTsOjbyBwb3NzbyBtYWlzIGRpbWludWlyIG8gbsOtdmVsIGRlIGRpZmljdWxkYWRlLg==,,W0xldGljaWFdCkVzIHR1IGZyYWNhc28gZGUgbsK6IHswfS4gSW50ZW50YSBtb3ZlcnRlIHVuIHBvY28gbcOhcyByw6FwaWRvLiBZYSBubyBwdWVkbyBiYWphciBtw6FzIGVsIG5pdmVsIGRlIGRpZmljdWx0YWQu
6WdqDA,,W0xldGl6aWFdCldlYWsgY3JlYXR1cmUsIGFyZSB5b3UgcmVhZHkgdG8gcGFzcyBteSB0ZXN0Pw==,,,,,W0xldMOtY2lhXQpDcmlhdHVyYSBmcmFjYSwgdm9jw6ogZXN0w6EgcHJvbnRhIHBhcmEgcGFzc2FyIHBlbGEgbWluaGEgcHJvdmHDp8Ojbz8=,,W0xldGljaWFdCkNyaWF0dXJhIGTDqWJpbCwgwr9lc3TDoXMgbGlzdGEgcGFyYSBzdXBlcmFyIG1pIHBydWViYT8=
6mdqDA,,SSdtIHF1aXR0aW5n,,,,,Vm91IHBhcmFy,,TWUgcmluZG8=
