gBcVCA,,UnVieWE=,,,,,UsO6Ymlh,,Q2FiZXphIFJvamE=
gRcVCA,,PENyYWZ0IERyYWdvbiBFcXVpcG1lbnQ+,,,,,PCBFcXVpcC4gRHJhY8O0bmljbyA+,,PEZhYnJpY2FjacOzbiBkZSBlcXVpcG8gZGUgZHJhZ8Ozbj4=
ghcVCA,,SWYgeW91IGhhdmUgaXRlbXMgZnJvbSBBYnlzcyBMYWtlLCBwbGVhc2Ugc2hvdyB0aGVtIHRvIG1lLg==,,,,,Vm9jw6ogZXN0ZXZlIG5vIExhZ28gZG8gQWJpc21vPw==,,U2kgdGllbmUgb2JqZXRvcyBkZWwgTGFnbyBkZWwgQWJpc21vLCBwb3IgZmF2b3IgbXXDqXN0cmVtZWxvcy4=
gxcVCA,,WW91IGNhbm5vdCBjb250aW51ZSB0aGUgY29udmVyc2F0aW9uIGJlY2F1c2UgeW91IGFyZSBjYXJyeWluZyB0b28gbWFueSBpdGVtcy4KUGxlYXNlIG9yZ2FuaXplIHlvdXIgaXRlbXMgYW5kIHRyeSBhZ2Fpbi4=,,,,,TsOjbyBwb3NzbyBwcm9zc2VndWlyLgpQb3IgZmF2b3IsIHJlb3JnYW5pemUgc2V1IGludmVudMOhcmlvIGUgdm9sdGUgYXF1aS4=,,Tm8gc2UgcHVlZGUgY29udGludWFyIGxhIGNvbnZlcnNhY2nDs24gcG9ycXVlIGxsZXZhcyBkZW1hc2lhZG9zIG9iamV0b3MuClBvciBmYXZvciwgb3JnYW5pemEgdHVzIG9iamV0b3MgZSBpbnTDqW50YWxvIGRlIG51ZXZvLg==
hBcVCA,,W1J1YnlhXQpZb3UgY2FycnkgdGhlIGRpc3RpbmN0IHNjZW50IG9mIHRob3NlIHdobyBoYXZlIGZhY2VkIHRoZSBhYnlzcy4gU28geW91IGFyZSB0aGUgb25lIHRob3NlIGFycm9nYW50IGZvb2xzIGFsbG93ZWQgaW50byB0aGF0IHBsYWNlLg==,,,,,W1LDumJpYV0KVm9jw6ogdGVtIG8gY2hlaXJvIGRlIHF1ZW0gasOhIGVzdGV2ZSBubyBMYWdvIGRvIEFiaXNtby4gVW0gbHVnYXIgcXVlIHBvdWNvcyB2b2x0YXJhbSBjb20gdmlkYS4=,,W0NhYmV6YSBSb2phXQpEZSB1c3RlZCBlbWFuYSBlbCBvbG9yIGNhcmFjdGVyw61zdGljbyBkZSBxdWllbmVzIHNlIGhhbiBlbmZyZW50YWRvIGFsIGFiaXNtby4gQXPDrSBxdWUgdXN0ZWQgZXMgbGEgcGVyc29uYSBhIGxhIHF1ZSBlc29zIGFycm9nYW50ZXMgbGUgcGVybWl0aWVyb24gZXN0YXIgYWxsw60u
hRcVCA,,W1J1YnlhXQpZb3UgbXVzdCBoYXZlIG1hbnkgc3BvaWxzIGdhaW5lZCBmcm9tIHNsYXlpbmcgZHJhZ29ucywgeWVzPyBIb3cgYWJvdXQgdHJhZGluZyB0aGVtIHdpdGggbWU/,,,,,W1LDumJpYV0KVm9jw6ogZGV2ZSB0ZXIgY29sZXRhZG8gbXVpdG9zIHRlc291cm9zIGRlIGzDoSwgbsOjbyDDqSB2ZXJkYWRlPw==,,W0NhYmV6YSBSb2phXQpIYWJyw6Egb2J0ZW5pZG8gbXVjaG9zIHRyb2Zlb3MgYWwgZGVycm90YXIgZHJhZ29uZXMsIMK/dmVyZGFkPyDCv1F1w6kgbGUgcGFyZWNlIGNvbWVyY2lhciBjb25taWdvIGNvbiBlc28/
hhcVCA,,W1J1YnlhXQpJZiB5b3UgZ2l2ZSBtZSBpdGVtcyBmcm9tIHRoYXQgcGxhY2UsIEkgd2lsbCBjcmFmdCBhcm1vciBpbWJ1ZWQgd2l0aCB0aGUgcG93ZXJmdWwgc3RyZW5ndGggb2YgZHJhZ29ucy4=,,,,,W1LDumJpYV0KU2UgbWUgdHJvdXhlciBpdGVucyBlc3BlY8OtZmljb3MgZGFxdWVsZSBsdWdhciwgcG9zc28gY3JpYXIgZXF1aXBhbWVudG9zIGNvbSBvIHBvZGVyIGRvIGRyYWfDo28u,,W0NhYmV6YSBSb2phXQpTaSBtZSBlbnRyZWdhIGxvcyBvYmpldG9zIGRlIGVzZSBsdWdhciwgbGUgZmFicmljYXLDqSB1bmEgYXJtYWR1cmEgcXVlIGNvbnRpZW5lIGVsIHBvZGVyb3NvIHBvZGVyIGRlIGxvcyBkcmFnb25lcy4=
hxcVCA,,VmVyeSB3ZWxsIQ==,,,,,VmFtb3MgY29tZcOnYXIh,,wqFEZSBhY3VlcmRvIQ==
iBcVCA,,V2hhdCBjYW4geW91IG1ha2UgZm9yIG1lPw==,,,,,TyBxdWUgdm9jw6ogY3JpYT8=,,wr9RdcOpIHB1ZWRlIGhhY2VybWU/
iRcVCA,,V2hhdCBkbyB5b3UgbmVlZD8=,,,,,RG8gcXVlIHZvY8OqIHByZWNpc2E/,,wr9RdcOpIHNlIG5lY2VzaXRhPw==
ihcVCA,,SSdtIG5vdCBpbnRlcmVzdGVkLg==,,,,,TsOjbyB0ZW5obyBpbnRlcmVzc2Uu,,Tm8gbWUgaW50ZXJlc2Eu
ixcVCA,,W1J1YnlhXQpBIHdpc2UgY2hvaWNlLiBXaGF0IHdvdWxkIHlvdSBsaWtlIHRvIGhhdmUgbWFkZT8=,,,,,W1LDumJpYV0KTyBxdWUgdm9jw6ogZGVzZWphIGNyaWFyPw==,,W0NhYmV6YSBSb2phXQpIYSBwZW5zYWRvIGJpZW4uIMK/UXXDqSBsZSBndXN0YXLDrWEgcXVlIGxlIGhpY2llcmE/
jBcVCA,,RHJhZ29uIEFybW9y,,,,,Q290YSBEcmFjw7RuaWNh,,QXJtYWR1cmEgZGUgRHJhZ8Ozbg==
jRcVCA,,RHJhZ29uIEhvb2Q=,,,,,Q2FwYSBEcmFjw7RuaWNh,,Q2FwdWNoYSBkZSBEcmFnw7Nu
jhcVCA,,RHJhZ29uIEJvb3Rz,,,,,Qm90YSBEcmFjw7RuaWNh,,Qm90YXMgZGUgRHJhZ8Ozbg==
jxcVCA,,SSdsbCB0aGluayBhYm91dCBpdC4=,,,,,Vm91IHBlbnNhciBhIHJlc3BlaXRvLg==,,TG8gcGVuc2Fyw6kgdW4gcG9jby4=
kBcVCA,,W1J1YnlhXQpXaGF0IGEgc2hhbWUuIFdlIGhhdmUgb25seSBqdXN0IG1ldC4gQnV0IGlmIHlvdSBldmVyIG5lZWQgdG8gZ2V0IHJpZCBvZiBpdGVtcyBmcm9tIEFieXNzIExha2UsIGJlIHN1cmUgdG8gY29tZSB0byBtZS4=,,,,,W1LDumJpYV0KVHVkbyBiZW0uIFNlIHZvY8OqIGVuY29udHJhciBtYWlzIGl0ZW5zIHJlbGFjaW9uYWRvcyBhbyBMYWdvIGRvIEFiaXNtbywgdmVuaGEgZmFsYXIgY29taWdvLg==,,W0NhYmV6YSBSb2phXQpRdcOpIGzDoXN0aW1hLiBFcyBhbGd1aWVuIHF1ZSBoZSBjb25vY2lkbyBwb3IgZmluLiBQZXJvIHNpIGxsZWdhIGEgdGVuZXIgcXVlIGRlc2hhY2Vyc2UgZGUgb2JqZXRvcyBkZWwgTGFnbyBkZWwgQWJpc21vLCB2ZW5nYSBhIHZlcm1lIHNpbiBmYWx0YS4=
kRcVCA,,W1J1YnlhXQpUaGVyZSBhcmUgYSB0b3RhbCBvZiAzIHR5cGVzIG9mIGVxdWlwbWVudCB0aGF0IGNhbiBiZSBjcmFmdGVkLg==,,,,,W1LDumJpYV0KRXhpc3RlbSBhbyB0b2RvLCAzIHRpcG9zIGRlIGFybWFkdXJhIHF1ZSBwb3NzbyBjcmlhci4=,,W0NhYmV6YSBSb2phXQpIYXkgdW4gdG90YWwgZGUgMyB0aXBvcyBkZSBlcXVpcG8gcXVlIHNlIHB1ZWRlbiBmYWJyaWNhci4=
