4NY3Bw,,c3RhcnQ=,,,,,Y29tZcOnYXI=,,aW5pY2lhcg==
4dY3Bw,,dGltZXI=,,,,,Y3JvbsO0bWV0cm8=,,dGVtcG9yaXphZG9y
4tY3Bw,,SW4gMSBtaW51dGUsIEtWTSB3aWxsIHN0YXJ0Lg==,,,,,RW0gMSBtaW51dG8sIG8gS1ZNIHZhaSBjb21lw6dhci4=,,S3ZNIGluaWNpYXLDoSBlbiAxbWludXRvLg==
49Y3Bw,,VGhlIG1heGltdW0gdGltZSBmb3IgYSBLVk0gYmF0dGxlIGlzIDUgbWludXRlcy4=,,,,,TyB0ZW1wbyBtw6F4aW1vIHBhcmEgdW1hIGJhdGFsaGEgS1ZNIMOpIGRlIDUgbWludXRvcy4=,,RWwgdGllbXBvIG3DoXhpbW8gZGUgdW5hIGJhdGFsbGEgS3ZNIGVzIGRlIDVtaW51dG9zLg==
5NY3Bw,,UGxlYXNlIHByZXBhcmUgZm9yIHRoZSBLVk0gYmF0dGxlLg==,,,,,UHJlcGFyZS1zZSBwYXJhIGEgYmF0YWxoYSBLVk0u,,UHJlcMOhcmF0ZSBwYXJhIGxhIGJhdGFsbGEgS3ZNLg==
5dY3Bw,,MzAgc2Vjb25kcyByZW1haW5pbmcgdG8gc3RhcnQgS1ZNIGJhdHRsZS4=,,,,,RmFsdGFtIDMwIHNlZ3VuZG9zIHBhcmEgYSBiYXRhbGhhIEtWTSBjb21lw6dhci4=,,RmFsdGFuIDMwc2VndW5kb3MgcGFyYSBjb21lbnphciBsYSBiYXRhbGxhIEt2TS4=
5tY3Bw,,MTUgc2Vjb25kcyByZW1haW5pbmcgdG8gc3RhcnQgS1ZNIGJhdHRsZS4=,,,,,RmFsdGFtIDE1IHNlZ3VuZG9zIHBhcmEgYSBiYXRhbGhhIEtWTSBjb21lw6dhci4=,,RmFsdGFuIDE1IHNlZ3VuZG9zIHBhcmEgY29tZW56YXIgbGEgYmF0YWxsYSBLdk0u
59Y3Bw,,MTAgc2Vjb25kcyByZW1haW5pbmcgdG8gc3RhcnQgS1ZNIGJhdHRsZS4=,,,,,RmFsdGFtIDEwIHNlZ3VuZG9zIHBhcmEgYSBiYXRhbGhhIEtWTSBjb21lw6dhci4=,,RmFsdGFuIDEwIHNlZ3VuZG9zIHBhcmEgY29tZW56YXIgbGEgYmF0YWxsYSBLdk0u
6NY3Bw,,NSBzZWNvbmRzIHJlbWFpbmluZyB0byBzdGFydCBLVk0gYmF0dGxlLg==,,,,,RmFsdGFtIDUgc2VndW5kb3MgcGFyYSBhIGJhdGFsaGEgS1ZNIGNvbWXDp2FyLg==,,RmFsdGFuIDUgc2VndW5kb3MgcGFyYSBjb21lbnphciBsYSBiYXRhbGxhIEt2TS4=
6dY3Bw,,S1ZNIGlzIG5vdyBjb21tZW5jaW5nLg==,,,,,TyBLVk0gdmFpIGNvbWXDp2FyIGFnb3JhLg==,,S3ZNIHZhIGEgY29tZW56YXIgYWhvcmEu
6tY3Bw,,MSBtaW51dGUgcmVtYWluaW5nIHRvIGZpbmlzaCB0aGUgS1ZNIGJhdHRsZS4=,,,,,RmFsdGEgMSBtaW51dG8gcGFyYSBhIGJhdGFsaGEgS1ZNIHRlcm1pbmFyLg==,,RmFsdGEgMW1pbnV0byBwYXJhIHRlcm1pbmFyIGxhIGJhdGFsbGEgS3ZNLg==
69Y3Bw,,MzAgc2Vjb25kcyByZW1haW5pbmcgdG8gZmluaXNoIHRoZSBLVk0gYmF0dGxlLg==,,,,,RmFsdGFtIDMwIHNlZ3VuZG9zIHBhcmEgYSBiYXRhbGhhIEtWTSB0ZXJtaW5hci4=,,RmFsdGFuIDMwc2VndW5kb3MgcGFyYSB0ZXJtaW5hciBsYSBiYXRhbGxhIEt2TS4=
7NY3Bw,,MTUgc2Vjb25kcyByZW1haW5pbmcgdG8gZmluaXNoIHRoZSBLVk0gYmF0dGxlLg==,,,,,RmFsdGFtIDE1IHNlZ3VuZG9zIHBhcmEgYSBiYXRhbGhhIEtWTSB0ZXJtaW5hci4=,,RmFsdGFuIDE1IHNlZ3VuZG9zIHBhcmEgdGVybWluYXIgbGEgYmF0YWxsYSBLdk0u
7dY3Bw,,MTAgc2Vjb25kcyByZW1haW5pbmcgdG8gZmluaXNoIHRoZSBLVk0gYmF0dGxlLg==,,,,,RmFsdGFtIDEwIHNlZ3VuZG9zIHBhcmEgYSBiYXRhbGhhIEtWTSB0ZXJtaW5hci4=,,RmFsdGFuIDEwIHNlZ3VuZG9zIHBhcmEgdGVybWluYXIgbGEgYmF0YWxsYSBLdk0u
7tY3Bw,,NSBzZWNvbmRzIHJlbWFpbmluZyB0byBmaW5pc2ggdGhlIEtWTSBiYXR0bGUu,,,,,RmFsdGFtIDUgc2VndW5kb3MgcGFyYSBhIGJhdGFsaGEgS1ZNIHRlcm1pbmFyLg==,,RmFsdGFuIDUgc2VndW5kb3MgcGFyYSB0ZXJtaW5hciBsYSBiYXRhbGxhIEt2TS4=
79Y3Bw,,VGhlIEtWTSBiYXR0bGUgaXMgb3Zlci4=,,,,,QSBiYXRhbGhhIEtWTSBlc3TDoSBlbmNlcnJhZGEu,,TGEgYmF0YWxsYSBLdk0gdGVybWluw7Mu
8NY3Bw,,Q3JvaXggd2lucyE=,,,,,Q3JvaXggdmVuY2V1IQ==,,wqFDcm9peCBlcyBlbCBnYW5hZG9yIQ==
8dY3Bw,,Q29uZ3JhdHVsYXRpb25zIHRvIENyb2l4IG1lbWJlcnMu,,,,,UGFyYWLDqW5zIGFvcyBtZW1icm9zIGRvIGV4w6lyY2l0byBkZSBDcm9peC4=,,RmVsaWNpdGFjaW9uZXMgYSBsb3MgbWllbWJyb3MgZGUgQ3JvaXgu
8tY3Bw,,RXZlcnlvbmUgd2lsbCBiZSBtb3ZlZCB0byB0aGUgc3RhcnQgcG9pbnQu,,,,,VG9kb3Mgc2Vyw6NvIGxldmFkb3MgYW8gcG9udG8gZGUgaW7DrWNpby4=,,VG9kb3Mgc2Vyw6FuIHRyYXNsYWRhZG9zIGFsIHB1bnRvIGRlIHBhcnRpZGEu
89Y3Bw,,R3VpbGxhdW1lIHdpbnMh,,,,,R3VpbGxhdW1lIHZlbmNldSE=,,wqFHdWlsbGF1bWUgZXMgZWwgZ2FuYWRvciE=
9NY3Bw,,Q29uZ3JhdHVsYXRpb25zIHRvIEd1aWxsYXVtZSBtZW1iZXJzLg==,,,,,UGFyYWLDqW5zIGFvcyBtZW1icm9zIGRvIGV4w6lyY2l0byBkZSBHdWlsbGF1bWUu,,RmVsaWNpdGFjaW9uZXMgYSBsb3MgbWllbWJyb3MgZGUgR3VpbGxhdW1lLg==
9dY3Bw,,VGhlIG51bWJlciBvZiBHdWlsbGF1bWVzIGlzIHswfS4=,,,,,TyBuw7ptZXJvIGRlIHNvbGRhZG9zIGRlIEd1aWxsYXVtZSDDqSB7MH0u,,TGEgY2FudGlkYWQgZGUgbWllbWJyb3MgZGUgR3VpbGxhdW1lIGVzOiB7MH0u
9tY3Bw,,VGhlIG51bWJlciBvZiBDcm9peGVzIGlzIHswfS4=,,,,,TyBuw7ptZXJvIGRlIHNvbGRhZG9zIGRlIENyb2l4IMOpIHswfS4=,,TGEgY2FudGlkYWQgZGUgbWllbWJyb3MgZGUgQ3JvaXggZXM6IHswfS4=
