4HtzAw,,R3JhbmRwYQ==,,,,,QWxkZcOjbw==,,QWJ1ZWxv
4XtzAw,,T29wcywgc29ycnkgYWJvdXQgdGhhdCE=,,,,,QWgsIGRyb2dhISBFc2NvcnJlZ291IQ==,,wqFVeSEgTG8gc2llbnRvLg==
4ntzAw,,VW5hYmxlIHRvIGNvbnRpbnVlIHdpdGggcXVlc3Q6IGludmVudG9yeSBpcyBmdWxsLgpUcnkgYWdhaW4gYWZ0ZXIgcmVvcmdhbml6aW5nIHlvdXIgaXRlbXMu,,,,,Vm9jw6ogdGVtIG11aXRvcyBpdGVucyBlIG7Do28gcG9kZSBwcm9zc2VndWlyLgpFc3ZhemllIHNldSBpbnZlbnTDoXJpbyBlIHRlbnRlIG5vdmFtZW50ZS4=,,Tm8gc2UgcHVlZGUgY29udGludWFyIGNvbiBsYSBtaXNpw7NuOiBlbCBpbnZlbnRhcmlvIGVzdMOhIGxsZW5vLgpJbnTDqW50YWxvIGRlIG51ZXZvIGRlc3B1w6lzIGRlIHJlb3JnYW5pemFyIHR1cyBvYmpldG9zLg==
43tzAw,,W0dyYW5kcGFdCllvdSB3YW50IG1vcmUgYm9vemU/ClNvcnJ5LgpOb25lIG9mIHRoZSBhbGNvaG9sIGlzIHJlYWR5IHlldCwgc28geW91J2xsIGhhdmUgdG8gd2FpdC4=,,,,,W0FsZGXDo29dClZvY8OqIHF1ZXIgbWFpcyBMaWNvci4uLj8Kw4kgdW1hIHBlbmEuCk8gcmVzdG8gZG8gbGljb3IgYWluZGEgbsOjbyBlc3TDoSBmZXJtZW50YWRvLg==,,W0FidWVsb10Kwr9RdWllcmVzIG3DoXMgYWxjb2hvbD8KTG8gc2llbnRvLgpUb2RhdsOtYSBubyB0ZW5lbW9zIGJlYmlkYXMgbGlzdGFzLCBhc8OtIHF1ZSB0ZW5kcsOhcyBxdWUgZXNwZXJhci4=
5HtzAw,,W0dyYW5kcGFdClRoaXMgaXMgYWxsIEkgY2FuIGdpdmUgeW91IGZvciBub3cuCkkgY2FuJ3QgZ2l2ZSB5b3UgZHJpbmtzIHRoYXQgYXJlbid0IHJlYWR5LgpTb3JyeSBhZ2Fpbi4=,,,,,W0FsZGXDo29dCkV1IGFjaG8gcXVlIGlzc28gw6kgdHVkbyBxdWUgZXUgcG9zc28gdGUgZGFyIGFnb3JhLgpMZW1icmFuZG8gcXVlIGVzc2UgbGljb3IgbsOjbyB0ZW0gw6FsY29vbC4KRGVzY3VscGUu,,W0FidWVsb10KU29sbyBwdWVkbyBkYXJ0ZSBlc3RvIHBvciBhaG9yYS4KTm8gcHVlZG8gZGFydGUgYmViaWRhcyBxdWUgbm8gZXN0w6luIGxpc3Rhcy4KTWlzIGRpc2N1bHBhcyBudWV2YW1lbnRlLg==
5XtzAw,,W0dyYW5kcGFdCllvdSBuZWVkIGNsZWFyIGxpcXVvcj8KVG8gY2xlYW5zZSB0aGUgZ2hvc3RmaXJlIGluIHRoZSBkZXNlcnRlZCB0b3duPw==,,,,,W0FsZGXDo29dClZvY8OqIHByZWNpc2EgZGUgdW1hIGJlYmlkYS4uLj8KUGFyYSBwdXJpZmljYXIgdW0gRXNww61yaXRvIE1hbGlnbm8gbm8gdmlsYXJlam8gYWJhbmRvbmFkbz8=,,W0FidWVsb10Kwr9OZWNlc2l0YXMgbGljb3IgY2xhcm8/CsK/UGFyYSBwdXJpZmljYXIgZWwgZnVlZ28gZmFudGFzbWFsIGVuIGxhIGFsZGVhIGFiYW5kb25hZGE/
5ntzAw,,V2hhdD8gRGVzZXJ0ZWQgdG93bj8=,,,,,VmlsYXJlam8/,,wr9RdcOpPyDCv0xhIGFsZGVhIGFiYW5kb25hZGE/
53tzAw,,W0dyYW5kcGFdCk9mIGNvdXJzZSBJJ2xsIGdpdmUgeW91IHNvbWUuIFlvdSd2ZSBoZWxwZWQgdXMgc28gbXVjaC4KSXQgd291bGQgYmUgYW4gaG9ub3IgaWYgbXkgZHJpbmtzIGNhbiBwcm92ZSB1c2VmdWwu,,,,,W0FsZGXDo29dCkNsYXJvIHF1ZSBwb3NzbyB0ZSBvZmVyZWNlciwgYWZpbmFsLCB2b2PDqiB0ZW0gZmVpdG8gbXVpdGEgY29pc2EgcG9yIFBheW9uLgpTZXLDoSB1bSBwcmF6ZXIh,,W0FidWVsb10KUG9yIHN1cHVlc3RvIHF1ZSB0ZSBkYXLDqSBhbGd1bmFzIGJvdGVsbGFzLiBOb3MgYXl1ZGFzdGUgbXVjaG8uClNlcsOtYSB1biBob25vciBxdWUgbWlzIGJlYmlkYXMgcmVzdWx0ZW4gw7p0aWxlcy4=
6HtzAw,,QXJlIHlvdSBwbGFubmluZyB0byBnbyB0byB0aGUgZGVzZXJ0ZWQgdG93bj8=,,,,,Vm9jw6ogZXN0w6EgaW5kbyBwcm8gdmlsYXJlam8/,,wr9QaWVuc2FzIGlyIGEgbGEgYWxkZWEgYWJhbmRvbmFkYT8=
6XtzAw,,W0dyYW5kcGFdCkhlcmUgeW91IGdvLgpUaGlzIGlzIGEgY2xlYXIgbGlxdW9yIHRoYXQgSSd2ZSBiZWVuIGJyZXdpbmcgZnJvbSB0aGUgbW9ybmluZyBkZXcuCkp1c3QgdGVsbCBtZSBpZiB5b3Ugd2FudCBtb3JlLiBJIHdpbGwgZ2l2ZSB5b3Ugd2hhdCBJJ3ZlIGdvdC4=,,,,,W0FsZGXDo29dCkFxdWkgZXN0w6EuCkVzc2UgbGljb3IgbsOjbyB0ZW0gw6FsY29vbC4KU2UgcHJlY2lzYXIgZGUgbWFpcywgbWUgYXZpc2Uu,,W0FidWVsb10KQXF1w60gdGllbmVzLgpFc3RlIGVzIHVuIGxpY29yIGNsYXJvIHF1ZSBoZSBlc3RhZG8gcHJlcGFyYW5kbyBjb24gZWwgcm9jw61vIG1hdHV0aW5vLgpEaW1lIHNpIHF1aWVyZXMgbcOhcy4gVGUgZGFyw6kgbG8gcXVlIHRlbmdvLg==
6ntzAw,,SWYgeW91IGFyZSBmaW5pc2hlZCB0YWxraW5nIHdpdGggdGhhdCBtYW4sIHBsZWFzZSBjb21lIHNlZSBtZSE=,,,,,RWksIGZhbGUgY29taWdvIQ==,,wqFTaSB5YSB0ZXJtaW5hc3RlIGRlIGhhYmxhciBjb24gZXNlIGhvbWJyZSwgcG9yIGZhdm9yLCB2ZW4gYSB2ZXJtZSE=
