QOvSAQ,,R3Jhbm55,,,,,Vm92w7M=,,QWJ1ZWxh
QevSAQ,,LSBXYWl0IGEgbWludXRlISEgLQotIFlvdSBhcmUgY3VycmVudGx5IGNhcnJ5aW5nIC0KLSB0b28gbWFueSBpdGVtcyB3aXRoIHlvdS4gLQotIFBsZWFzZSB0cnkgYWdhaW4gLQotIGFmdGVyIHlvdSBsb3NlIHNvbWUgd2VpZ2h0LiAt,,,,,LSBFaSwgZXNwZXJlIGHDrSAhISAtCi0gVm9jw6ogbsOjbyBwb2RlIHJlY2ViZXIgbWFpcyBpdGVucyAtClBvcnF1ZSBlc3TDoSBjYXJyZWdhbmRvIG11aXRvcyBpdGVucy4gLQotIFBvciBmYXZvciwgYWxpdmllIHVtIHBvdWNvIGEgc3VhIGNhcmdhIGUgdGVudGUgZGUgbm92byAtIA==,,LSDCoVVuIG1vbWVudG8hIC0KLSBFbiBlc3RlIG1vbWVudG8gbGxldmEuLi4KLSBkZW1hc2lhZG9zIGFydMOtY3Vsb3MgY29uIHVzdGVkLiAtCi0gUG9yIGZhdm9yLCBpbnTDqW50ZWxvIGRlIG51ZXZvLi4uCi0gZGVzcHXDqXMgZGUgcGVyZGVyIGFsZ28gZGUgcGVzby4gLQ==
QuvSAQ,,W0dyYW5ueSBpbiBQYXlvbl0KSGV5Li4uYXJlIHRoZXNlIHRoZSBTa2lydHMgb2YgVmlyZ2luIHRoYXQgbXkgY2hpbGRyZW4gd2lsbCBiZSB3ZWFyaW5nIHRvIHRoZSBmZXN0aXZhbD8KRG8geW91IGhhdmUgXjMzNTVGRidTa2lydHMgb2YgVmlyZ2luJ14wMDAwMDA/IEkgbmVlZCBmb3VyLCBmb3IgbXkgY2hpbGRyZW4uIFBsZWFzZT8KSSBhbSBiZWdnaW5nIHlvdSEgUGxlYXNlPw==,,,,,W1ZvdsOzIGRlIFBheW9uXQpFaS4uLiBFc3RlIMOpIG8gaXRlbSBTYWlhIFZpcmdpbmFsIHF1ZSBtaW5oYXMgY3JpYW7Dp2FzIHbDo28gdXNhciBubyBmZXN0aXZhbD8KUG9kZXJpYSBtZSBkYXIgYWxndW1hcyBeMzM1NUZGJ1NhaWFzIFZpcmdpbmFsJ14wMDAwMDAuLi4gRXUgcHJlY2lzbyBkZSBxdWF0cm8uLi4gcG9yIGZhdm9yPwpFdSB0ZSBpbXBsb3JvLCBwb3IgZmF2b3Ih,,W0FidWVsYSBlbiBQYXlvbl0KRWguLi4gwr9zb24gw6lzdGFzIGxhcyBGYWxkYXMgZGUgbGEgVmlyZ2VuIHF1ZSBtaXMgaGlqb3MgbGxldmFyw6FuIGFsIGZlc3RpdmFsPwrCv1RpZW5lcyBeMzM1NUZGJ0ZhbGRhcyBkZSBsYSBWaXJnZW4nXjAwMDAwMD8gTmVjZXNpdG8gY3VhdHJvLCBwYXJhIG1pcyBoaWpvcy4gUG9yIGZhdm9yLi4uCsKhU2UgbG8gcnVlZ28hIMK/U2UgbG8gcnVlZ28/
Q+vSAQ,,R2l2ZSB0aGVtIHRvIGhlci4=,,,,,RMOqLWxoZS4=,,RMOhc2Vsb3Mu
ROvSAQ,,Tm8gd2F5IQ==,,,,,U2VtIGVzc2Eh,,wqFObyBwdWVkZSBzZXIh
RevSAQ,,W0dyYW5ueSBpbiBQYXlvbl0KVWgtdWguLi4gVGhhbmsgeW91IHZlcnkgbXVjaCEgTm93IEkgY2FuIG1ha2UgU2tpcnRzIG9mIFZpcmdpbiBmb3IgbXkgY2hpbGRyZW4uCkhleS4uLiBPaCEgWWVhaCEgSSB3YXMgaW4gYSBzdGFnZSBwbGF5IHdoZW4gSSB3YXMgeW91bmcuLi4KVGhpcyBpcyB0aGUgaGVhZGdlYXIgSSBrZXB0IHdoZW4gSSBsZWZ0IHRoZSB0cm91cGUgYWZ0ZXIgSSBnb3QgbWFycmllZC4uLg==,,,,,W1ZvdsOzIGRlIFBheW9uXQpBaC4uLiBNdWl0byBvYnJpZ2FkYSEgQWdvcmEgcG9zc28gZmF6ZXIgc2FpYXMgcGFyYSBtaW5oYXMgY3JpYW7Dp2FzLgpFaS4uLiBBaCEgQ2xhcm8hIFNhYmUsIGV1IGrDoSBmdWkgdW1hIGF0cml6IG11aXRvIGZhbW9zYS4uLgpObyBwYWxjbywgZXUgc2VtcHJlIGFjYWJhdmEgc2VuZG8gbW9ydGEgcG9yIGFsZ3VtIGFtYW50ZSBjaXVtZW50by4uLg==,,W0FidWVsYSBlbiBQYXlvbl0KVWgtdWguLi4gwqFNdWNoYXMgZ3JhY2lhcyEgQWhvcmEgcHVlZG8gaGFjZXIgRmFsZGFzIGRlIFZpcmdlbiBwYXJhIG1pcyBoaWpvcy4KRWguLi4gwqFPaCEgwqFTw60hIEVzdHV2ZSBlbiB1bmEgb2JyYSBkZSB0ZWF0cm8gY3VhbmRvIGVyYSBqb3Zlbi4uLgpFc3RlIGVzIGVsIHRvY2FkbyBxdWUgZ3VhcmTDqSBjdWFuZG8gZGVqw6kgbGEgY29tcGHDscOtYSBkZXNwdcOpcyBkZSBjYXNhcm1lLi4u
RuvSAQ,,W0dyYW5ueSBpbiBQYXlvbl0KVGFrZSBpdCBpZiB5b3UgbGlrZS4uLiBQbGVhc2Uh,,,,,W1ZvdsOzIGRlIFBheW9uXQpFbnTDo28gZ3VhcmRlaSBlc3NhIGNvaXNhIGFxdWkuLi4gZmlxdWUgY29tIGVsYSE=,,W0FidWVsYSBlbiBQYXlvbl0KVMOzbWFsbyBzaSBxdWllcmVzLi4uIMKhUG9yIGZhdm9yIQ==
R+vSAQ,,R29vZCBieWUhIE5pY2UgbWVldGluZyB5b3UuLi4=,,,,,QXTDqSBsb2dvISBCb20gdGUgY29uaGVjZXIuLi4=,,wqFBZGnDs3MhIEVuY2FudGFkbyBkZSBjb25vY2VydGUuLi4=
SOvSAQ,,W0dyYW5ueSBpbiBQYXlvbl0KVWgtdWguLi4gSG93IGNhbiBJIGdldCAgXjMzNTVGRidTa2lydHMgb2YgVmlyZ2luICdeMDAwMDAwIGJ5IG15c2VsZi4uLiBJIGFtIHNvIHdlYWsgYW5kIHRpcmVkLgpJdCdzIHN1Y2ggYSBjb2xkIHdvcmxkLi4u,,,,,W1ZvdsOzIGRlIFBheW9uXQpPLW93Li4uIENvbW8gY29uc2VndWlyZWkgIF4zMzU1RkYnU2FpYSBWaXJnaW5hbCAnXjAwMDAwMCBzb3ppbmhhLi4uIEVzdG91IHTDo28gZnJhY2EgZSBjYW5zYWRhLgpNYXMgcXVlIG11bmRvIGNydWVsLi4u,,W0FidWVsYSBlbiBQYXlvbl0KVWgtdWguLi4gQ8OzbW8gcHVlZG8gY29uc2VndWlyIF4zMzU1RkYnRmFsZGFzIGRlIFZpcmdlbideMDAwMDAwIHBvciBtw60gbWlzbWEuLi4gRXN0b3kgdGFuIGTDqWJpbCB5IGNhbnNhZGEuCkVzIHVuIG11bmRvIHRhbiBmcsOtby4uLg==
SevSAQ,,W0dyYW5ueSBpbiBQYXlvbl0KSSBtYWtlIGEgbGl2aW5nIGdhdGhlcmluZyBNdXNocm9vbXMgb24gdGhlIE1vdW50YWluIG9mIFBheW9uIGV2ZXJ5ZGF5LiBJIGRvbid0IGtub3cgaG93IEkgd2lsbCBzdXJ2aXZlIHRoaXMgbW9udGguCkJ1dCB0aGUgZmVzdGl2YWwgaXMgY29taW5nIG5leHQgbW9udGghCk15IGNoaWxkcmVuIHJlcXVlc3RlZCBJIG1ha2UgU2tpcnRzIG9mIFZpcmdpbiBmb3IgdGhpcyBmZXN0aXZhbC4KSSBuZWVkIF4zMzU1RkYnU2tpcnRzIG9mIFZpcmdpbideMDAwMDAwIC4uLg==,,,,,W1ZvdsOzIGRlIFBheW9uXQpFdSBjb2xobyBDb2d1bWVsb3MgbmFzIE1vbnRhbmhhcyBkZSBQYXlvbiB0b2RvcyBvcyBkaWFzIHBhcmEgc29icmV2aXZlci4gTsOjbyBzZWkgY29tbyBzb2JyZXZpdmVyZWkgZXN0ZSBtw6pzLgouLi4gTWFzIG8gZmVzdGl2YWwgw6kgbcOqcyBxdWUgdsOqbSEKTWluaGFzIGNyaWFuw6dhcyBwZWRpcmFtIHNhaWFzIHBhcmEgdXNhciBubyBmZXN0aXZhbC4KUGFyYSBpc3NvLCBwcmVjaXNvIGRlIDQgXjMzNTVGRidTYWlhcyBWaXJnaW5hbCdeMDAwMDAwIC4uLg==,,W0FidWVsYSBlbiBQYXlvbl0KTWUgZ2FubyBsYSB2aWRhIHJlY29naWVuZG8gc2V0YXMgZW4gbGEgbW9udGHDsWEgZGUgUGF5b24gdG9kb3MgbG9zIGTDrWFzLiBObyBzw6kgY8OzbW8gc29icmV2aXZpcsOpIGVzdGUgbWVzLgpQZXJvIGVsIG1lcyBxdWUgdmllbmUgbGxlZ2EgbGEgZmllc3RhLgpNaXMgaGlqb3MgbWUgaGFuIHBlZGlkbyBxdWUgaGFnYSBmYWxkYXMgZGUgVmlyZ2VuIHBhcmEgZXN0YSBmaWVzdGEuCk5lY2VzaXRvIF4zMzU1RkYnRmFsZGFzIGRlIFZpcmdlbideMDAwMDAwIC4uLg==
SuvSAQ,,W0dyYW5ueSBpbiBQYXlvbl0KWW91bmcgbWFuLCBJIGhhdmUgYSBmYXZvciB0byBhc2suLi4gSWYgeW91IGV2ZXIgZmluZCBeMzM1NUZGJ1NraXJ0cyBvZiBWaXJnaW4nXjAwMDAwMC4uLiAKUGxlYXNlIGdpdmUgdGhlbSB0byBtZS4gSSB3aWxsIG5ldmVyIGZvcmdldCB5b3VyIGtpbmRuZXNzLi4u,,,,,W1ZvdsOzIGRlIFBheW9uXQpNZXUgam92ZW0sIHRlbmhvIHVtIGZhdm9yIGEgbGhlIHBlZGlyLi4uIENhc28gZW5jb250cmUgYWxndW1hXjMzNTVGRidTYWlhIFZpcmdpbmFsJ14wMDAwMDAuLi4KVHJhZ2EtYSBwYXJhIG1pbSwgamFtYWlzIGVzcXVlY2VyZWkgc3VhIGJvbmRhZGUuLi4=,,W0FidWVsYSBlbiBQYXlvbl0KSm92ZW4sIHRlbmdvIHF1ZSBwZWRpcmxlIHVuIGZhdm9yLi4uIFNpIGFsZ3VuYSB2ZXogZW5jdWVudHJhcyBeMzM1NUZGJ0ZhbGRhcyBkZSBWaXJnZW4nXjAwMDAwMC4uLiAKUG9yIGZhdm9yLCBkw6FtZWxhcy4gTnVuY2Egb2x2aWRhcsOpIHR1IGFtYWJpbGlkYWQuLi4=
