YMuFAw,,TGFydGFs,,,,,TGFydGFs,,TGFydGFs
YcuFAw,,W0xhcnRhbF0KWW91IGFyZSBjYXJyeWluZyB0b28gbXVjaCB3ZWlnaHQgLi4uCkNvbWUgYmFjayB3aGVuIHlvdSBoYXZlIHNvbWUgc3BhY2UgaW4geW91ciBiYWcu,,,,,W0xhcnRhbF0KVm9jw6ogZXN0w6EgY2FycmVnYW5kbyBtdWl0b3MgaXRlbnMuLi4KRXN2YXppZSBzZXUgaW52ZW50w6FyaW8gZSB2b2x0ZSBub3ZhbWVudGUu,,W0xhcnRhbF0KTGxldmFzIGRlbWFzaWFkbyBwZXNvLi4uClZ1ZWx2ZSBjdWFuZG8gdGVuZ2FzIGFsZ28gZGUgZXNwYWNpbyBlbiB0dSBib2xzby4=
YsuFAw,,W0xhcnRhbF0KSGVoIC4uLiBNeSBjb250cmFjdHMgYXJlIG9ubHkgYXZhaWxhYmxlIHRvIHRob3NlIHdobyBzZWVrIEVkZW4uCkJyaW5nIG1lIHRoZWlyIHNpZ24gb2YgcHJvbWlzZSAuLi4=,,,,,W0xhcnRhbF0KTWV1IGRlc2Vqby4uLiDDqSBwb3IgcGVzc29hcyBxdWUgYWxtZWphbSBvIMOJZGVuLgpRdWVybyB2ZXIgbyBlbWJsZW1hIGRlbGFzLi4u,,W0xhcnRhbF0KSmUuLi4gTWlzIGNvbnRyYXRvcyBzb2xvIGVzdMOhbiBkaXNwb25pYmxlcyBwYXJhIHF1aWVuZXMgYnVzY2FuIGVsIEVkw6luLgpUcsOhZW1lIHN1IHNlw7FhbCBkZSBwcm9tZXNhLi4u
Y8uFAw,,W3swfV0KKC4uLiBNdXN0IGJlIHRhbGtpbmcgYWJvdXQgdGhlIEVkZW4gR3JvdXAgTWFyayk=,,,,,W3swfV0KKC4uLmFjaG8gcXVlIGV1IGRldmVyaWEgdGVyIHVtIEVtYmxlbWEgZG8gw4lkZW4uKQ==,,W3swfV0KKC4uLiBEZWJlIGVzdGFyIGhhYmxhbmRvIGRlIGxhIE1hcmNhIGRlIEdydXBvIGRlbCBFZMOpbiku
ZMuFAw,,W0xhcnRhbF0KLi4u,,,,,W0xhcnRhbF0KLi4uLi4u,,W0xhcnRhbF0KLi4u
ZcuFAw,,W0xhcnRhbF0KSSBoYXZlIG5vIGJ1c2luZXNzIHdpdGggd2Vha2xpbmdzLg==,,,,,W0xhcnRhbF0KTsOjbyBmYWxvIGNvbSBmcmFjb3Rlcy4=,,W0xhcnRhbF0KTm8gdGVuZ28gbmFkYSBxdWUgaGFibGFyIGNvbiBkZWJpbHVjaG9zLg==
ZsuFAw,,IC0gVGhpcyBxdWVzdCBpcyBmb3IgTGV2ZWwgMTMwIGFuZCB1cC4gLSA=,,,,,LSBWb2PDqiBwcmVjaXNhIHRlciBuw612ZWwgZGUgYmFzZSAxMzAgb3Ugc3VwZXJpb3IgLQ==,,KEVzdGEgbWlzacOzbiByZXF1aWVyZSBhbCBtZW5vcyBuaXZlbCAxMzApLg==
Z8uFAw,,W0xhcnRhbF0KTG9va3MgbGlrZSB5b3UgYWxyZWFkeSBoYXZlIGEgYm9uZCB3aXRoIG15IG1lZGlhdG9ycy4KWW91LCBjb250cmFjdG9yLiBDb250cmFjdHMgc2hvdWxkIGJlIGNvbXBsZXRlZCBhdCBFZGVuLg==,,,,,W0xhcnRhbF0KVm9jw6ogasOhIGFzc2lub3UgbyBjb250cmF0by4KVGVybWluZSBhIHNvbGljaXRhw6fDo28gZG8gR3J1cG8gZG8gw4lkZW4gcHJpbWVpcm8u,,W0xhcnRhbF0KQWwgcGFyZWNlciB5YSB0aWVuZXMgdW4gdsOtbmN1bG8gY29uIG1pcyBtZWRpYWRvcmVzLgpUw7osIGNvbnRyYXRpc3RhLiBMb3MgY29udHJhdG9zIGRlYmVuIGNvbXBsZXRhcnNlIGVuIEVkw6luLg==
aMuFAw,,W3swfV0KKERvZXMgdGhhdCBtZWFuIHRoYXQgSSBuZWVkIHRvIHJldHVybiBteSBxdWVzdCB0byB0aGUgRWRlbiBHcm91cD8p,,,,,W3swfV0KKEV1IGRldm8gcmVwb3J0YXIgcGFyYSBvIEdydXBvIGRvIMOJZGVuKQ==,,W3swfV0KKMK/RXNvIHNpZ25pZmljYSBxdWUgdGVuZ28gcXVlIGNvbXBsZXRhciBtaSBtaXNpw7NuIHBhcmEgZWwgR3J1cG8gZGVsIEVkw6luPyk=
acuFAw,,W0xhcnRhbF0KSSBjYW4gc2VlIGZvciBteXNlbGYuIFlvdXIgYm9keSBpcyB5ZWFybmluZyBmb3IgcmVjb3ZlcnkuClJlc3QgeW91ciBzb3VsIGluIGEgaG90IGJhdGggd2l0aCBmbG9hdGluZyByZWQgcGV0YWxzIC4uLiB3aXRoIGEgXkZGMDAwMGNyaW1zb24gbW9vbl4wMDAwMDAgc2hpbmluZyB0aHJvdWdoIHRoZSBkYXJrLCBhbmQgdGhlbiByZXR1cm4gdG8gbWUu,,,,,W0xhcnRhbF0KRXUgY29uc2lnbyB2ZXIgcXVlIHNldSBjb3JwbyBlc3TDoSBwZWRpbmRvIHBvciBkZXNjYW5zby4KQXNzaW0gcXVlIGFsaXZpYXIgYSBmYXRpZ2EgZSBeRkYwMDAwYSBtYWlvciBlc3RyZWxhIGFwYXJlY2VyXjAwMDAwMCwgcmV0b3JuZS4=,,W0xhcnRhbF0KUHVlZG8gdmVybG8gcG9yIG3DrSBtaXNtYS4gVHUgY3VlcnBvIGFuaGVsYSByZWN1cGVyYXJzZS4KRGVzY2Fuc2EgdHUgYWxtYSBlbiB1biBiYcOxbyBjYWxpZW50ZSBjb24gcMOpdGFsb3Mgcm9qb3MgZmxvdGFudGVzLi4uIGNvbiB1bmEgXkZGMDAwMGx1bmEgY2FybWVzw61eMDAwMDAwIHF1ZSBhdHJhdmllc2EgbGEgb3NjdXJpZGFkIHksIGRlc3B1w6lzLCB2dWVsdmUgYSBtw60u
asuFAw,,W0xhcnRhbF0KWW91LCBoZWggLi4uIEkgc2VlLgpeRkYwMDAwSXQncyBiZWVuIGEgd2hpbGUgc2luY2Ugc29tZW9uZSByZWNvZ25pemVkIG15IGV4aXN0ZW5jZS5eMDAwMDAw,,,,,W0xhcnRhbF0KVm9jw6ouLi4gc2VydmVudGUuCl5GRjAwMDBGYXogbXVpdG8gdGVtcG8gcXVlIHZvY8OqIHBlcmNlYmUgYSBtaW5oYSBleGlzdMOqbmNpYS5eMDAwMDAw,,W0xhcnRhbF0KVMO6LCBqZS4uLiBZYSB2ZW8uCl5GRjAwMDBQYXPDsyBtdWNobyB0aWVtcG8gZGVzZGUgbGEgw7psdGltYSB2ZXogcXVlIGFsZ3VpZW4gcmVjb25vY2nDsyBtaSBleGlzdGVuY2lhLl4wMDAwMDA=
a8uFAw,,W0xhcnRhbF0KQWhoLCBpdCdzIGJlZW4gdG9vIGxvbmcgc2luY2UgSSBzcG9rZSB0byBhIG5vcm1hbCBwZXJzb24uIEkgYWxtb3N0IGZvcmdvdCB0byBmb2xsb3cgdGhlIG1hbm5lcnMgb2YgdGhpcyB3b3JsZC4=,,,,,W0xhcnRhbF0KVWYsIGVzdG91IHTDo28gc8OzIGjDoSB0YW50byB0ZW1wbywgZXNxdWVjaSBhcyBib2FzIG1hbmVpcmFzIGRvIG11bmRvIGNvbXVtLg==,,W0xhcnRhbF0KwqFBaGghIEhhY2UgZGVtYXNpYWRvIHRpZW1wbyBxdWUgbm8gaGFibG8gY29uIHVuYSBwZXJzb25hIG5vcm1hbC4gQ2FzaSBtZSBvbHZpZG8gZGUgc2VndWlyIGxvcyBtb2RhbGVzIGRlIGVzdGUgbXVuZG8u
bMuFAw,,W0xhcnRhbF0KRXhjdXNlIG15IGRpc2NvdXJ0ZXN5LiBMYXJ0YWwgU2Fzc2tpYSBBc2h0b24uIFRoZSBvbmx5IHNlcnZhbnQgb2YgdGhlIERldmlsIGxlZnQgb24gRWFydGgu,,,,,W0xhcnRhbF0KUGVyZMOjby4gTGFydGFsIFNhc2tpYSBBc2h0b24sIHNlcnZhIGRvIFJlaSBEZW3DtG5pby4=,,W0xhcnRhbF0KVGUgcGlkbyBwZXJkw7NuIHBvciBtaSBmYWx0YSBkZSBjb3J0ZXPDrWEuIExhcnRhbCBTYXNza2lhIEFzaHRvbi4gTGEgw7puaWNhIHNpZXJ2YSBkZWwgRGlhYmxvIHF1ZSBxdWVkYSBlbiBsYSBUaWVycmEu
bcuFAw,,WW91J3JlIHVuZGVyIHRoZSBEZXZpbCdzIGNvbW1hbmQ/,,,,,U2VydmEgZG8gRGVtw7RuaW8/,,wr9Fc3TDoXMgYmFqbyBsYXMgw7NyZGVuZXMgZGVsIERpYWJsbz8=
bsuFAw,,Li4uVGhhdCdzIGluc2FuaXR5Lg==,,,,,Li4uVm9jw6ogZXN0w6EgbG91Y2EsIHF1ZXJpZGEu,,Li4uIEVzIHVuYSBsb2N1cmEu
b8uFAw,,W0xhcnRhbF0KVGhhdCBsb29rIG9uIHlvdXIgZmFjZSAuLi4gaG93IHJ1ZGUuClVnaCAuLi4gVGhlIGJsYWNrIGRyYWdvbiBvbiBteSByaWdodCBoYW5kIC4uLiB3aGlzcGVycyB0byBtZSB0byBeRkYwMDAway5pLmwubC5eMDAwMDAwIHlvdS0=,,,,,W0xhcnRhbF0KRXNzZSBvbGhhciBpbmNyw6lkdWxvLi4uIFZvY8OqIMOpIHTDo28gcnVkZS4KSGVoLi4uIG8gRHJhZ8OjbyBOZWdybyB0YXR1YWRvIG5vIG1ldSBicmHDp28gZGlyZWl0byBwb2RlcsOhIF5GRjAwMDBtYXRhcl4wMDAwMDAgdm9jw6ou,,W0xhcnRhbF0KRXNhIG1pcmFkYSBlbiB0dSByb3N0cm8uLi4gcXXDqSBkZXNjb3J0w6lzLgpVZi4uLiBFbCBkcmFnw7NuIG5lZ3JvIGVuIG1pIG1hbm8gZGVyZWNoYS4uLiBtZSBzdXN1cnJhIHF1ZSB0ZSBeRkYwMDAwbS5hLnQuZS5eMDAwMDAw
cMuFAw,,W0xhcnRhbF0KQnV0IEkgdW5kZXJzdGFuZC4gWW91IGxvd2x5IGh1bWFucyBjYW4ndCBwb3NzaWJseSBncmFzcCB0aGUgb3JkZXIgb2YgdGhpcyB3b3JsZC4KSSdsbCBtYWtlIGl0IHNpbXBsZSBmb3IgeW91Lg==,,,,,W0xhcnRhbF0KU2VpIGRlIHVtYSBjb2lzYS4gVW0gc2VyIGxpbWl0YWRvIG7Do28gcG9kZSBlbnRlbmRlciBhIG9yZGVtIGRvIG11bmRvLgpEZWl4ZS1tZSBleHBsaWNhciBkZSB1bWEgbWFuZWlyYSBmw6FjaWwu,,W0xhcnRhbF0KUGVybyBsbyBlbnRpZW5kby4gVXN0ZWRlcywgc2ltcGxlcyBodW1hbm9zLCBubyBwb2Ryw6FuIGNvbXByZW5kZXIgZWwgb3JkZW4gZGUgZXN0ZSBtdW5kby4KVGUgbG8gcG9uZHLDqSBmw6FjaWwu
