gPdz,,TWVyZ2ljaWFu,,,,,QWJyYQ==,,TWVyZ2ljaWFu
gfdz,,W01lcmdpY2lhbl0KQ2Fubm90IHByb2NlZWQgYmVjYXVzZSB5b3UgaGF2ZQp0b28gbWFueSBpdGVtcyBpbiB5b3VyIHBvc3Nlc3Npb24u,,,,,W0FicmFdClZvY8OqIHBvc3N1aSBtdWl0b3MgaXRlbnMhClJlb3JnYW5pemUgbyBpbnZlbnTDoXJpbyBlIHRlbnRlIG5vdmFtZW50ZS4=,,W01lcmdpY2lhbl0KTm8gcHVlZGUgcHJvY2VkZXIgcG9ycXVlIHRpZW5lCmRlbWFzaWFkb3Mgb2JqZXRvcyBlbiB0dSBwb2Rlci4=
gvdz,,W01lcmdpY2lhbl0KRG8geW91IGJlbGlldmUgaW4gdGhlIG1pcmFjbGUgb2YgTWVyZ2UgR29kPz8gSWYgc28sIHNwZWFrIG15IHdvcmRzIGxvdWRseSBhcyBJIGNoYW50IGl0ISEhCk1lcmcuLk1lcmcsIE1lcnJycmdlZSEhIQ==,,,,,W0FicmFdClNlIHZvY8OqIHRpdmVyIG11aXRvcyBpdGVucyBpZ3VhaXMgbm8gaW52ZW50w6FyaW8sIHBvZGUgZmFsYXIgY29taWdvLgpFdSBhanVkbyBhIGNvbG9jw6EtbG9zIGVtIHVtIGVzcGHDp28gc8OzIQ==,,W01lcmdpY2lhbl0Kwr9DcmVlcyBlbiBlbCBtaWxhZ3JvIGRlbCBEaW9zIGRlIGxhIEZ1c2nDs24/IMKhwqHCoVNpIGVzIGFzw60sIHByb251bmNpYSBtaXMgcGFsYWJyYXMgZW4gdm96IGFsdGEgbWllbnRyYXMgbG8gY2FudG8hISEKwqHCocKhTWVyZy4uTWVyZywgTWVycnJyZ2VlISEh
g/dz,,TWVyLi5NZXJnLCBNZXJycnJnZWUhISE=,,,,,VW5pZmljYXIgaXRlbnMu,,wqHCocKhTWVyLi5NZXJnLCBNZXJycnJnZWUhISE=
hPdz,,V2hhdCdzIHRoZSBtaXJhY2xlIG9mIE1lcmdlPw==,,,,,RXhwbGlxdWUgbWVsaG9yLg==,,wr9DdcOhbCBlcyBlbCBtaWxhZ3JvIGRlIE1lcmdlPw==
hfdz,,SWdub3JlLg==,,,,,SWdub3Jhci4=,,SWduw7NyYWxvLg==
hvdz,,W01lcmdpY2lhbl0KVGhpcyBpcyBhIHNhY3JlZCByaXR1YWwgdG8gcHJheSB0byB0aGUgZ3JlYXQgZ29kLCBNZXJnZSEgQW5kIEkgd2lsbCBiZSBib3Jyb3dpbmcgaGlzIHBvd2VyIGZvciBhIHdoaWxlISE=,,,,,W0FicmFdClZvdSBhYnJpciB1bWEgamFuZWxhIHBhcmEgdm9jw6ogc2VsZWNpb25hciBzZXVzIGl0ZW5zIHNlbWVsaGFudGVzLg==,,W01lcmdpY2lhbl0KwqFFc3RlIGVzIHVuIHJpdHVhbCBzYWdyYWRvIHBhcmEgcmV6YXIgYWwgZ3JhbiBkaW9zLCBNZXJnZSEgwqHCoVkgdG9tYXLDqSBwcmVzdGFkbyBzdSBwb2RlciBwb3IgdW4gdGllbXBvISE=
h/dz,,W01lcmdpY2lhbl0KSWYgeW91IGVhZ2VybHkgd2FudCB0byBiZSBibGVzc2VkIGJ5IE1lcmdlLCBiZSBodW1ibGUgYW5kIHNob3V0IG91dCBsb3VkISBNZXJnZS4uLiBNZXJnZS4uLiBNZXJycnJnZSEhIQ==,,,,,W0FicmFdClNlIHZvY8OqIHBvc3N1aXIgbXVpdG9zIGl0ZW5zIGlndWFpcywgc3VnaXJvIGFwZXJ0YXIgZSBzZWd1cmFyIF4zMTMxRkY8Q3RybD5eMDAwMDAwIHBhcmEgc2VsZWNpb25hciB0dWRvIGRlIHVtYSB2ZXoh,,W01lcmdpY2lhbl0KU2kgYW5zw61hcyBzZXIgYmVuZGVjaWRvIHBvciBNZXJnZSwgwqFzw6kgaHVtaWxkZSB5IGdyaXRhIGZ1ZXJ0ZSEgRnVzacOzbi4uLiBNZXJnZS4uLiDCocKhwqFNZXJycnJnZSEhIQ==
iPdz,,TWVyZy4uTWVyZywgTWVycnJyZ2VlISEh,,,,,VmFtb3MgbMOhIQ==,,wqHCocKhTWVyZy4uTWVyZywgTWVycnJyZ2VlISEh
ifdz,,QXJlIHlvdSBmb3IgcmVhbD8=,,,,,Vm9jw6ogZXN0w6EgZmFsYW5kbyBzw6lyaW8/,,wr9MbyBkaWNlcyBlbiBzZXJpbz8=
ivdz,,W01lcmdpY2lhbl0KTWVyZ2UgaGVhcmQgeW91ciB3aXNoIGFuZCBoYXMgZ3JhbnRlZCBpdCEKT3BlbiB5b3VyIGludmVudG9yeSBhbmQgYmVob2xkIGhpcyBtaXJhY2xlIQ==,,,,,W0FicmFdCkxlbWJyZS1zZSEKU2VndXJlIDxDdHJsPiBwYXJhIHNlbGVjaW9uYXIgdHVkbyBkZSB1bWEgdmV6IQ==,,W01lcmdpY2lhbl0KwqFNZXJnZSBoYSBvw61kbyB0dSBkZXNlbyB5IHRlIGxvIGhhIGNvbmNlZGlkbyEKwqFBYnJlIHR1IGludmVudGFyaW8geSBjb250ZW1wbGEgc3UgbWlsYWdybyE=
