wHguAg,,Tm95ZWU=,,,,,Tm95ZWU=,,Tm95ZWU=
wXguAg,,W05veWVlXQpEaWQgeW91IGtub3cgdGhhdCB0aGVyZSdzIGEgZGlmZmVyZW5jZSBiZXR3ZWVuIHRoZSBhcm1vciB5b3UgY2FuIGJ1eSBmcm9tIE5QQyBzaG9wcyBhbmQgdGhlIGtpbmRzIHlvdSBvYnRhaW4gZnJvbSBodW50aW5nIG1vbnN0ZXJzPw==,,,,,W05veWVlXQpWb2PDqiBzYWJlIHF1ZSBleGlzdGVtIGRvaXMgdGlwb3MgZGUgYXJtYWR1cmE/CkV4aXN0ZW0gYXMgYXJtYWR1cmFzIGNvbXVucywgcXVlIHZvY8OqIGNvbXByYSBkYXMgbG9qYXMgTlBDcyw=,,W05veWVlXQrCv1NhYsOtYXMgcXVlIGhheSB1bmEgZGlmZXJlbmNpYSBlbnRyZSBsYXMgYXJtYWR1cmFzIHF1ZSBwdWVkZXMgY29tcHJhciBlbiBsYXMgdGllbmRhcyBkZSBsb3MgTlBDIHkgbGFzIHF1ZSBvYnRpZW5lcyBhbCBjYXphciBtb25zdHJ1b3M/
wnguAg,,W05veWVlXQpUaGUgZGlmZmVyZW5jZSwgbXkgZnJpZW5kLCBpcyBpbiB0aGUgbnVtYmVyIG9mIF4zMzU1RkZzbG90c14wMDAwMDAgaW4geW91ciBhcm1vci4=,,,,,W05veWVlXQplIGFzIHF1ZSB2b2PDqiBjb25zZWd1ZSBhdHJhdsOpcyBkb3MgbW9uc3Ryb3MgZGVycm90YWRvcy4KQSBkaWZlcmVuw6dhIGVudHJlIGFzIGR1YXMgw6kgYSBleGlzdMOqbmNpYSBkZSBzbG90cyBvdSBuw6NvLg==,,W05veWVlXQpMYSBkaWZlcmVuY2lhLCBjb2xlZ2EsIGVzdMOhIGVuIGxhIGNhbnRpZGFkIGRlIF4zMzU1RkZyYW51cmFzXjAwMDAwMCBxdWUgdGllbmUgdHUgYXJtYWR1cmEu
w3guAg,,W05veWVlXQpUaGUgc2FtZSBraW5kIG9mIEFybW9yIHdpbGwgaGF2ZSB0aGUgc2FtZSBEZWZlbnNlLiBIb3dldmVyLCBpZiBhbiBBcm1vciBoYXMgYSBzbG90LCB5b3UgY2FuIGluc2VydCBhIE1vbnN0ZXIgQ2FyZCB3aGljaCB3aWxsIGFkZCBhbiBlbmhhbmNlbWVudCB0byB0aGF0IGFybW9yLg==,,,,,W05veWVlXQpBbWJhcyBwb3NzdWVtIGEgbWVzbWEgdGF4YSBkZSBkZWZlc2EuClBvcsOpbSwgasOhIHF1ZSB1bWEgYXJtYWR1cmEgY29tIHNsb3QgbGhlIHBlcm1pdGUgY29sb2NhciB1bWEgJ2NhcnRhIGRlIG1vbnN0cm8nIG5vIHNsb3QsCmVzc2EgY2FydGEgdmFpIGFwcmltb3JhciBhIGFybWFkdXJhIGNvbSB1bWEgaGFiaWxpZGFkZSBkaWZlcmVudGUu,,W05veWVlXQpFbCBtaXNtbyB0aXBvIGRlIGFybWFkdXJhIHRlbmRyw6EgbGEgbWlzbWEgRGVmZW5zYS4gU2luIGVtYmFyZ28sIHNpIHVuYSBhcm1hZHVyYSB0aWVuZSB1bmEgcmFudXJhLCBwdWVkZXMgaW5zZXJ0YXIgdW5hIGNhcnRhIGRlIG1vbnN0cnVvIHBhcmEgbWVqb3JhcmxhLg==
xHguAg,,W05veWVlXQpCb3RoIE1vbnN0ZXIgQ2FyZHMgYW5kIFNsb3R0ZWQgQXJtb3JzIGFyZSByYXJlbHkgZHJvcHBlZCBieSBtb25zdGVycywgYW5kIGFyZSB0aHVzIHZhbHVhYmxlIGNvbW1vZGllcy4=,,,,,W05veWVlXQpQb3LDqW0sIHRhbnRvIGFzIGFybWFkdXJhcyBjb20gc2xvdCBxdWFudG8gYXMgY2FydGFzIGRlIG1vbnN0cm8Kc8OjbyBtdWl0byBkaWbDrWNlaXMgZGUgb2J0ZXIuIEVudMOjbywgdm9jw6ogcmFyYW1lbnRlIHZlcsOhIAplc3NlcyB0aXBvcyBubyBtZXJjYWRvLg==,,W05veWVlXQpMYXMgY2FydGFzIGRlIG1vbnN0cnVvIG8gYXJtYWR1cmFzIHJhbnVyYWRhcyBzb24gbWVyY2FuY8OtYXMgdmFsaW9zYXMgcG9ycXVlIGxvcyBtb25zdHJ1b3MgcmFyYSB2ZXogbGFzIHN1ZWx0YW4u
xXguAg,,W05veWVlXQpZb3Uga25vdywgdGhlcmUncyBhIHZlcnkgaW50ZXJlc3RpbmcgcGxhY2UgdGhhdCBsb29rcwpzb3J0IG9mIGxpa2UgYSBsYWJvcmF0b3J5IGluIEp1bm8u,,,,,W05veWVlXQpBaCwgbGVtYnJlaS1tZSBkZSB1bWEgY29pc2EuCkjDoSB1bSBsdWdhciBtdWl0byBpbnRlcmVzc2FudGUgZW0gLi4uClBhcmVjZSBjb20gdW0gbGFib3JhdMOzcmlvLCBtYXMgbmluZ3XDqW0gc2FiZQpvIHF1ZSDDqS4uLi4=,,W05veWVlXQrCv1NhYmVzPywgaGF5IHVuIGx1Z2FyIG11eSBpbnRlcmVzYW50ZSBxdWUgcGFyZWNlCmFsZ28gYXPDrSBjb21vIHVuIGxhYm9yYXRvcmlvIGVuIEp1bm8u
xnguAg,,W05veWVlXQpBbnl3YXksIG5vIG9uZSBpcyByZWFsbHkgc3VyZSBpZiBpdCBpcyBvciBub3QuIFJlY2VudGx5LCBpdCdzIGJlZW4gdGhlIGZvY3VzIG9mIG1hbnkgcnVtb3JzLiBJIGhhdmUgbm8gaWRlYSBpZiBhbnkgb2YgdGhlbSBhcmUgdHJ1ZSB0aG91Z2gu,,,,,W05veWVlXQpSZWNlbnRlbWVudGUsIHTDqm0gY29ycmlkbyBwb3IgYcOtIG11aXRvcyBib2F0b3MKc29icmUgbyBsdWdhci4gRXUgbsOjbyBmYcOnbyBhIG1lbm9yIGlkw6lpYSBkbyBxdWUgYXMgcGVzc29hcyBlc3TDo28gZmFsYW5kby4KRW5maW0sIGFxdWVsZSBsdWdhciBwYXJlY2UgYmVtIGludGVyZXNzYW50ZS4=,,W05veWVlXQpEZSB0b2RvcyBtb2RvcywgbmFkaWUgc2FiZSByZWFsbWVudGUgc2kgbG8gZXMgbyBuby4gUmVjaWVudGVtZW50ZSwgc2UgY29udmlydGnDsyBlbiBlbCBjZW50cm8gZGUgbXVjaG9zIHJ1bW9yZXMuIEF1bnF1ZSBubyB0ZW5nbyBuaSBpZGVhIGRlIHNpIGFsZ3VubyBlcyBjaWVydG8gbyBuby4=
x3guAg,,TWFuYWdlcg==,,,,,R2VyZW50ZQ==,,RGlyZWN0b3I=
yHguAg,,XjMzNTVGRldhaXQgYSBzZWNvbmQhIFJpZ2h0IG5vdywgeW91J3JlIGNhcnJ5aW5nIHRvbyBtYW55IGl0ZW1zIHdpdGggeW91LiBQbGVhc2UgY29tZSBiYWNrIGFmdGVyIHB1dHRpbmcgc29tZSBvZiB5b3VyIHRoaW5ncyBpbnRvIEthZnJhIFN0b3JhZ2UuXjAwMDAwMA==,,,,,LSBFc3BlcmUgdW0gbW9tZW50byEgLQotIFZvY8OqIGVzdMOhIGNhcnJlZ2FuZG8gbXVpdG9zIGl0ZW5zIGNvbSB2b2PDqiAtCi0gbm8gbW9tZW50by4gLQotIFBvciBmYXZvciwgYWxpdmllIGEgc3VhIGNhcmdhIC0KLSBlIHRlbnRlIG91dHJhIHZlei4gLQ==,,XjMzNTVGRsKhVW4gbW9tZW50byEgRW4gZXN0ZSBtb21lbnRvLCBsbGV2YXMgZGVtYXNpYWRvcyBvYmpldG9zLiBWdWVsdmUgbHVlZ28gZGUgZ3VhcmRhciBhbGd1bmFzIGRlIHR1cyBjb3NhcyBlbiBlbCBBbG1hY8OpbiBkZSBLYWZyYS5eMDAwMDAw
yXguAg,,W0N1a3VyZV0KSSBjYW4ndCBiZWxpZXZlIGhvdyBidXN5IEkgYW0gYXQgd29yayBub3dhZGF5cy4gSSBkb24ndCBldmVuIGhhdmUgdGltZSB0byBzZWUgYW55IG9mIG15IGZyaWVuZHMgb3IgZ28gc2hvcHBpbmcu,,,,,LSBFc3BlcmUgdW0gbW9tZW50byEgLQotIE5vIG1vbWVudG8sIHZvY8OqIGVzdMOhIGNvbSBzb2JyZXBlc28gLQotIFBvciBmYXZvciwgYWxpdmllIGEgc3VhIGNhcmdhIGUgdGVudGUgb3V0cmEgdmV6LiAt,,W0N1a3VyZV0KTm8gcHVlZG8gY3JlZXIgbG8gb2N1cGFkYSBxdWUgbWUgdGllbmUgbWkgdHJhYmFqbyBob3kgZW4gZMOtYS4gTmkgc2lxdWllcmEgdGVuZ28gdGllbXBvIHBhcmEgdmVyIGEgbWlzIGFtaWdvcyBvIGlyIGRlIGNvbXByYXMu
ynguAg,,W0N1a3VyZV0KV2FpdC4uLiEKSSBjYW4ndCBldmVuIHJlbWVtYmVyIHRoZSBsYXN0CnRpbWUgSSB3ZW50IG91dCB3aXRoIGEgZ3V5ISBBdCB0aGlzIHJhdGUsIEkgbWlnaHQgcmV0aXJlIGJlZm9yZSBJIGNhbiBmaW5kIGEgYm95ZnJpZW5kLiBOb29vbywgSSdtIHN0aWxsIGluIG15IHByaW1lfiE=,,,,,W0N1a3VyZV0KQWhoaC4uLgpFdSB0w7Qgc2VtcHJlIHTDo28gb2N1cGFkYSwgaG9qZSBlbSBkaWEuCkV1IG7Do28gdGVuaG8gdGVtcG8gbmVtIHByYSBuYW1vcmFyLgpEcm9nYS4uLi4=,,W0N1a3VyZV0KwqFFc3BlcmEuLi4hCsKhTmkgc2lxdWllcmEgcHVlZG8gcmVjb3JkYXIgbGEgw7psdGltYQp2ZXogcXVlIHNhbMOtIGNvbiB1biBjaGljbyEgQSBlc3RlIHBhc28sIHB1ZWRlIHF1ZSBtZSBqdWJpbGUgYW50ZXMgZGUgZW5jb250cmFyIG5vdmlvLiBOb29vbywgwqF0b2RhdsOtYSBlc3RveSBlbiBsYSBmbG9yIGRlIGxhIHZpZGEh
