QHnfAg,,IC0gQSBzdHJhbmdlIHdhcnAgY2FuIGJlIGZlbHQuIC0g,,,,,LSBIw6EgdW1hIGRpc3RvcsOnw6NvIGVzdHJhbmhhIGFxdWkgLQ==,,KFNpZW50ZXMgbGEgcHJlc2VuY2lhIGRlIHVuIGV4dHJhw7FvIHRlbGV0cmFuc3BvcnRhZG9yKS4g
QXnfAg,,UmVhY2ggb3V0IGZvciBpdC4=,,,,,RXN0ZW5kZXIgc3VhIG3Do28u,,VG9jYXJsby4=
QnnfAg,,SXQncyBkYW5nZXJvdXMuIElnbm9yZSBpdC4=,,,,,SWdub3Jhci4=,,RXMgcGVsaWdyb3NvLiBJZ25vcmFybG8u
Q3nfAg,,Kktra2traGhoaGhoa2tra2tubm5nZ2chKg==,,,,,Kktra2tra2toaGhoaGhra2tra2tubm5nZ2chKg==,,KsKhWXl5eWFhYWFhYXJycnJyZ2dnZ2dnISo=
RHnfAg,,IC0gVGhlIG1vbWVudCBJIHJlYWNoZWQgb3V0IGZvciBpdCwgLSAKIC0gYSBsb3VkIG5vaXNlIGF0dGFja2VkIG15IGVhcmRydW1zIC0gCiAtIGFuZCB0aGUgYWlyIGluIGZyb250IG9mIG1lIHN0YXJ0ZWQgd2F2aW5nIHZpb2xlbnRseS4gLSA=,,,,,LSBFc3RlbmRvIG1ldSBicmHDp28gZW5xdWFudG8gdW0gc29tIGZvcnRlIHJlc3NvYSBlbSBzZXUgb3V2aWRvIGUgdW1hIG9uZGEgZnJpYSBsaGUgZW52b2x2ZSAt,,KEVuIGVsIG1vbWVudG8gcXVlIHF1aXNlIHRvY2FybG8sCnVuIHJ1aWRvIGVuc29yZGVjZWRvciBtZSBzYWN1ZGnDsyBsb3MgdMOtbXBhbm9zCnkgZWwgYWlyZSBlbmZyZW50ZSBkZSBtw60gY29tZW56w7MgYSBhZ2l0YXJzZSB2aW9sZW50YW1lbnRlKS4=
RXnfAg,,IC0gSSBzaG91bGQganVzdCBnbyBvbiBteSB3YXkuIC0g,,,,,LSBWb2PDqiBpZ25vcmEgYSBkaXN0b3LDp8OjbyAt,,KERlYmVyw61hIHNlZ3VpciBtaSBjYW1pbm8pLg==
RnnfAg,,IC0gSSB3YXMganVzdCBwYXNzaW5nIGJ5IC0gCiAtIHdoZW4gSSBzdWRkZW5seSBoYWQgYSBzdHJhbmdlIHNlbnNhdGlvbi4gLSAKIC0gSSBzdG9wcGVkIGFuZCBzdGFydGVkIGxvb2tpbmcgYXJvdW5kLiAtIA==,,,,,LSBQYXJlY2UgcXVlIG7Do28gaMOhIG5hZGEgYXF1aS4gTWFzIGV1IGRlZmluaXRpdmFtZW50ZSBzaW50byBhbGdvIHBvciBhcXVpLi4uIC0=,,KFNvbG8gcGFzYWJhIHBvciBhcXXDrQpjdWFuZG8gZGUgcmVwZW50ZSB0dXZlIHVuYSBzZW5zYWNpw7NuIGV4dHJhw7FhLgpNZSBkZXR1dmUgeSBtaXLDqSBhIG1pIGFscmVkZWRvciku
R3nfAg,,TG9vayBhcm91bmQgY2FyZWZ1bGx5Lg==,,,,,RXN0ZW5kZXIgYnJhw6dvLg==,,TWlyYXIgYSB0dSBhbHJlZGVkb3IgY29uIGF0ZW5jacOzbi4=
SHnfAg,,SWdub3JlIGl0Lg==,,,,,RGVpeGFyIHBhcmEgbMOhLg==,,SWdub3JhcmxvLg==
SXnfAg,,IC0gSSBkb24ndCBzZWUgYW55dGhpbmcgYXJvdW5kIG1lLCAtIAogLSBidXQgSSBjYW4gZmVlbCAtIAogLSB0aGVyZSdzIGEgc3RyYW5nZSB3YXJwIGluIHRoZSBhaXIgLSAKIC0gQSBzdHJhbmdlIHdhcnAgY2FuIGJlIGZlbHQuIC0g,,,,,LSBTaW50byB1bWEgZXN0cmFuaGEgZGlzdG9yw6fDo28gYW8gbWV1IHJlZG9yIC0=,,KE5vIHZlbyBuYWRhIGEgbWkgYWxyZWRlZG9yLApwZXJvIHB1ZWRvIHNlbnRpcgpxdWUgaGF5IHVuIHRlbGV0cmFuc3BvcnRhZG9yIGV4dHJhw7FvIGVuIGVsIGFpcmUuClNpZW50ZXMgbGEgcHJlc2VuY2lhIGRlIHVuIGV4dHJhw7FvIHRlbGV0cmFuc3BvcnRhZG9yKS4=
SnnfAg,,IC0gSSBtdXN0IGhhdmUgaW1hZ2luZWQgaXQuIC0gCiAtIEkgc2hvdWxkIGp1c3QgZ28gb24gbXkgd2F5LiAtIA==,,,,,LSBWb2PDqiBpZ25vcmEgYSBkaXN0b3LDp8Ojby4gLQ==,,KE1lIGxvIGhhYnLDqSBpbWFnaW5hZG8uCkRlYmVyw61hIHNlZ3VpciBtaSBjYW1pbm8pLg==
S3nfAg,,QXNzaXN0YW50,,,,,QXNzaXN0ZW50ZQ==,,QXNpc3RlbnRl
