gJzkCA,,RGFpbHkgRHVuZ2VvbiBQb3J0YWw=,,,,,Q3JpcHRh,,UG9ydGFsIGRlIE1hem1vcnJhcyBEaWFyaWFz
gZzkCA,,UmUtZW50cnkvQ29vbGRvd24gUmVzZXQ=,,,,,U2V0YXIgUXVlc3Q=,,UmVlbnRyYWRhL1JlaW5pY2lvIGRlbCBlbmZyaWFtaWVudG8=
gpzkCA,,TW92ZSB0byBNYXJpYWdl,,,,,UmVzZXRhciBDb29sZG93bg==,,TW92ZXIgYSBNYXJpYWdl
g5zkCA,,R2lmdCBTaG9wIENsZXJr,,,,,RW1wYWNvdGFkb3Jh,,RW5jYXJnYWRhIGRlIFJlZ2Fsb3M=
hJzkCA,,XkZGMDAwMEl0IHNlZW1zIHlvdSBoYXZlIHRvbyBtYW55IGl0ZW1zIG9mIGRpZmZlcmVudCB0eXBlcyBvciB3ZWlnaHRzLiBQbGVhc2Ugb3JnYW5pemUgeW91ciBpbnZlbnRvcnkuXjAwMDAwMA==,,,,,XkZGMDAwMFZvY8OqIHRlbSBwb3VjbyBlc3Bhw6dvIG5vIGludmVudMOhcmlvLiBBbGl2aWUgc3VhIGNhcmdhIGUgdGVudGUgbm92YW1lbnRlLl4wMDAwMDA=,,XkZGMDAwMFRpZW5lcyBkZW1hc2lhZG9zIG9iamV0b3MgZW4gdHUgaW52ZW50YXJpby4gVnVlbHZlIGRlc3B1w6lzIGRlIHF1aXRhciBhbGd1bm9zIG9iamV0b3MuXjAwMDAwMA==
hZzkCA,,W0dpZnQgU2hvcCBDbGVya10KSSBjYW4gcGVyc29uYWxseSB3cmFwIGVsaXhpcnMgZm9yIHRob3NlIHdobyB3YW50IHRvIGdpZnQgdGhlbSB0byBzb21lb25lIHNwZWNpYWwu,,,,,W0VtcGFjb3RhZG9yYV0KQXMgUG/Dp8O1ZXMgTWVub3JlcyBlbmNvbnRyYWRhcyBuYSBDcmlwdGEgbsOjbyBwb2RlbSBzZXIgbmVnb2NpYWRhcywgbWFzIGV1IGNvbnNpZ28gY29sb2PDoS1sYXMgbnVtYSBjYWl4YSB0b3RhbG1lbnRlIG5lZ29jacOhdmVsIQ==,,W0VuY2FyZ2FkbyBkZSBSZWdhbG9zXQrCoUVzdG95IGVudm9sdmllbmRvIHBvY2lvbmVzIHBhcmEgbG9zIHF1ZSBxdWllcmFuIHJlZ2FsYXJsYXMh
hpzkCA,,W0dpZnQgU2hvcCBDbGVya10KSWYgeW91IGhhdmUgZml2ZSBvciBtb3JlIGVsaXhpcnMgb2YgdGhlIHNhbWUgdHlwZSwgd2UgY2FuIHdyYXAgdGhlbSBmb3IgYW4gYWRkaXRpb25hbCAyMDAsMDAwIFplbnkuIApXb3VsZCB5b3UgbGlrZSBtZSB0byB3cmFwIHRoZW0gcmlnaHQgbm93Pw==,,,,,W0VtcGFjb3RhZG9yYV0KUXVlciBmYXplciBuZWfDs2Npb3M/,,W0VuY2FyZ2FkbyBkZSBSZWdhbG9zXQpTaSB0aWVuZXMgbcOhcyBkZSA1IHBvY2lvbmVzIGRlbCBtaXNtbyB0aXBvLCBwdWVkZXMgZW52b2x2ZXJsYXMgcG9yIDIwMCwwMDAgemVueS4gCsK/UXVpZXJlcyBxdWUgbGFzIGVudnVlbHZhPw==
h5zkCA,,Q2FuY2Vs,,,,,TsOjbywgYWRldXMu,,Q2FuY2VsYXIu
iJzkCA,,UGFja2FnaW5nIEdyb3d0aCBQb3Rpb24=,,,,,RW1wYWNvdGFyIFBvw6fDtWVzIGRlIEVYUC4=,,RW52b2x2ZXIgUG9jacOzbiBkZSBDcmVjaW1pZW50byBNZW5vci4=
iZzkCA,,UGFja2FnaW5nIEpvYiBFbGl4aXJz,,,,,RW1wYWNvdGFyIFBvw6fDtWVzIGRlIENsYXNzZS4=,,RW52b2x2ZXIgRWzDrXhpciBkZSBDcmVjaW1pZW50byBNZW5vci4=
ipzkCA,,W0dpZnQgU2hvcCBDbGVya10KUGxlYXNlIGNvbWUgYmFjayBhbnl0aW1lIHRvIGhhdmUgdGhlbSB3cmFwcGVkLgo=,,,,,W0VtcGFjb3RhZG9yYV0KQXTDqSE=,,W0VuY2FyZ2FkbyBkZSBSZWdhbG9zXQpTaSBxdWllcmVzIGVudm9sdmVybGFzLCB2dWVsdmUgcHJvbnRvLg==
i5zkCA,,W0dpZnQgU2hvcCBDbGVya10KV2Ugd2lsbCBjaGFyZ2UgeW91IDIwMCwwMDAgWmVueSBmb3Igd3JhcHBpbmcgZml2ZSBMb3dlc3QgR3Jvd3RoIFBvdGlvbnMgaW50byBhIExvd2VzdCBHcm93dGggQm94LiAKQXJlIHlvdSBzdXJlIHlvdSB3YW50IHRvIHdyYXAgdGhlbT8=,,,,,W0VtcGFjb3RhZG9yYV0KTyBzZXJ2acOnbyBkZSBlbXBhY290YW1lbnRvIGV4aWdlIDUgUG/Dp8O1ZXMgTWVub3JlcyBkZSBFWFAgZSAyMDAuMDAwIHplbnlzLiBRdWVyIGNvbnRpbnVhcj8=,,W0VuY2FyZ2FkbyBkZSBSZWdhbG9zXQpTaSB0cmFlcyA1IFBvY2lvbmVzIGRlIENyZWNpbWllbnRvIE1lbm9yLCBzZSB0ZSBjb2JyYXLDoW4gMjAwLDAwMCB6ZW55IHBhcmEgZW1wYXF1ZXRhcmxhcy4gCsK/RGUgdmVyZGFkPw==
jJzkCA,,UGFja2FnZSE=,,,,,Q29udGludWFy,,wqFFbXBhcXXDqXRhbGFzLCBwb3IgZmF2b3Ih
jZzkCA,,W0dpZnQgU2hvcCBDbGVya10KVGhlIGVsaXhpcnMgeW91IG9yZGVyZWQgaGF2ZSBiZWVuIHdyYXBwZWQuIApQbGVhc2UgY29tZSBiYWNrIGFnYWluLiA=,,,,,W0VtcGFjb3RhZG9yYV0KT2JyaWdhZGEgcG9yIHVzYXIgbWV1IHNlcnZpw6dvLg==,,W0VuY2FyZ2FkbyBkZSBSZWdhbG9zXQpFbCBlbXBhcXVldGFkbyBkZSBsYSBwb2Npw7NuIHF1ZSBzb2xpY2l0w7MgZXN0w6EgbGlzdG8uIArCoVZ1ZWx2ZSBwcm9udG8h
jpzkCA,,W0dpZnQgU2hvcCBDbGVya10KSXQgc2VlbXMgeW91J3JlIHNob3J0IG9uIG1hdGVyaWFscyBvciBmdW5kcy4gClBsZWFzZSBjb21lIGJhY2sgd2hlbiB5b3UncmUgcmVhZHku,,,,,W0VtcGFjb3RhZG9yYV0KTyBzZXJ2acOnbyBkZSBlbXBhY290YW1lbnRvIGV4aWdlIDUgUG/Dp8O1ZXMgTWVub3JlcyBkZSBFWFAgZSAyMDAuMDAwIHplbnlzLg==,,W0VuY2FyZ2FkbyBkZSBSZWdhbG9zXQpQYXJlY2UgcXVlIHRlIGZhbHRhbiBtYXRlcmlhbGVzIG8gemVueS4gClZ1ZWx2ZSBjdWFuZG8gdGVuZ2FzIHRvZG8gbGlzdG8u
