IFLbDA,,RWh5dQ==,,,,,RWh5dQ==,,RWh5dQ==
IVLbDA,,VW5yZWNvdmVyZWQgbWFnaWMgc3RvbmVzIGFyZSBpbnRlcmZlcmluZyB3aXRoIHRoZSBnYXRlIGFjdGl2YXRpb24u,,,,,Vm9jw6ogbsOjbyBwb3NzdWkgdW0gUGVkcmEgRW5jYW50YWRhIGUgcG9yIGlzc28gbsOjbyBjb25zaWdvIGFicmlyIG8gUG9ydGFsLg==,,Tm8gcG9zZWVzIHVuYSBQaWVkcmEgRW5jYW50YWRhIHkgcG9yIGVzbyBubyBwdWVkbyBhYnJpciBlbCBQb3J0YWwu
IlLbDA,,RW1wYXRoaXplcg==,,,,,RW1wYXRpYQ==,,RW1wYXTDrWE=
I1LbDA,,SGFwcGluZXNzIEdpdmVy,,,,,QWxlZ3JpYQ==,,QWxlZ3LDrWE=
JFLbDA,,VGhlIGNlbnRyYWwgcmVzdHJhaW50IGRldmljZSBoYXMgYmVlbiByZWxlYXNlZC4gTWFnaWMgcG93ZXIgaGFzIGluZnVzZWQgdGhlIG9yYi4=,,,,,TyDDk2RpbyBmb2kgbGliZXJ0YWRvLiBPcyBDcmlzdGFpcyBCcmlsaGFudGVzIGFwYXJlY2VyYW0u,,RWwgT2RpbyBmdWUgbGliZXJhZG8uIExvcyBDcmlzdGFsZXMgQnJpbGxhbnRlcyBhcGFyZWNpZXJvbi4=
JVLbDA,,Qm91bmQgSGF0cmVk,,,,,w5NkaW8gQXByaXNpb25hZG8=,,T2RpbyBBcHJpc2lvbmFkbw==
JlLbDA,,SGF0cmVkIG9mIE1lbW9yeSBvZiBUaGFuYXRvcw==,,,,,w5NkaW8gZGUgVGhhbmF0b3M=,,T2RpbyBkZSBUaGFuYXRvcw==
J1LbDA,,TWVtb3J5IG9mIEhhdHJlZCBoYXMgYmVlbiBjcmVhdGVkLg==,,,,,VW1hIEVuZXJnaWEgZGUgw5NkaW8gYXBhcmVjZXUgbm8gY2VudHJvLg==,,VW5hIEVuZXJnw61hIGRlIE9kaW8gYXBhcmVjacOzIGVuIGVsIGNlbnRyby4=
KFLbDA,,TWVtb3J5IG9mIEhhdHJlZA==,,,,,RW5lcmdpYSBkZSDDk2Rpbw==,,RW5lcmfDrWEgZGUgT2Rpbw==
KVLbDA,,WW91IGNhbm5vdCBwcm9jZWVkIHdpdGggdGhlIHF1ZXN0IGJlY2F1c2UgeW91IGFyZSBjYXJyeWluZyB0b28gbWFueSBpdGVtcy4gUGxlYXNlIG9yZ2FuaXplIHlvdXIgaW52ZW50b3J5IGFuZCB0cnkgYWdhaW4u,,,,,Vm9jw6ogcG9zc3VpIGl0ZW5zIGRlbWFpcyBwYXJhIHByb3NzZWd1aXIgY29tIGEgbWlzc8Ojby4gT3JnYW5pemUgc2V1cyBpdGVucyBlIHRlbnRlIG5vdmFtZW50ZS4=,,VGllbmVzIGRlbWFzaWFkb3Mgb2JqZXRvcyBwYXJhIGNvbnRpbnVhciBjb24gbGEgbWlzacOzbi4gT3JnYW5pemEgdHUgaW52ZW50YXJpbyBlIGludMOpbnRhbG8gZGUgbnVldm8u
KlLbDA,,TWVtb3J5IG9mIEhhdHJlZCBtYW5pZmVzdHMgYXMgZnJhZ21lbnRzLiBUaGUgc2VhbCBvZiB0aGUgZ2F0ZSBoYXMgYmVlbiByZWxlYXNlZC4=,,,,,TyDDs2RpbyBhY3VtdWxvdSBlbSB1bSBmcmFnbWVudG8uIE8gc2VsbyBmb2kgcmVtb3ZpZG8gZSB1bSBwb3J0YWwgc2UgYWJyaXUu,,RWwgb2RpbyBzZSBhY3VtdWzDsyBlbiB1biBmcmFnbWVudG8uIEVsIHNlbGxvIGZ1ZSByZW1vdmlkbyB5IHVuIHBvcnRhbCBzZSBhYnJpw7Mu
K1LbDA,,R2xpdHRlcmluZyBDcnlzdGFs,,,,,Q3Jpc3RhbCBCcmlsaGFudGU=,,Q3Jpc3RhbCBCcmlsbGFudGU=
