wPTAAg,,VGhpZWYgR3VpZGU=,,,,,QXV4aWxpYXIgZG9zIEdhdHVub3M=,,R3XDrWEgZGVsIEdyZW1pbw==
wfTAAg,,W0d1aWxkIFJlcHJlc2VudGF0aXZlXQpJdCBzZWVtcyB5b3UgaGF2ZSBjb21lIHRoaXMgZmFyIGR1ZSB0byBhIHNwZWNpYWwgY29ubmVjdGlvbi4=,,,,,W0dhdHVuYSBBanVkYW50ZV0KSMOjPyBFdSBjb25oZcOnbyB2b2PDqj8gw4kgZXNxdWlzaXRvLCBwYXJlY2UgdMOjbyBmYW1pbGlhci4gClZvY8OqIG7Do28gdGVtIHVtIGlybcOjbyBnw6ptZW8sIHRlbT8=,,W0d1w61hIGRlbCBHcmVtaW9dCsK/RWg/IMK/VGUgY29ub3pjbz8gTWUgYXN1c3RhIHF1ZSBtZSBwYXJlemNhcyB0YW4gZmFtaWxpYXIuCk5vIHRpZW5lcyB1biBnZW1lbG8sIMK/dmVyZGFkPw==
wvTAAg,,XjRENERGRiBZb3UgY2FuIHN1bW1vbiBhIHNlcnZpY2UgTlBDIGZvciBqb2IgY2hhbmdlLgpeNEQ0REZGIEJvb3N0ZXIgcHJvbW90aW9uIGVsaWdpYmxlIHBsYXllcnMgY2FuIGNoYW5nZSBqb2JzIHRocm91Z2ggdGhlIGpvYiBjaGFuZ2UgYWdlbnQuXjAwMDAwMA==,,,,,XjRENERGRlZvY8OqIHBvZGUgaW52b2NhciBvIE9maWNpYWwgZGUgTXVkYW7Dp2EgZGUgQ2xhc3NlLgpQZXJzb25hZ2VucyBwYXJ0aWNpcGFudGVzIGRvIEV2ZW50byBkZSBBcG9pbyBkZSBFdm9sdcOnw6NvIHBvZGVtIG11ZGFyIGRlIGNsYXNzZSBhdHJhdsOpcyBkbyBPZmljaWFsLl4wMDAwMDA=,,XjRENERGRlB1ZWRlcyBpbnZvY2FyIGFsIE9maWNpYWwgZGUgQ2FtYmlvIGRlIENsYXNlLgpMb3MgcGVyc29uYWplcyBxdWUgcGFydGljaXBlbiBlbiBlbCBFdmVudG8gZGUgQXBveW8gZGUgRXZvbHVjacOzbiBwdWVkZW4gY2FtYmlhciBkZSBjbGFzZSBhIHRyYXbDqXMgZGVsIE9maWNpYWwuXjAwMDAwMA==
w/TAAg,,U3VtbW9uIGEgam9iIGNoYW5nZSBhZ2VudCBmb3Igam9iIGNoYW5nZS4=,,,,,SW52b2NhciBPZmljaWFsIGRlIE11ZGFuw6dhIGRlIENsYXNzZQ==,,SW52b2NhciBPZmljaWFsIGRlIENhbWJpbyBkZSBDbGFzZQ==
xPTAAg,,RGVjbGluZS4=,,,,,SWdub3Jhcg==,,SWdub3Jhcg==
xfTAAg,,XjRENERGRiBCb29zdGVyIHByb21vdGlvbiBlbGlnaWJsZSBwbGF5ZXJzIGNhbiBjaGFuZ2Ugam9icyB0aHJvdWdoIHRoZSBqb2IgY2hhbmdlIGFnZW50LgpUaGlyZCBqb2IgY2hhbmdlIGNhbiBhbHNvIGJlIGRvbmUgYXQgZWFjaCBqb2IgZ3VpbGQuXjAwMDAwMA==,,,,,XjRENERGRlBlcnNvbmFnZW5zIHBhcnRpY2lwYW50ZXMgZG8gRXZlbnRvIGRlIEFwb2lvIGRlIEV2b2x1w6fDo28gcG9kZW0gbXVkYXIgZGUgY2xhc3NlIGF0cmF2w6lzIGRvIE9maWNpYWwuCkEgbXVkYW7Dp2EgcGFyYSBDbGFzc2UgMyB0YW1iw6ltIHBvZGUgc2VyIGZlaXRhIG5hcyBHdWlsZGFzLl4wMDAwMDA=,,XjRENERGRkxvcyBwZXJzb25hamVzIHF1ZSBwYXJ0aWNpcGVuIGVuIGVsIEV2ZW50byBkZSBBcG95byBkZSBFdm9sdWNpw7NuIHB1ZWRlbiBjYW1iaWFyIGRlIGNsYXNlIGEgdHJhdsOpcyBkZWwgT2ZpY2lhbC4KRWwgY2FtYmlvIGEgbGEgQ2xhc2UgMyB0YW1iacOpbiBzZSBwdWVkZSByZWFsaXphciBlbiBsb3MgR3JlbWlvcy5eMDAwMDAw
xvTAAg,,W1RoaWVmIEd1aWxkIE1lbWJlcl0KV2hpbGUgcmlkaW5nIGEgbW91bnQKSSBjYW4ndCBwcm9jZWVkIHdpdGggdGhlIGpvYiBjaGFuZ2UuClBsZWFzZSBjb21lIGJhY2sgYWZ0ZXIgZ2V0dGluZyBvZmYgdGhlIG1vdW50Lg==,,,,,W0dhdHVuYSBBanVkYW50ZV0KRW5xdWFudG8gZXN0aXZlciBlbSB1bWEgbW9udGFyaWEsCm7Do28gcG9zc28gcHJvc3NlZ3VpciBjb20gYSBNdWRhbsOnYSBkZSBDbGFzc2UuClBvciBmYXZvciwgdm9sdGUgZGVwb2lzIGRlIGRlc2NlciBkYSBtb250YXJpYS4=,,W0d1w61hIGRlbCBHcmVtaW9dClNpIGVzdMOhcyBlbiB1bmEgbW9udHVyYSwKbm8gcHVlZG8gcHJvY2VkZXIgY29uIGVsIGNhbWJpbyBkZSBjbGFzZS4KVnVlbHZlIGRlc3B1w6lzIGRlIGJhamFyIGRlIGxhIG1vbnR1cmEu
x/TAAg,,W1RoaWVmIEd1aWxkIE1lbWJlcl0=,,,,,W0dhdHVuYSBBanVkYW50ZV0=,,W0d1w61hIGRlbCBHcmVtaW9d
yPTAAg,,SGV5LCBkdWRlLg==,,,,,RWksIG1vbGVxdWUu,,T3llLCB0w7ou
yfTAAg,,SGV5LCBiYWJ5fg==,,,,,RWksIGZlZGVsaGF+,,SG9sYSwgY2FyacOxby4=
