QJIHDQ,,W1RpbWUgQWRtaW5pc3RyYXRvcl0KU2NlbmFyaW8gTW9kZSBJbnB1dCA0MzA=,,,,,W0FkbWluaXN0cmFkb3IgZG8gVGVtcG9dCkVudHJhZGEgZG8gTW9kbyBDZW7DoXJpbyA0MzA=,,W0FkbWluaXN0cmFkb3IgZGVsIHRpZW1wb10KRW50cmFkYSBlbiBtb2RvIGVzY2VuYXJpbyA0MzA=
QZIHDQ,,Rm9yIHRoZSBGaXJzdCBUaW1l,,,,,UGVsYSBwcmltZWlyYSB2ZXo=,,UG9yIHByaW1lcmEgdmV6
QpIHDQ,,VG8gdGhlIEFzc2VtYmx5IEhhbGw=,,,,,UGFyYSBhIHNhbGEgZGUgcmV1bmnDo28=,,QSBsYSBzYWxhIGRlIHJldW5pb25lcw==
Q5IHDQ,,UmV0cmlldmUgQmVsb25naW5ncw==,,,,,UHJvY3VyYXIgY2FyZ2E=,,QnVzY2FyIGVxdWlwYWpl
RJIHDQ,,UmVtb3ZlIFByZXJlcXVpc2l0ZSBRdWVzdA==,,,,,UmVtb3ZlciBwcsOpLW1pc3PDo28=,,RWxpbWluYXIgbWlzacOzbiBwcmV2aWE=
RZIHDQ,,QWRkIFByZXJlcXVpc2l0ZSBRdWVzdA==,,,,,QWRpY2lvbmFyIHByw6ktbWlzc8Ojbw==,,QcOxYWRpciBtaXNpw7NuIHByZXZpYQ==
RpIHDQ,,XjAwMDBGRlRoZSB3aXRoZXJlZCB0cmVlIHNlZW1zIHRvIHNwZWFrIG9mIHRoZSBoYXJzaG5lc3Mgb2YgdGhlIHN1cnJvdW5kaW5nIGVudmlyb25tZW50Ll4wMDAwMDA=,,,,,XjAwMDBGRkEgw6Fydm9yZSByZXNzZXF1aWRhIHBhcmVjZSBtb3N0cmFyIGEgYXJpZGV6IGRvIGFtYmllbnRlIGFvIHJlZG9yLl4wMDAwMDA=,,XjAwMDBGRkVsIMOhcmJvbCBtYXJjaGl0byBwYXJlY2UgaGFibGFyIGRlIGxvIGVzdMOpcmlsIGRlbCBlbnRvcm5vLl4wMDAwMDA=
R5IHDQ,,SGF6YXI=,,,,,SGF6YXI=,,SGF6YXI=
SJIHDQ,,SGF6YXIjZXAxOF8x,,,,,SGF6YXIjZXAxOF8x,,SGF6YXIjZXAxOF8x
SZIHDQ,,S2FtaWwjZXAxOF8x,,,,,S2FtaWwjZXAxOF8x,,S2FtaWwjZXAxOF8x
SpIHDQ,,XjAwMDBGRkFuIGVsZGVybHkgbWFuIGlzIHNjb2xkaW5nIGEgeW91bmcgbWFuLl4wMDAwMDA=,,,,,XjAwMDBGRlVtIHZlbGhvIGFuY2nDo28gZXN0w6EgcmVwcmVlbmRlbmRvIHVtIGpvdmVtLl4wMDAwMDA=,,XjAwMDBGRlVuIGFuY2lhbm8gZXN0w6EgcmVnYcOxYW5kbyBhIHVuIGpvdmVuLl4wMDAwMDA=
S5IHDQ,,RGlkIEkgb3IgZGlkIEkgbm90IHRlbGwgeW91IHRoYXQgSSBtdXN0IGRlcGFydCBvbiB0aGUgY2FyYXZhbiB0b2RheT8=,,,,,RXUgbsOjbyBkaXNzZSBvdSBuw6NvIGRpc3NlIHF1ZSBhIGNhcmF2YW5hIGRldmlhIHBhcnRpciBob2plPw==,,wr9UZSBkaWplIG8gbm8gdGUgZGlqZSBxdWUgaG95IGRlYsOtYSBwYXJ0aXIgY29uIGxhIGNhcmF2YW5hPw==
TJIHDQ,,WW91IGRpZC4=,,,,,RGlzc2Ugc2ltLg==,,U8OtLCBtZSBsbyBkaWpvLg==
